
[00:00:00.000 --> 00:00:02.000]  當我們想到復活節的時候
[00:00:02.000 --> 00:00:04.600]  我們大家同時會想起
[00:00:04.600 --> 00:00:06.200]  我們在世上
[00:00:06.200 --> 00:00:08.600]  在自己所生活的環境
[00:00:08.600 --> 00:00:12.600]  都會偶爾聽到有朋友親友過世的消息
[00:00:12.600 --> 00:00:18.200]  死亡和復活好像是敵對的兩件事
[00:00:18.200 --> 00:00:22.600]  但我自己亦親自聽到
[00:00:22.600 --> 00:00:25.200]  見到有些弟兄姊妹
[00:00:25.200 --> 00:00:27.600]  他們面對死亡的態度
[00:00:27.600 --> 00:00:31.200]  是令我心裏很驚訝很感動
[00:00:31.200 --> 00:00:36.200]  我聽到有一位我間接認識的弟兄
[00:00:36.200 --> 00:00:39.200]  這位弟兄在他臨終的時候
[00:00:39.200 --> 00:00:42.200]  他驗出有末期癌症
[00:00:42.200 --> 00:00:46.600]  他決心做一件事就是辦一個聚會
[00:00:46.600 --> 00:00:49.200]  這個聚會其實是一個餐宴
[00:00:49.200 --> 00:00:51.800]  邀請了很多他自己熟悉的親友
[00:00:51.800 --> 00:00:53.800]  來出席這個餐宴
[00:00:53.800 --> 00:00:56.800]  當很多朋友收到消息的時候覺得很奇怪
[00:00:56.800 --> 00:00:59.800]  為什麼會在這個時候請人吃飯
[00:00:59.800 --> 00:01:01.400]  去到這個聚會裏面
[00:01:01.400 --> 00:01:05.800]  這位弟兄公開講述他自己人生很多經歷
[00:01:05.800 --> 00:01:07.400]  如何順靠主耶穌
[00:01:07.400 --> 00:01:11.400]  如何帶領他經歷很多生命的高高低低
[00:01:11.400 --> 00:01:15.600]  然後他說出我們將來會再相會
[00:01:15.600 --> 00:01:17.600]  今天和大家道別
[00:01:17.600 --> 00:01:19.400]  遲些再見
[00:01:19.400 --> 00:01:21.200]  然後大家一起吃一頓飯
[00:01:21.200 --> 00:01:24.200]  一起來感謝上帝
[00:01:24.600 --> 00:01:27.600]  我見到有弟兄姊妹他們很清楚知道自己
[00:01:27.600 --> 00:01:31.200]  信耶穌的人蒙受神給我們的拯救
[00:01:31.200 --> 00:01:33.800]  是有死後的生命
[00:01:33.800 --> 00:01:35.800]  因此無懼死亡
[00:01:35.800 --> 00:01:37.800]  仍然可以和別人道別
[00:01:37.800 --> 00:01:40.800]  去感恩去快樂
[00:01:40.800 --> 00:01:42.800]  基督徒面對死亡的時候
[00:01:42.800 --> 00:01:44.200]  因為知道有復活
[00:01:44.200 --> 00:01:46.400]  我們可以有很不同的態度
[00:01:46.400 --> 00:01:48.200]  來面對死亡
[00:01:48.200 --> 00:01:52.200]  當然並不表示我們沒有經歷過苦難
[00:01:52.200 --> 00:01:55.000]  沒有經歷過不如意的事情
[00:01:55.000 --> 00:01:58.200]  但我們不單止有受苦節
[00:01:58.200 --> 00:02:01.600]  同時有復活節
[00:02:01.600 --> 00:02:04.200]  基督徒不要只停留在受苦節
[00:02:04.200 --> 00:02:06.800]  或者你不要只有受苦節
[00:02:06.800 --> 00:02:09.200]  你知道自己有復活節
[00:02:09.200 --> 00:02:12.600]  因此很多時候當你面對一些苦難
[00:02:12.600 --> 00:02:14.400]  一些困難的時候
[00:02:14.400 --> 00:02:17.200]  可能你經歷到一些內心的恐懼
[00:02:17.200 --> 00:02:20.000]  一些擔憂一些害怕
[00:02:20.000 --> 00:02:23.600]  但你知道那並不是事情的終局
[00:02:23.600 --> 00:02:26.000]  而你因為知道有復活
[00:02:26.000 --> 00:02:29.000]  你的心可以安然地面對
[00:02:29.000 --> 00:02:30.000]  因此當我們讀聖經
[00:02:30.000 --> 00:02:32.800]  來到復活節的清晨
[00:02:32.800 --> 00:02:36.000]  復活節主耶穌復活那天的日子
[00:02:36.000 --> 00:02:39.800]  我們就看到主怎樣將很多的憂愁
[00:02:39.800 --> 00:02:43.600]  很多的苦困轉變成為喜樂
[00:02:43.600 --> 00:02:45.200]  我們一起看看聖經
[00:02:45.200 --> 00:02:46.600]  《瑪提芬》第28章
[00:02:46.600 --> 00:02:52.000]  講到主怎樣介入人的很多悲哀和苦困當中
[00:02:52.000 --> 00:02:54.600]  將一切轉成為喜樂
[00:02:54.600 --> 00:02:57.200]  我們看28章第一節
[00:02:57.200 --> 00:03:01.000]  過了安息日
[00:03:01.000 --> 00:03:03.000]  在禮拜天亮的時候
[00:03:03.000 --> 00:03:07.600]  梅大拉的瑪利亞和另一個瑪利亞來看墳墓
[00:03:07.600 --> 00:03:11.400]  大家留意到聖經27章《瑪提福音》
[00:03:11.400 --> 00:03:13.800]  你會見到這兩位的姊妹
[00:03:13.800 --> 00:03:18.000]  他們一直留意著整件事情的發展
[00:03:18.000 --> 00:03:21.200]  27章第56節提到
[00:03:21.200 --> 00:03:24.200]  就是他們看著耶穌的十字架
[00:03:24.200 --> 00:03:26.600]  釘十字架的情況
[00:03:26.600 --> 00:03:30.400]  他們很悲哀他們的夫子被釘十字架
[00:03:30.400 --> 00:03:35.400]  然後當主的屍體被取下來的時候
[00:03:35.400 --> 00:03:36.800]  他們見到一個藥室
[00:03:36.800 --> 00:03:39.600]  這個藥室將耶穌的身體領去
[00:03:39.600 --> 00:03:44.200]  然後安葬在自己原本為自己預備的墳墓裏面
[00:03:44.200 --> 00:03:46.200]  所以61節提到
[00:03:46.200 --> 00:03:49.000]  他們看著耶穌安葬的情況
[00:03:49.000 --> 00:03:52.000]  然後看著那個墳墓
[00:03:52.000 --> 00:03:55.800]  接著來到禮拜日
[00:03:55.800 --> 00:03:57.600]  來到主日的清晨
[00:03:57.600 --> 00:04:01.800]  他們兩個就很願意去到耶穌的墳墓
[00:04:01.800 --> 00:04:03.400]  去看看那個墳墓
[00:04:03.400 --> 00:04:05.800]  《瑪學福音》提及他們來到墳墓
[00:04:05.800 --> 00:04:07.400]  是帶著香膏
[00:04:07.400 --> 00:04:10.600]  他們預備為耶穌的身體來去抹香
[00:04:10.600 --> 00:04:13.600]  很想表達對主的懷念
[00:04:13.600 --> 00:04:15.600]  你可以想像這幾位的姐妹
[00:04:15.600 --> 00:04:18.600]  相信當時可能不單止包括兩位的瑪利亞
[00:04:18.600 --> 00:04:20.400]  有其他姐妹
[00:04:20.400 --> 00:04:27.200]  他們的心裏面一直看到整個困苦的情況
[00:04:27.200 --> 00:04:29.200]  主耶穌被釘十字架
[00:04:29.200 --> 00:04:30.600]  被埋葬
[00:04:30.600 --> 00:04:35.400]  他們的心情很低落很難過
[00:04:35.400 --> 00:04:38.400]  在這個時刻他們來到墳墓面前
[00:04:38.400 --> 00:04:41.400]  我想他們的心是想著要見到的
[00:04:41.400 --> 00:04:43.600]  是一具屍體
[00:04:43.600 --> 00:04:45.800]  沒錯他們想為屍體抹上香膏
[00:04:45.800 --> 00:04:48.400]  但他們心情一定是很沉重
[00:04:48.400 --> 00:04:51.600]  因為他們想到耶穌基督死去
[00:04:51.600 --> 00:04:53.400]  他們很難過
[00:04:53.400 --> 00:04:55.600]  很低沉的情況
[00:04:55.600 --> 00:04:56.400]  在這個時候
[00:04:56.400 --> 00:04:57.400]  當他們去到的時候
[00:04:57.400 --> 00:05:00.400]  聖經第二節繼續說
[00:05:00.400 --> 00:05:03.000]  忽然地震得很厲害
[00:05:03.000 --> 00:05:05.200]  主的使者從天上下來
[00:05:05.200 --> 00:05:07.200]  把石頭滾開
