
[00:00:00.000 --> 00:00:04.400]  我們親愛的天父上帝 願祢的聖靈臨到我們心中
[00:00:04.400 --> 00:00:07.900]  讓我們能夠明白祢在聖經裡的教導
[00:00:07.900 --> 00:00:10.200]  以致我們更加認識祢
[00:00:10.200 --> 00:00:14.400]  更加知道我們在世上怎樣去生活
[00:00:14.400 --> 00:00:17.400]  我們禱告奉耶穌基督的名 阿們
[00:00:17.400 --> 00:00:21.400]  感謝神的恩典 讓我和大家分享聖經的信息
[00:00:21.400 --> 00:00:29.400]  在這一年裡 我會以塞亞書作為講道的重點
[00:00:29.400 --> 00:00:34.400]  這次剛好講到以塞亞書第七章
[00:00:34.400 --> 00:00:38.400]  請大家打開聖經 以塞亞書第七章
[00:00:38.400 --> 00:00:43.400]  我讀的經文只是請主席讀第十四節
[00:00:43.400 --> 00:00:47.400]  但是我會講的範圍是多於十四節
[00:00:47.400 --> 00:00:52.400]  以往我講道的特點都會分三點
[00:00:52.400 --> 00:00:55.400]  但是這次比較難這樣做
[00:00:55.400 --> 00:01:00.400]  我就不分段 反而順著以塞亞書第七章去講
[00:01:00.400 --> 00:01:03.400]  希望大家可以對這章的聖經
[00:01:03.400 --> 00:01:07.400]  明白多一點它的結構和重點
[00:01:07.400 --> 00:01:14.400]  以塞亞書第七章是以第三者的角度去描述的
[00:01:14.400 --> 00:01:18.400]  而以塞亞書第二十章 三十六到三十九章
[00:01:18.400 --> 00:01:23.400]  同樣都是以第三者 第三身的角度去描述
[00:01:23.400 --> 00:01:27.400]  而第六和第八章就用第一身的角度去描述
[00:01:27.400 --> 00:01:31.400]  所以第七章夾在六和八中間已經有點特別了
[00:01:31.400 --> 00:01:35.400]  而第七章可以說分了三個部分
[00:01:35.400 --> 00:01:37.400]  第一個部分是第一到第九節
[00:01:37.400 --> 00:01:41.400]  大家請留心是神對以塞亞的說話
[00:01:41.400 --> 00:01:43.400]  神對以塞亞說話
[00:01:43.400 --> 00:01:45.400]  然後第十到十七節
[00:01:45.400 --> 00:01:50.400]  就是神對阿哈斯這個皇帝 猶大王說話
[00:01:50.400 --> 00:01:55.400]  而第十八到二十五節就是先知以塞亞四個宣告
[00:01:55.400 --> 00:01:58.400]  所以這章聖經分了三個部分
[00:01:58.400 --> 00:02:02.400]  而第一到第九節 神對以塞亞說話
[00:02:02.400 --> 00:02:06.400]  而在第七章裏面 第一次提到南國猶大
[00:02:06.400 --> 00:02:09.400]  大家一定要有個基本的認識
[00:02:09.400 --> 00:02:12.400]  以色列分北面和南面
[00:02:12.400 --> 00:02:14.400]  北面我們叫以法連之派
[00:02:14.400 --> 00:02:16.400]  所以叫以色列
[00:02:16.400 --> 00:02:18.400]  南面叫猶大
[00:02:18.400 --> 00:02:20.400]  猶大派
[00:02:20.400 --> 00:02:25.400]  所以以色列人 猶大民族 猶太人 希伯來話
[00:02:25.400 --> 00:02:27.400]  這些全部都是說他們民族的東西
[00:02:27.400 --> 00:02:29.400]  大家要分清楚
[00:02:29.400 --> 00:02:31.400]  北面和南面是不同的
[00:02:31.400 --> 00:02:33.400]  以色列那兩顆星
[00:02:33.400 --> 00:02:35.400]  上面和下面倒轉
[00:02:35.400 --> 00:02:41.400]  其實是南北兩個大的支派組成
[00:02:41.400 --> 00:02:43.400]  當然它有十二支派
[00:02:43.400 --> 00:02:45.400]  但其中兩個是比較大的
[00:02:45.400 --> 00:02:49.400]  第二次提到猶大國的危機
[00:02:49.400 --> 00:02:51.400]  就在三十六到三十九章
[00:02:51.400 --> 00:02:53.400]  讀以塞亞書你要知道
[00:02:53.400 --> 00:02:57.400]  其實他們是在說以色列這個民族
[00:02:57.400 --> 00:03:00.400]  在歷史上面他們面對的危機
[00:03:00.400 --> 00:03:04.400]  先知怎樣去提醒他們 教導他們
[00:03:04.400 --> 00:03:07.400]  而這個危機是甚麼危機呢
[00:03:07.400 --> 00:03:09.400]  就是第七章第一次提到的
[00:03:09.400 --> 00:03:12.400]  就是阿蘭 即是敘利亞
[00:03:12.400 --> 00:03:14.400]  我們現在經常聽到
[00:03:14.400 --> 00:03:19.400]  和以法連 即是北國的以色列支派
