
[00:00:00.000 --> 00:00:03.000]  今天《思想聖經》路加方案十五章提到
[00:00:03.000 --> 00:00:06.400]  「慈父在等待」或者說「等候」
[00:00:06.400 --> 00:00:09.200]  我上翻閱一次看到一篇文章
[00:00:09.200 --> 00:00:11.500]  就提到一位中年男士
[00:00:11.500 --> 00:00:15.200]  他提到自己的成長歷程和經歷
[00:00:15.200 --> 00:00:19.400]  他提到自己十二、三歲少年期的時候
[00:00:19.400 --> 00:00:23.000]  他和爸爸一起在家做一些工作
[00:00:23.000 --> 00:00:27.100]  爸爸要重新鋪一些地板
[00:00:27.500 --> 00:00:30.300]  因為爸爸很熟悉木工
[00:00:30.300 --> 00:00:32.100]  很精湛的木工
[00:00:32.100 --> 00:00:35.100]  所以就親手做木地板
[00:00:35.100 --> 00:00:37.500]  一邊釘一邊鑲嵌
[00:00:37.500 --> 00:00:41.500]  他叫兒子過來幫忙一起做
[00:00:41.500 --> 00:00:43.500]  爸爸就教他怎樣釘
[00:00:43.500 --> 00:00:45.100]  因為木板很硬
[00:00:45.100 --> 00:00:46.300]  釘很幼
[00:00:46.300 --> 00:00:49.300]  很容易會釘彎
[00:00:49.300 --> 00:00:51.500]  所以爸爸一直教他
[00:00:51.500 --> 00:00:52.900]  他間中成功
[00:00:52.900 --> 00:00:55.100]  但好幾次他一釘的時候
[00:00:55.500 --> 00:00:57.500]  木板就彎了
[00:00:57.500 --> 00:00:59.100]  爸爸很不開心
[00:00:59.100 --> 00:01:00.300]  就走過來罵他
[00:01:00.300 --> 00:01:02.700]  「為什麼你這麼不聰明?」
[00:01:02.700 --> 00:01:03.900]  「這樣也釘不到」
[00:01:03.900 --> 00:01:06.100]  他就盡量試
[00:01:06.100 --> 00:01:07.300]  但試過好幾次
[00:01:07.300 --> 00:01:09.300]  被爸爸罵了幾次之後
[00:01:09.300 --> 00:01:13.900]  內心的憤怒就慢慢堆積
[00:01:13.900 --> 00:01:17.100]  到最後爸爸罵的時候
[00:01:17.100 --> 00:01:19.300]  他就說「我不做了」
[00:01:19.300 --> 00:01:21.100]  就扔下了褲頭
[00:01:21.100 --> 00:01:24.100]  然後就走了出去
[00:01:25.100 --> 00:01:26.900]  這件事可能是一件
[00:01:26.900 --> 00:01:28.900]  很瑣碎的生活事情
[00:01:28.900 --> 00:01:31.700]  但想不到對少年人
[00:01:31.700 --> 00:01:33.100]  是很大的影響
[00:01:33.100 --> 00:01:35.300]  他就說「當我老成長的時候」
[00:01:35.300 --> 00:01:36.700]  「到二十五歲」
[00:01:36.700 --> 00:01:38.700]  「我爸爸就離世」
[00:01:38.700 --> 00:01:40.500]  他說當他發覺
[00:01:40.500 --> 00:01:42.100]  爸爸離世的時候
[00:01:42.100 --> 00:01:46.100]  內心有很大的失落感
[00:01:46.100 --> 00:01:48.100]  他心裡就想
[00:01:48.100 --> 00:01:49.300]  「我都沒有機會」
[00:01:49.300 --> 00:01:51.300]  「向爸爸證明我的能力」
[00:01:51.300 --> 00:01:53.300]  他就離開了
[00:01:54.300 --> 00:01:55.100]  「我都沒有機會」
[00:01:55.100 --> 00:01:57.100]  「得到爸爸對我的肯定」
[00:01:57.100 --> 00:01:58.700]  「重新的肯定」
[00:01:58.700 --> 00:02:00.300]  他已經離開了
[00:02:00.300 --> 00:02:03.300]  他心裡有很失落的感覺
[00:02:03.300 --> 00:02:05.300]  所以後來他發覺自己人生
[00:02:05.300 --> 00:02:06.900]  很多時候都覺得自己
[00:02:06.900 --> 00:02:08.700]  不夠別人好
[00:02:08.700 --> 00:02:10.900]  都覺得得不到肯定
[00:02:10.900 --> 00:02:13.100]  覺得自己比別人差一點
[00:02:13.100 --> 00:02:16.300]  直到後來他自己做了爸爸
[00:02:16.300 --> 00:02:17.900]  有三個子女
[00:02:17.900 --> 00:02:19.900]  也相信了耶穌
[00:02:19.900 --> 00:02:21.900]  有一次他說
[00:02:21.900 --> 00:02:24.300]  他說在自己的房間裡預備睡覺
[00:02:24.300 --> 00:02:25.900]  先過去看看小孩
[00:02:25.900 --> 00:02:28.300]  去到小孩的房間
[00:02:28.300 --> 00:02:30.900]  看到三個小孩睡著了
[00:02:30.900 --> 00:02:32.900]  摸摸他們的頭
[00:02:32.900 --> 00:02:34.900]  摸摸他們的臉
[00:02:34.900 --> 00:02:37.900]  感覺自己很愛惜子女
[00:02:37.900 --> 00:02:39.100]  很喜歡他們
[00:02:39.100 --> 00:02:41.500]  雖然有一兩個不是很聽話
[00:02:41.500 --> 00:02:44.100]  但感覺自己的心很惜子女
[00:02:44.100 --> 00:02:47.500]  突然間一種很特別的聲音
[00:02:47.500 --> 00:02:50.700]  或者說一種感覺就出現了
[00:02:51.700 --> 00:02:54.500]  你這麼愛惜你的子女
