
[00:00:00.000 --> 00:00:01.680]  今天當我們在社會關注日
[00:00:01.680 --> 00:00:04.240]  思想到如何關心到社會上
[00:00:04.240 --> 00:00:06.440]  很多不同的朋友
[00:00:06.440 --> 00:00:07.440]  不同的人等
[00:00:07.440 --> 00:00:09.440]  不同的弟兄姊妹
[00:00:09.440 --> 00:00:14.280]  一方面我們講述到對社區的關心
[00:00:14.280 --> 00:00:19.080]  但我相信一個更加核心的重要訊息
[00:00:19.080 --> 00:00:24.480]  就是講到我們基督徒的基本生命的本質
[00:00:24.480 --> 00:00:25.960]  什麼本質呢?
[00:00:25.960 --> 00:00:29.400]  就是你和我因為領受了耶穌基督的生命
[00:00:29.400 --> 00:00:31.840]  我們的生命改變了
[00:00:31.840 --> 00:00:34.040]  因此有一種自然的
[00:00:34.040 --> 00:00:38.120]  一種生命的愛人的行動
[00:00:38.120 --> 00:00:40.200]  這種愛人的行動
[00:00:40.200 --> 00:00:45.920]  是你會可以很自然地活出來
[00:00:45.920 --> 00:00:49.040]  只要將那些障礙清除
[00:00:49.040 --> 00:00:54.280]  這種生命就更加能夠明顯地活出來
[00:00:54.280 --> 00:01:00.880]  一方面也證明了你是屬神的人
[00:01:00.880 --> 00:01:04.560]  我們今天一起看看基本生命的本質
[00:01:04.560 --> 00:01:08.880]  我們在生活當中如何可以活出來
[00:01:08.880 --> 00:01:10.200]  我們剛才讀的聖經
[00:01:10.200 --> 00:01:11.520]  《瑪提芬》二十五章
[00:01:11.520 --> 00:01:13.400]  有幾方面我們一起思想
[00:01:13.400 --> 00:01:15.560]  首先我們思想聖經裡面
[00:01:15.560 --> 00:01:18.360]  提及到主會來的時候
[00:01:18.360 --> 00:01:21.880]  對我們的審判
[00:01:21.880 --> 00:01:23.880]  當我們讀到聖經二十五章
[00:01:23.880 --> 00:01:26.120]  你知道二十四、二十五章
[00:01:26.120 --> 00:01:28.360]  兩章聖經都講述到
