
[00:00:00.000 --> 00:00:03.920]  「我們愛,因為神先愛我們」,一行一書,四章十九節
[00:00:03.920 --> 00:00:07.160]  「先」字英文是first
[00:00:07.160 --> 00:00:10.080]  有兩個含義的
[00:00:10.080 --> 00:00:14.920]  可以是次序上,即是第一
[00:00:14.920 --> 00:00:18.840]  好像考試考第一,或者跑步跑第一
[00:00:18.840 --> 00:00:20.360]  這個first
[00:00:20.360 --> 00:00:23.440]  但第二個含義應該是這一段經文所說的
[00:00:23.440 --> 00:00:33.960]  至心,最重要,或者是至為寶貴的
[00:00:33.960 --> 00:00:37.440]  就好像《約翰福音》第十三章第一節
[00:00:37.440 --> 00:00:41.120]  在預節的晚上,耶穌知道時間到了
[00:00:41.120 --> 00:00:44.760]  祂說祂愛門徒愛什麼?
[00:00:44.760 --> 00:00:46.680]  到底
[00:00:46.680 --> 00:00:51.240]  一個程度上
[00:00:51.240 --> 00:00:55.520]  耶穌愛我們愛到一個程度很深
[00:00:55.520 --> 00:00:57.520]  比我們個人也深
[00:00:57.520 --> 00:01:00.560]  先愛我們,愛我們至為寶貴
[00:01:00.560 --> 00:01:04.720]  今天我主要在這個主日
[00:01:04.720 --> 00:01:07.800]  也是張岩期的第三個主日
[00:01:07.800 --> 00:01:12.200]  也是張岩期很合適說的訊息
[00:01:12.200 --> 00:01:14.960]  我會回答兩條問題,大家一起思考
[00:01:14.960 --> 00:01:18.560]  第一,先愛我們
[00:01:18.560 --> 00:01:21.400]  是什麼一回事呢?
[00:01:21.400 --> 00:01:25.080]  耶穌基督或神先愛我們
[00:01:25.080 --> 00:01:26.680]  是什麼意思呢?
[00:01:26.680 --> 00:01:30.040]  第二,為什麼要這樣愛我們?
[00:01:30.040 --> 00:01:31.240]  為什麼?
[00:01:31.240 --> 00:01:33.360]  這個更加重要
[00:01:33.360 --> 00:01:37.000]  我們現在就看一看經文
[00:01:37.000 --> 00:01:39.760]  經文一開始的《史獨裕行》第八節說
[00:01:39.760 --> 00:01:41.480]  神是愛
[00:01:41.480 --> 00:01:45.400]  愛是神一個很獨特的特質、本質
[00:01:45.400 --> 00:01:49.920]  例如神是公義、聖潔等等
[00:01:49.920 --> 00:01:51.480]  神是愛
[00:01:51.480 --> 00:01:55.000]  但神並不是單單擁有這份愛
[00:01:55.000 --> 00:01:57.560]  祂不會保留給自己
[00:01:57.560 --> 00:01:59.880]  這份愛是怎樣的愛呢?
[00:01:59.880 --> 00:02:02.120]  在第十一節和第七節說
[00:02:02.120 --> 00:02:07.440]  祂將這份愛分享出來
[00:02:07.440 --> 00:02:09.560]  而每一個相信耶穌基督的人
[00:02:09.560 --> 00:02:13.280]  都是領受了上帝的愛
[00:02:13.280 --> 00:02:14.880]  所以愛是一份什麼呢?
