
[00:00:00.000 --> 00:00:05.000]  今天的正道經文選詞馬太福音20章1到16節
[00:00:05.000 --> 00:00:11.000]  因為天國就好比一家的主人清早去僱人進他的葡萄園做工
[00:00:11.000 --> 00:00:16.000]  他和工人講定一天一個銀幣就打發他們進葡萄園去
[00:00:16.000 --> 00:00:18.000]  約在上午九點鐘出去
[00:00:18.000 --> 00:00:21.000]  看見市場上還有閒站的人
[00:00:21.000 --> 00:00:24.000]  就對那些人說你們也進葡萄園去
[00:00:24.000 --> 00:00:27.000]  我會給你們合理的工錢
[00:00:27.000 --> 00:00:28.000]  他們也進去了
[00:00:28.000 --> 00:00:31.000]  約在正午和下午三點鐘又出去
[00:00:31.000 --> 00:00:33.000]  他也是這麼做
[00:00:33.000 --> 00:00:35.000]  約在下午五點鐘出去
[00:00:35.000 --> 00:00:37.000]  他看見還有人站在那裡
[00:00:37.000 --> 00:00:41.000]  就問他們你們為什麼整天在這裡閒站呢
[00:00:41.000 --> 00:00:44.000]  他們說因為沒有人僱我們
[00:00:44.000 --> 00:00:47.000]  他說你們也進葡萄園去
[00:00:47.000 --> 00:00:52.000]  到了晚上園主對工頭說叫工人都來給他們工錢
[00:00:52.000 --> 00:00:55.000]  從後來的起到新來的為止
[00:00:55.000 --> 00:00:58.000]  約在下午五點鐘僱的人來了
[00:00:58.000 --> 00:01:00.000]  各人領了一個銀幣
[00:01:00.000 --> 00:01:04.000]  那些最先僱的來了以為可以多領
[00:01:04.000 --> 00:01:06.000]  誰知也是各領一個銀幣
[00:01:06.000 --> 00:01:10.000]  他們領了工錢就埋怨那家的主人說
[00:01:10.000 --> 00:01:12.000]  我們整天勞苦受熱
[00:01:12.000 --> 00:01:15.000]  那些後來的只做了一小時
[00:01:15.000 --> 00:01:17.000]  你竟待他們和我們一樣嗎
[00:01:17.000 --> 00:01:20.000]  主人回答其中的一人說
[00:01:20.000 --> 00:01:22.000]  朋友我沒虧待你
[00:01:22.000 --> 00:01:24.000]  你與我講定的不是一個銀幣嗎
[00:01:24.000 --> 00:01:26.000]  拿你的錢走吧
[00:01:26.000 --> 00:01:29.000]  我樂意給那後來的和給你的一樣
[00:01:29.000 --> 00:01:32.000]  難道我的東西不可隨我的意思用嗎
[00:01:32.000 --> 00:01:35.000]  因為我做好人你就眼紅了嗎
[00:01:35.000 --> 00:01:37.000]  這樣在那後的將要在前
[00:01:37.000 --> 00:01:41.000]  在前的將要在後了
[00:01:41.000 --> 00:01:44.000]  今天為我們證到的是簡耀堂牧師
[00:01:44.000 --> 00:01:47.000]  簡牧師是恩喬堂的主人牧師
[00:01:47.000 --> 00:01:50.000]  也是恩喬堂母堂西柏崙堂的主人牧師
[00:01:50.000 --> 00:01:53.000]  他的證到題目是公平與公義
[00:01:53.000 --> 00:01:55.000]  有請簡牧師
