
[00:00:00.000 --> 00:00:03.080]  大家好,歡迎來到我們新一集的節目
[00:00:03.080 --> 00:00:05.080]  神學四重奏
[00:00:05.080 --> 00:00:07.080]  為什麼叫神學四重奏呢?
[00:00:07.080 --> 00:00:09.760]  因為我們有來自不同神學學科的人
[00:00:09.760 --> 00:00:12.200]  一起探討不同的神學議題
[00:00:12.200 --> 00:00:16.080]  事不宜遲,不如介紹一下我們的嘉賓
[00:00:16.080 --> 00:00:21.280]  右邊這位是Ben,從事神學研究、神科研究
[00:00:21.280 --> 00:00:26.560]  中間這位是阿軒,同時也是從事神科
[00:00:26.560 --> 00:00:29.560]  最右邊這位是甘霖
[00:00:29.560 --> 00:00:31.560]  他是經科技老師
[00:00:31.560 --> 00:00:37.240]  歡迎他們來探討神學四重奏
[00:00:37.240 --> 00:00:39.240]  今天我們想探討的題目
[00:00:39.240 --> 00:00:42.680]  是有關信仰、神話、聖經等問題
[00:00:42.680 --> 00:00:43.880]  為什麼會這樣呢?
[00:00:43.880 --> 00:00:45.880]  因為我們事源發現
[00:00:45.880 --> 00:00:48.880]  特別這十多年在香港的基督徒裡面
[00:00:48.880 --> 00:00:50.880]  似乎有一個現象就是
[00:00:50.880 --> 00:00:55.880]  我們很常想尋找聖經裡面記載故事的真實性
[00:00:55.880 --> 00:00:58.880]  特別有不少的人
[00:00:58.880 --> 00:01:01.880]  甚至奉獻支持不同的探險隊
[00:01:01.880 --> 00:01:07.880]  去土耳其的阿拉納山尋找方舟的木頭
[00:01:07.880 --> 00:01:08.880]  就是那個木頭
[00:01:08.880 --> 00:01:10.880]  為什麼會這樣呢?
[00:01:10.880 --> 00:01:13.880]  我們發現我們對於聖經信仰的實踐
[00:01:13.880 --> 00:01:19.880]  變成了要去證實或者尋找一些聖經故事的證據
[00:01:19.880 --> 00:01:22.880]  為什麼會有這樣的事情發生呢?
[00:01:22.880 --> 00:01:26.880]  我猜對於很多信徒來說
[00:01:26.880 --> 00:01:30.880]  他們很希望他們所信的東西可以找到一個證據
[00:01:30.880 --> 00:01:34.880]  去證明它是歷史上是真的
[00:01:34.880 --> 00:01:38.880]  所以就帶出一個概念就是歷史真實性
[00:01:38.880 --> 00:01:43.880]  他們是要認為這件事在歷史上證明它是真的
[00:01:43.880 --> 00:01:45.880]  我信它就有一種安全感
[00:01:45.880 --> 00:01:47.880]  會覺得很棒
[00:01:47.880 --> 00:01:53.880]  所以他們是會很想去尋找一個真實的安全感
[00:01:53.880 --> 00:01:57.880]  所以要探討一個問題
[00:01:57.880 --> 00:02:00.880]  我們認為什麼是真其實是很重要
[00:02:00.880 --> 00:02:03.880]  大家覺得什麼是真呢?
[00:02:03.880 --> 00:02:09.880]  對於他們來說摸得到又見得到的
[00:02:09.880 --> 00:02:12.880]  很實實在在的東西就是真
[00:02:12.880 --> 00:02:14.880]  摸得到,好像電話一樣
[00:02:14.880 --> 00:02:17.880]  有沒有一些東西不是這樣都是真的呢?
[00:02:17.880 --> 00:02:20.880]  我想到,我今天出門的時候
[00:02:20.880 --> 00:02:22.880]  我覺得今天有點冷
[00:02:22.880 --> 00:02:25.880]  我穿了熱帶,而且是一件很好的衣服
[00:02:25.880 --> 00:02:29.880]  但我出門後發現有人穿短袖衣服
[00:02:29.880 --> 00:02:31.880]  甚至是背心
[00:02:31.880 --> 00:02:34.880]  我就想,今天這麼熱?
[00:02:34.880 --> 00:02:38.880]  但我還是覺得,就算我穿了這麼多衣服
[00:02:38.880 --> 00:02:40.880]  我都覺得不是很熱
[00:02:40.880 --> 00:02:45.880]  所以大家對冷還是不冷,熱還是不熱
[00:02:45.880 --> 00:02:47.880]  好像有不同的感受
[00:02:47.880 --> 00:02:49.880]  大家經驗到的東西不同
[00:02:49.880 --> 00:02:51.880]  但其實對我們來說都是真的
[00:02:51.880 --> 00:02:55.880]  有些東西是可以證明到
[00:02:55.880 --> 00:02:57.880]  有些真是可以證明到的
[00:02:57.880 --> 00:03:02.880]  但有些真可能不是透過證明去經驗到
[00:03:02.880 --> 00:03:04.880]  但在我們信仰裏面
[00:03:04.880 --> 00:03:08.880]  很多時候我們都會想要找到一些可以捉到的東西
[00:03:08.880 --> 00:03:12.880]  或者一些可以追蹤到的東西
[00:03:12.880 --> 00:03:17.880]  這一種心態其實是怎樣的一種心態呢?
[00:03:17.880 --> 00:03:21.880]  有些時候我們覺得那種真是可以拿出來
[00:03:21.880 --> 00:03:26.880]  好像是放在實驗室裏面可以去檢查一下
[00:03:26.880 --> 00:03:30.880]  做一些量化的形式,這樣就算是真
[00:03:30.880 --> 00:03:32.880]  但剛才阿圈說的例子
[00:03:32.880 --> 00:03:36.880]  似乎是一些我們覺得很主觀的東西
[00:03:36.880 --> 00:03:39.880]  其實都可以是很真的
[00:03:39.880 --> 00:03:43.880]  我覺得冷和你覺得熱
[00:03:43.880 --> 00:03:45.880]  不代表你的感覺是錯的
[00:03:45.880 --> 00:03:48.880]  不是真實的,我們不會這樣說的
[00:03:48.880 --> 00:03:52.880]  其實經驗我們得到的東西
[00:03:52.880 --> 00:03:56.880]  我們都不會說它是假的
[00:03:56.880 --> 00:04:00.880]  都有一定程度可能是真的
[00:04:00.880 --> 00:04:02.880]  即是說其實真的東西
[00:04:02.880 --> 00:04:05.880]  不是一定我們可以拿出來
[00:04:05.880 --> 00:04:10.880]  可以捉摸到,實實在在證明到出來的
[00:04:10.880 --> 00:04:15.880]  我們的經驗,譬如我們的感受都可以是真
[00:04:15.880 --> 00:04:18.880]  我覺得這個是很大的分別
[00:04:18.880 --> 00:04:25.880]  告訴我們其實我們可以從另一個角度去看
[00:04:25.880 --> 00:04:29.880]  譬如宗教的故事
[00:04:29.880 --> 00:04:33.880]  或者是人文學科我們今天所探討的神話
[00:04:33.880 --> 00:04:37.880]  如果這樣又令我想起
[00:04:37.880 --> 00:04:40.880]  有些學者提及過
[00:04:40.880 --> 00:04:45.880]  其實這個正正就是自然科學和人文學科
[00:04:45.880 --> 00:04:48.880]  人文的科學的分別
[00:04:48.880 --> 00:04:53.880]  有些人說其實科學我們是尋找一個解釋
[00:04:53.880 --> 00:04:55.880]  即是英文就是Explanation
[00:04:55.880 --> 00:04:58.880]  但是人文學科那些
[00:04:58.880 --> 00:05:03.880]  似乎是一些我們叫做解釋或者叫做詮釋
[00:05:03.880 --> 00:05:05.880]  英文可能叫Interpretation
[00:05:05.880 --> 00:05:08.880]  就是涉及到我們剛才所說的
[00:05:08.880 --> 00:05:10.880]  很主觀的經驗
[00:05:10.880 --> 00:05:13.880]  而神話似乎是甚麼呢?
[00:05:13.880 --> 00:05:18.880]  就好像是將這些經驗去表達出來
[00:05:18.880 --> 00:05:22.880]  用一個故事的形式去表達出來
[00:05:22.880 --> 00:05:26.880]  那些好像有些人叫我講是一些Expression
[00:05:26.880 --> 00:05:28.880]  是一些表現的形式
[00:05:28.880 --> 00:05:36.880]  所以我們可能有時候是透過神話去深入去
[00:05:36.880 --> 00:05:41.880]  再問其實那些人是當時經歷甚麼
[00:05:41.880 --> 00:05:43.880]  他們的經驗是甚麼
[00:05:43.880 --> 00:05:44.880]  他們的感受是甚麼
