
[00:00:00.000 --> 00:00:05.000]  主要學習的是認真學習神的真理
[00:00:05.000 --> 00:00:06.360]  大家都知道的
[00:00:06.360 --> 00:00:09.000]  今天我們看這段聖經也很有意思的
[00:00:09.000 --> 00:00:11.560]  因為保羅寫給哥羅西的教會
[00:00:11.560 --> 00:00:12.800]  你看到他一直讀下去
[00:00:12.800 --> 00:00:14.280]  剛才你也發覺了
[00:00:14.280 --> 00:00:17.200]  一開始的時候除了為他們問安
[00:00:17.200 --> 00:00:19.000]  為他們感謝之外
[00:00:19.000 --> 00:00:21.520]  第六節開始就講到
[00:00:21.520 --> 00:00:22.960]  福音
[00:00:22.960 --> 00:00:27.640]  福音的真理傳到哥羅西教會的時候
[00:00:27.640 --> 00:00:29.800]  他們立即就開始什麼呢?
[00:00:29.800 --> 00:00:31.000]  是成長的
[00:00:31.000 --> 00:00:35.400]  他們有不斷的增長和結果子
[00:00:35.400 --> 00:00:36.720]  福圖畫很美麗
[00:00:36.720 --> 00:00:37.800]  福音一來
[00:00:37.800 --> 00:00:39.440]  接著不是停在那裡
[00:00:39.440 --> 00:00:41.640]  接著就開始開花結果
[00:00:41.640 --> 00:00:42.280]  增長
[00:00:42.280 --> 00:00:45.960]  這是一個很值得感恩的一件事
[00:00:45.960 --> 00:00:51.280]  這就是保羅一直講到第八節所講的話
[00:00:51.280 --> 00:00:53.280]  接著第九節開始
[00:00:53.280 --> 00:00:55.520]  你看到一直到第十二節
[00:00:55.520 --> 00:00:57.320]  就是保羅的祈禱
[00:00:57.320 --> 00:00:58.800]  就說既然你們這麼好
[00:00:58.800 --> 00:01:02.000]  現在向前增長的時候
[00:01:02.000 --> 00:01:03.000]  來成長了
[00:01:03.000 --> 00:01:04.200]  今天我們題目叫
[00:01:04.200 --> 00:01:06.240]  邁向成長的階梯
[00:01:06.240 --> 00:01:07.520]  你繼續成長的時候
[00:01:07.520 --> 00:01:09.200]  究竟有什麼指標
[00:01:09.200 --> 00:01:11.040]  有什麼藍圖給你呢?
[00:01:11.040 --> 00:01:13.640]  這就成為保羅的代圖裡面
[00:01:13.640 --> 00:01:15.640]  很重要的一幅圖畫
[00:01:15.640 --> 00:01:16.960]  今天我想跟大家
[00:01:16.960 --> 00:01:17.960]  時間也不是很多
[00:01:17.960 --> 00:01:19.760]  我們集中在這四節
[00:01:19.760 --> 00:01:20.520]  第九
[00:01:20.520 --> 00:01:21.120]  第十
[00:01:21.120 --> 00:01:21.840]  第十一
[00:01:21.840 --> 00:01:22.720]  第十二
[00:01:22.720 --> 00:01:23.920]  每一節裡面
[00:01:23.920 --> 00:01:25.400]  我發覺保羅
[00:01:25.400 --> 00:01:29.040]  都講了有一個成長的指標
[00:01:29.040 --> 00:01:31.040]  成長的目標
[00:01:31.040 --> 00:01:34.080]  然後我們特別集中在這四節
[00:01:34.080 --> 00:01:35.240]  當然我們講的時候
