
[00:00:00.000 --> 00:00:04.600]  今天我們來到第五位被稱爲神人的人物
[00:00:04.600 --> 00:00:07.000]  就是大衛王
[00:00:07.000 --> 00:00:13.400]  在歷代之下八章十四節
[00:00:13.400 --> 00:00:16.200]  提到大衛是神人
[00:00:16.200 --> 00:00:19.700]  大衛實在是一位敬畏神的人
[00:00:19.700 --> 00:00:23.200]  愛神的人 禱告神的人
[00:00:23.200 --> 00:00:25.500]  他在許多的事上鮮明
[00:00:25.500 --> 00:00:27.600]  他如何地重視神
[00:00:27.600 --> 00:00:32.200]  如何地尋求榮耀神 一生偉樂
[00:00:32.200 --> 00:00:36.000]  他對神的信心又是何等的堅強
[00:00:36.000 --> 00:00:38.000]  在許許多多的方面
[00:00:38.000 --> 00:00:40.600]  他都做我們的榜樣
[00:00:40.600 --> 00:00:42.100]  那麼他跌倒的時候
[00:00:42.100 --> 00:00:44.200]  因爲神的愛的提醒
[00:00:44.200 --> 00:00:48.400]  他迴轉痛悔 認罪 悔改
[00:00:48.400 --> 00:00:51.500]  在神的面前重新站立起來
[00:00:51.500 --> 00:00:54.200]  恢復與神美好的交通
[00:00:54.200 --> 00:00:57.800]  這一切的事都在我們的心中
[00:00:57.800 --> 00:01:00.400]  留下一個很深刻的印象
[00:01:00.400 --> 00:01:04.600]  對我們的靈性有很大的啓發的作用
[00:01:04.600 --> 00:01:08.600]  現在我們要從七方面來看一看
[00:01:08.600 --> 00:01:12.500]  大衛如何地有美好的表現
[00:01:12.500 --> 00:01:13.500]  第一方面
[00:01:13.500 --> 00:01:19.100]  大衛是一位最注重敬拜讚美神的領袖
[00:01:19.100 --> 00:01:24.300]  他常常地讚美神 他常常地敬拜神
[00:01:24.300 --> 00:01:30.000]  而他對神的敬拜是出於愛神和敬畏神
[00:01:30.000 --> 00:01:33.300]  詩篇一百二十二篇第一節
[00:01:33.300 --> 00:01:37.800]  詩篇一百二十二篇第一節給我們看見
[00:01:37.800 --> 00:01:40.300]  大衛說:人對我說
[00:01:40.300 --> 00:01:44.600]  我們往耶和華的殿去 我就歡喜
[00:01:44.600 --> 00:01:47.500]  人一提到到耶和華的殿中去
[00:01:47.500 --> 00:01:50.300]  敬拜神、讚美神、親近神
[00:01:50.300 --> 00:01:52.400]  他就滿心歡喜
[00:01:52.400 --> 00:01:54.600]  這是因爲他愛神
