
[00:00:00.000 --> 00:00:05.480]  在我們成長的過程中,我們經常提到兩個字
[00:00:05.480 --> 00:00:08.120]  一個是剛強,一個是軟弱
[00:00:08.120 --> 00:00:10.720]  什麼是剛強?什麼是軟弱?
[00:00:10.720 --> 00:00:14.440]  很多時候我們看到在我們身邊的人
[00:00:14.440 --> 00:00:17.400]  自認自己做什麼都很厲害
[00:00:17.400 --> 00:00:21.920]  做什麼就成就什麼,這是一個很剛強的人
[00:00:21.920 --> 00:00:25.520]  軟弱是什麼呢?就是自己經常說自己不行
[00:00:25.520 --> 00:00:30.440]  經常自認自己做什麼都不好,這些人就是軟弱的人
[00:00:30.440 --> 00:00:35.440]  不過今天我們所看保羅說出他自己一個很重要的經驗
[00:00:35.440 --> 00:00:38.760]  或者這也是基督徒普遍的經驗
[00:00:38.760 --> 00:00:41.960]  就是什麼是軟弱,什麼是剛強
[00:00:41.960 --> 00:00:48.480]  保羅去開發反轉我們成長中很多的觀念
[00:00:48.480 --> 00:00:51.600]  保羅說他是誇自己的軟弱
[00:00:51.600 --> 00:00:57.200]  而誇自己的軟弱過程中經歷什麼叫做剛強的力量
[00:00:57.200 --> 00:01:03.120]  保羅在《哥倫多後書》第十二章第一至十節
[00:01:03.120 --> 00:01:08.400]  講出了一個三層天的一個屬靈神秘的經驗
[00:01:08.400 --> 00:01:12.640]  一開始保羅說自誇是無益的
[00:01:12.640 --> 00:01:15.720]  人不可以自誇自己任何的東西
[00:01:15.720 --> 00:01:19.400]  不過保羅說他必須自誇
[00:01:19.400 --> 00:01:24.840]  為什麼呢?可能在敵對的信徒當中
[00:01:24.840 --> 00:01:26.160]  或者敵對的人裡面
[00:01:26.160 --> 00:01:28.560]  他們很自誇有屬靈的經驗
[00:01:28.560 --> 00:01:30.240]  很神秘的經驗
[00:01:30.240 --> 00:01:31.880]  當有這些經驗的時候
[00:01:31.880 --> 00:01:35.440]  就證明我自己獨特的一個身份
[00:01:35.440 --> 00:01:37.600]  保羅在這裡說
[00:01:37.600 --> 00:01:41.760]  你不要以為只有你們有這麼超凡的經驗
[00:01:41.760 --> 00:01:44.320]  其實我在很多年前
[00:01:44.320 --> 00:01:49.160]  十四年前我已經有超凡的經驗
[00:01:49.160 --> 00:01:53.720]  保羅在這裡帶出了必須的自誇
[00:01:53.720 --> 00:01:59.520]  用這個經驗去證明自己的使徒其中一個身份
[00:01:59.520 --> 00:02:01.840]  不過保羅有一個很大的張力
[00:02:01.840 --> 00:02:07.120]  他很清楚人是不是因為成為耶穌的使徒
[00:02:07.120 --> 00:02:11.200]  不是因為有這些屬靈的超凡經驗
[00:02:11.200 --> 00:02:15.760]  而更重要的就是有沒有一個依靠上帝的心
[00:02:15.760 --> 00:02:23.120]  所以保羅在這裡用了一個很輾轉的方式
[00:02:23.120 --> 00:02:26.040]  去表達一個這麼重要的道理
[00:02:26.040 --> 00:02:28.200]  保羅在這裡一開始說
[00:02:28.200 --> 00:02:32.160]  有一個三層天經驗的時候
[00:02:32.160 --> 00:02:35.040]  一開始他用第三個人去稱呼
[00:02:35.040 --> 00:02:36.040]  說有一個人
[00:02:36.040 --> 00:02:38.560]  保羅在這裡不用第一身
[00:02:38.560 --> 00:02:41.440]  我是有這個經驗
[00:02:41.440 --> 00:02:45.440]  可以反映到保羅心理的一個平衡
[00:02:45.440 --> 00:02:49.080]  他又要說出這個屬靈的經驗
[00:02:49.080 --> 00:02:50.800]  讓一群信徒知道
[00:02:50.800 --> 00:02:53.880]  他其實是有這樣的經驗
[00:02:53.880 --> 00:02:56.760]  但保羅也要提醒一群信徒
