
[00:00:00.000 --> 00:00:03.480]  我們思想一位的主
[00:00:03.480 --> 00:00:07.120]  祂是永不離棄我們的主
[00:00:07.120 --> 00:00:08.320]  當我們讀詩篇的時候
[00:00:08.320 --> 00:00:10.640]  或者會想分析一節經文
[00:00:10.640 --> 00:00:13.160]  都是我在弟兄姊妹當中
[00:00:13.160 --> 00:00:15.800]  常常聽見弟兄姊妹都提及
[00:00:15.800 --> 00:00:18.320]  聖經提摩太前書第二章
[00:00:18.320 --> 00:00:21.520]  提摩太後書第二章第十三節裏面
[00:00:21.520 --> 00:00:24.360]  一句說話我們常常都會記得
[00:00:24.360 --> 00:00:25.640]  聖經說:
[00:00:25.640 --> 00:00:30.920]  我們縱然失信,他仍是可信的,
[00:00:30.920 --> 00:00:35.320]  因為他不能背負自己。
[00:00:35.320 --> 00:00:38.560]  這部日上帝很清楚向我們表明
[00:00:38.560 --> 00:00:41.640]  就算我們失信、就算我們軟弱
[00:00:41.640 --> 00:00:44.840]  祂不會因此對我們失信
[00:00:44.840 --> 00:00:48.120]  亦都意味著上帝的信實
[00:00:48.120 --> 00:00:52.600]  不因為我們的軟弱、我們的不信而改變
[00:00:52.600 --> 00:00:57.000]  因為祂的本性就是信實的主
[00:00:57.000 --> 00:01:01.520]  因此祂仍然會去因待尋求的人
[00:01:01.520 --> 00:01:03.280]  何時我們轉向祂
[00:01:03.280 --> 00:01:06.800]  我們尋求祂就得到幫助
[00:01:06.800 --> 00:01:11.360]  這正是我們禱告生命的一個重要的基石
[00:01:11.360 --> 00:01:13.840]  因為知道上帝是信實的
[00:01:13.840 --> 00:01:15.880]  就算我們感覺自己很軟弱
[00:01:15.880 --> 00:01:18.640]  感覺自己有很多問題
[00:01:18.640 --> 00:01:20.560]  但仍然知道一件事實
[00:01:20.560 --> 00:01:25.560]  就是何時倚靠祂就必得到幫助
[00:01:25.560 --> 00:01:27.440]  因此當我們讀聖經的時候
[00:01:27.440 --> 00:01:29.800]  看到很多歷代的詩人
[00:01:29.800 --> 00:01:32.520]  他們在神面前尋求祂的時候
[00:01:32.520 --> 00:01:35.040]  他們都帶著一份信念
[00:01:35.040 --> 00:01:38.840]  就是我們放心、放膽可以尋求
[00:01:38.840 --> 00:01:41.480]  因為祂不會離棄我們
[00:01:41.480 --> 00:01:43.920]  祂是信實的主
[00:01:43.920 --> 00:01:45.320]  當你這樣去了解的時候
[00:01:45.320 --> 00:01:48.880]  就會明白當詩人在七十一篇
[00:01:48.880 --> 00:01:52.680]  他講述到自己所經歷很多的困難
[00:01:52.680 --> 00:01:55.560]  但在困難當中他仍然很清楚知道
[00:01:55.560 --> 00:01:58.600]  神是他永遠的盆石
[00:01:58.600 --> 00:02:00.840]  永遠的倚靠
[00:02:00.840 --> 00:02:02.560]  你讀到第七十一篇
[00:02:02.560 --> 00:02:05.760]  如果你先去到下第九節的時候
[00:02:05.760 --> 00:02:08.320]  你見到詩人都坦白地承認
[00:02:08.320 --> 00:02:11.400]  他其實是一種很軟弱的狀況
[00:02:11.400 --> 00:02:13.600]  第九節 聖經說
[00:02:13.600 --> 00:02:15.240]  我憐惱的時候
[00:02:15.240 --> 00:02:17.560]  求你不要丟棄我
[00:02:17.560 --> 00:02:19.360]  我氣力衰弱的時候
[00:02:19.360 --> 00:02:22.040]  求你不要離棄我
[00:02:22.040 --> 00:02:25.160]  詩人年紀開始漸老
[00:02:25.160 --> 00:02:28.200]  甚至有一些患病
[00:02:28.200 --> 00:02:31.600]  在當時他不單止感覺自己很軟弱
[00:02:31.600 --> 00:02:34.000]  也有很多人在那個時候取笑他
[00:02:34.000 --> 00:02:35.600]  甚至攻擊他
[00:02:35.600 --> 00:02:38.800]  在上下的經文大家看到
[00:02:38.800 --> 00:02:40.560]  在這種情況裡面
[00:02:40.560 --> 00:02:43.000]  甚至有些人會覺得他是怪
[00:02:43.000 --> 00:02:44.600]  第七節
[00:02:44.600 --> 00:02:47.800]  眾人都以我為怪
[00:02:47.800 --> 00:02:50.560]  意思是說好像很多人都會感覺
[00:02:50.560 --> 00:02:53.000]  你現在面對很多很多的困難
[00:02:53.000 --> 00:02:56.080]  一定是神在懲罰你
[00:02:56.080 --> 00:02:57.200]  這個以為怪
[00:02:57.200 --> 00:03:01.560]  可以翻譯做一個不祥的記號的意思
[00:03:01.560 --> 00:03:02.760]  它是很不祥的
[00:03:02.760 --> 00:03:05.280]  帶來了很多很多人的問題
[00:03:05.280 --> 00:03:07.320]  自己的問題
[00:03:07.320 --> 00:03:08.720]  因此很多人就說
[00:03:08.720 --> 00:03:11.760]  當然是神現在都離棄你了
[00:03:11.760 --> 00:03:15.640]  你看看第十一節
[00:03:15.640 --> 00:03:18.160]  很多人說神已經離棄了他
[00:03:18.160 --> 00:03:20.920]  你們追趕他 拿住他吧
[00:03:20.920 --> 00:03:24.400]  因為沒有人能夠搭救他了
[00:03:24.400 --> 00:03:26.280]  如果不是神離棄他
[00:03:26.280 --> 00:03:28.560]  怎麼會發生這麼多事
[00:03:28.560 --> 00:03:30.840]  怎麼會這麼軟弱呢
[00:03:30.840 --> 00:03:33.760]  現在可以放心去攻擊他了
[00:03:33.760 --> 00:03:35.320]  因為沒有人能夠幫到他
[00:03:35.320 --> 00:03:37.800]  上帝都拋棄了他
[00:03:37.800 --> 00:03:42.720]  很多這些周圍的思想在他耳邊出現
[00:03:42.720 --> 00:03:44.440]  詩人面對這些情況
[00:03:44.440 --> 00:03:46.680]  甚至可能他自己裡面都會問
[00:03:46.680 --> 00:03:50.120]  究竟是不是神離棄了我呢
[00:03:50.120 --> 00:03:51.600]  究竟這位上帝
[00:03:51.600 --> 00:03:53.280]  是不是因為我現在軟弱
[00:03:53.280 --> 00:03:57.800]  他就覺得不再願意來幫助我呢
[00:03:57.800 --> 00:04:01.320]  在這些很容易會有的疑惑裡面
[00:04:01.320 --> 00:04:04.320]  你發覺詩人他整個的內心
[00:04:04.320 --> 00:04:07.680]  仍然有一個很清楚的信念
[00:04:07.680 --> 00:04:12.760]  就是永遠轉向上帝
[00:04:12.760 --> 00:04:15.640]  因為他是不改變的
[00:04:15.640 --> 00:04:17.080]  信實的主
[00:04:17.080 --> 00:04:19.640]  所以一開始第一節的時候
[00:04:19.640 --> 00:04:21.960]  他沒有馬上講述他的問題
[00:04:21.960 --> 00:04:25.440]  但是他將他心中的那種信念
[00:04:25.440 --> 00:04:27.480]  很清楚地表白出來
[00:04:27.480 --> 00:04:30.480]  耶和華說「我投靠你」
[00:04:30.480 --> 00:04:33.440]  心裡面所想念的是這位上帝
[00:04:33.440 --> 00:04:36.320]  而清楚地表明「我投靠你」
[00:04:36.320 --> 00:04:38.160]  「我投靠你」
[00:04:38.160 --> 00:04:40.320]  然後你讀落下的時候
[00:04:40.320 --> 00:04:43.200]  在第四節提及到
[00:04:43.200 --> 00:04:47.160]  有一些惡人想來攻擊他
[00:04:47.160 --> 00:04:49.080]  這些殘暴的人
[00:04:49.080 --> 00:04:51.000]  以為能夠掌握住一切
[00:04:51.000 --> 00:04:54.680]  以為能夠控制住他的命運
[00:04:54.680 --> 00:04:57.880]  但是詩人講到他們的情況的時候
[00:04:57.880 --> 00:05:01.080]  立刻將心思同樣轉向神
[00:05:01.080 --> 00:05:03.400]  所以接著第五節
[00:05:03.400 --> 00:05:07.640]  他就說「因為你是我的盼望」
[00:05:07.640 --> 00:05:11.800]  「神啊 你是我的永遠的盼望」
[00:05:11.800 --> 00:05:14.280]  然後講到不單只是今天
[00:05:14.280 --> 00:05:15.600]  也只是經歷過
[00:05:15.600 --> 00:05:21.120]  上帝是從自己年幼以來一直所依靠的
[00:05:21.120 --> 00:05:22.320]  第六節說
[00:05:22.320 --> 00:05:25.680]  「我自出母胎就依賴你」
[00:05:25.680 --> 00:05:29.080]  「把我從母腹中領出來的就是你」
[00:05:29.080 --> 00:05:31.760]  「我要常常地讚美你」
[00:05:31.760 --> 00:05:34.560]  很清楚地向神表明
[00:05:34.560 --> 00:05:37.680]  他不會放棄對神的倚靠
[00:05:37.680 --> 00:05:41.080]  他仍然會堅定地去倚靠神
[00:05:41.080 --> 00:05:43.280]  因為過去上帝如何
[00:05:43.280 --> 00:05:46.800]  今天他仍然如何
[00:05:46.800 --> 00:05:52.000]  我想起以前經常用的指南針
[00:05:52.000 --> 00:05:54.160]  這次可能大家都不需要指南針
[00:05:54.160 --> 00:05:57.280]  你拿手機出來按兩下就可以了
[00:05:57.280 --> 00:05:58.840]  以前用指南針的時候
[00:05:58.840 --> 00:06:01.640]  有些時候去到郊野看看方向
[00:06:01.640 --> 00:06:02.920]  拿出一個鑼盤
[00:06:02.920 --> 00:06:07.600]  小時候就會清楚指向北 指向南
[00:06:07.600 --> 00:06:10.720]  但這時候碰撞的時候
[00:06:10.720 --> 00:06:12.720]  發覺指南針會震動
[00:06:12.720 --> 00:06:14.200]  有時候轉歪了
