
[00:00:00.000 --> 00:00:04.000]  今天早上我們要領受的信息
[00:00:04.000 --> 00:00:08.000]  就是愛主的考驗
[00:00:08.000 --> 00:00:12.000]  愛主需要考驗
[00:00:12.000 --> 00:00:16.000]  感謝主有許多的人在這個考驗裡面
[00:00:16.000 --> 00:00:19.000]  有很好的成績
[00:00:19.000 --> 00:00:25.000]  但是也有人呢在這個考驗裡面失敗了
[00:00:25.000 --> 00:00:27.000]  成績很差
[00:00:27.000 --> 00:00:30.000]  我們要能夠滿足主的心
[00:00:30.000 --> 00:00:34.000]  今天早上我們安靜在主的面前
[00:00:34.000 --> 00:00:37.000]  來查看自己
[00:00:37.000 --> 00:00:39.000]  不是查看別人
[00:00:39.000 --> 00:00:42.000]  我們查看每一個人自己
[00:00:42.000 --> 00:00:47.000]  願主的話語光照我們
[00:00:47.000 --> 00:00:50.000]  我們要從聖經裡面看
[00:00:50.000 --> 00:00:53.000]  幾個愛主的考驗
[00:00:53.000 --> 00:00:57.000]  就是時間的考驗
[00:00:57.000 --> 00:01:01.000]  請大家翻到西施路第二章
[00:01:01.000 --> 00:01:07.000]  我們很熟悉的一節聖經
[00:01:07.000 --> 00:01:11.000]  第四節
[00:01:11.000 --> 00:01:14.000]  西施路二章四節
[00:01:14.000 --> 00:01:18.000]  然而有一件事我要責備你
[00:01:18.000 --> 00:01:23.000]  就是你把起初的愛心離去了
[00:01:23.000 --> 00:01:27.000]  起初的愛心有兩種的翻譯
[00:01:27.000 --> 00:01:31.000]  第一是時間方面的重點
[00:01:31.000 --> 00:01:36.000]  就是在時間上在前有這個愛心
[00:01:36.000 --> 00:01:41.000]  但是現在就沒有了
[00:01:41.000 --> 00:01:44.000]  起初有現在沒有
[00:01:44.000 --> 00:01:50.000]  這是依附所教會裡面一部分的弟兄姊妹的情況
[00:01:50.000 --> 00:01:54.000]  主向他們顯現
[00:01:54.000 --> 00:01:58.000]  這樣的提醒他們責備他們
[00:01:58.000 --> 00:02:01.000]  這是主愛的責備
[00:02:01.000 --> 00:02:05.000]  哪裡有愛哪裡就有責備
[00:02:05.000 --> 00:02:10.000]  我們愛主也願意接受主的責備
[00:02:10.000 --> 00:02:13.000]  起初的愛
[00:02:13.000 --> 00:02:16.000]  過去有現在沒有
[00:02:16.000 --> 00:02:21.000]  我們想到主問約彼得說
[00:02:21.000 --> 00:02:25.000]  你愛我比這些更深嗎?三次
[00:02:25.000 --> 00:02:27.000]  為什麼三次?
[00:02:27.000 --> 00:02:29.000]  我相信至少兩個意思
[00:02:29.000 --> 00:02:32.000]  第一個意思就是彼得曾經三次不認主
[00:02:32.000 --> 00:02:35.000]  所以主現在三次問他你愛我嗎?
[00:02:35.000 --> 00:02:39.000]  第二個意思就是主要彼得知道
[00:02:39.000 --> 00:02:42.000]  彼得常常需要主的提醒
[00:02:42.000 --> 00:02:44.000]  問一次不夠
[00:02:44.000 --> 00:02:46.000]  問兩次不夠
[00:02:46.000 --> 00:02:48.000]  問三次多次
[00:02:48.000 --> 00:02:52.000]  常常需要主的提醒
[00:02:52.000 --> 00:02:58.000]  我們在這個世界上工作過日子
[00:02:58.000 --> 00:03:00.000]  我們也需要主
[00:03:00.000 --> 00:03:03.000]  每過一段時間就問我們
[00:03:03.000 --> 00:03:07.000]  你愛我比這些更深嗎?
[00:03:07.000 --> 00:03:10.000]  我們中間沒有一個人不需要主
[00:03:10.000 --> 00:03:17.000]  繼續的不斷的來提醒我們
[00:03:17.000 --> 00:03:20.000]  這是第一方面的考驗
[00:03:20.000 --> 00:03:23.000]  時間的考驗
[00:03:23.000 --> 00:03:25.000]  第二方面的考驗
[00:03:25.000 --> 00:03:28.000]  就是愛主的程度上的考驗
[00:03:28.000 --> 00:03:32.000]  這個起初兩個字第二種的翻譯
[00:03:32.000 --> 00:03:35.000]  就是第一的愛
[00:03:35.000 --> 00:03:39.000]  起初的愛就是first love
[00:03:39.000 --> 00:03:43.000]  在英文裡面first love有時間的意義
[00:03:43.000 --> 00:03:46.000]  就是第一次的愛
[00:03:46.000 --> 00:03:49.000]  但是還有另外一個意思
[00:03:49.000 --> 00:03:54.000]  就是放在第一最高地位上的那個愛
[00:03:54.000 --> 00:03:58.000]  first love就是高過一切其他的愛的那個愛
[00:03:58.000 --> 00:04:00.000]  最高的愛
[00:04:00.000 --> 00:04:04.000]  超過一切的愛
[00:04:04.000 --> 00:04:06.000]  主也問我們
[00:04:06.000 --> 00:04:11.000]  我們愛主那個愛程度怎麼樣?
[00:04:11.000 --> 00:04:13.000]  是在一切之上嗎?
[00:04:13.000 --> 00:04:17.000]  我們把主放在第一位嗎?
[00:04:17.000 --> 00:04:22.000]  是不是我們慢慢慢慢愛主的心減低了呢?
[00:04:22.000 --> 00:04:24.000]  有一次有一個弟兄
[00:04:24.000 --> 00:04:27.000]  他用這個錄音機
[00:04:27.000 --> 00:04:29.000]  原來錄得很好
[00:04:29.000 --> 00:04:30.000]  那後來發現了
[00:04:30.000 --> 00:04:33.000]  他錄一個另外的弟兄唱詩
[00:04:33.000 --> 00:04:36.000]  放出來的時候就走音
[00:04:36.000 --> 00:04:37.000]  為什麼?
[00:04:37.000 --> 00:04:39.000]  還是那個錄音機
[00:04:39.000 --> 00:04:42.000]  機件沒有改變
[00:04:42.000 --> 00:04:47.000]  但是那個電池弱了
[00:04:47.000 --> 00:04:52.000]  所以錄出來的聲音就走掉了
[00:04:52.000 --> 00:04:53.000]  弱了
[00:04:53.000 --> 00:04:55.000]  走掉了
[00:04:55.000 --> 00:04:59.000]  我們愛主的心有沒有減弱?
[00:04:59.000 --> 00:05:01.000]  主沒有改變
[00:05:01.000 --> 00:05:05.000]  那我們對主的愛有沒有變得冷
[00:05:05.000 --> 00:05:07.000]  變得少
[00:05:07.000 --> 00:05:09.000]  變得弱
[00:05:09.000 --> 00:05:14.000]  第一的愛有沒有在我們的裡面
[00:05:14.000 --> 00:05:18.000]  主對那問他的人說
[00:05:18.000 --> 00:05:21.000]  誡命中第一要緊的
[00:05:21.000 --> 00:05:26.000]  就是要盡心盡性盡意盡力愛主你的神
[00:05:26.000 --> 00:05:28.000]  這是第一條誡命
[00:05:28.000 --> 00:05:30.000]  在許多的誡命裡面
[00:05:30.000 --> 00:05:32.000]  這是第一條
[00:05:32.000 --> 00:05:38.000]  要盡心盡性盡意盡力愛主我們的神
[00:05:38.000 --> 00:05:41.000]  我們對神的愛
[00:05:41.000 --> 00:05:44.000]  在時間上如何?
[00:05:44.000 --> 00:05:51.000]  在程度上又如何?
[00:05:51.000 --> 00:05:54.000]  在這個程度上的愛裡面
[00:05:54.000 --> 00:05:57.000]  有一個比較的因素在裡面
[00:05:57.000 --> 00:05:59.000]  主耶穌問彼得說
[00:05:59.000 --> 00:06:04.000]  你愛我比這些更深嗎?
[00:06:04.000 --> 00:06:07.000]  最好的愛受得起比較
[00:06:07.000 --> 00:06:08.000]  如果沒有比較
[00:06:08.000 --> 00:06:12.000]  我們就不能定愛的真假高低
[00:06:12.000 --> 00:06:14.000]  一比就比出來
[00:06:14.000 --> 00:06:16.000]  我們平常說不怕不識貨
[00:06:16.000 --> 00:06:18.000]  就怕貨比貨
[00:06:18.000 --> 00:06:21.000]  沒有比的時候我們就很難分
[00:06:21.000 --> 00:06:24.000]  它到底好到什麼程度
[00:06:24.000 --> 00:06:26.000]  壞到什麼程度
[00:06:26.000 --> 00:06:28.000]  但是一比呢
