
[00:00:00.000 --> 00:00:03.240]  現在我們進入第二個專題
[00:00:03.240 --> 00:00:06.320]  這個專題就是我們剛才說過的
[00:00:06.320 --> 00:00:09.560]  究竟一個人如果要將自己
[00:00:09.560 --> 00:00:14.320]  盡量地去接合與神之間的意志
[00:00:14.320 --> 00:00:15.000]  剛才說過
[00:00:15.000 --> 00:00:17.000]  一個最熟悉靈性的人
[00:00:17.000 --> 00:00:21.040]  就是他將自己的意志與神的意志聯合
[00:00:21.040 --> 00:00:24.600]  再進一步他將自己的生命與神的生命聯合
[00:00:24.600 --> 00:00:25.920]  這個是目標
[00:00:25.920 --> 00:00:28.920]  但是在這個目標裏面有一個很漫長的過程
[00:00:28.920 --> 00:00:31.440]  在歷代的基督徒
[00:00:31.440 --> 00:00:32.680]  愛主的基督徒裏面
[00:00:32.680 --> 00:00:36.760]  他們就是有一種這樣的追尋
[00:00:36.760 --> 00:00:39.680]  他們的追尋就將它寫出來
[00:00:39.680 --> 00:00:42.480]  我現在就將在教會歷史當中
[00:00:42.480 --> 00:00:46.080]  歷代的教會歷史裏面一些靈修神學的作品
[00:00:46.080 --> 00:00:49.640]  講到與神聯合的生命一些最重要的東西
[00:00:49.640 --> 00:00:52.920]  和大家稍為分享一下
[00:00:52.920 --> 00:00:55.080]  這裏是你見到很長的
[00:00:55.080 --> 00:00:56.960]  是兩頁多的
[00:00:56.960 --> 00:00:58.680]  逢我寫得
[00:00:58.680 --> 00:01:00.040]  如果你是認識我的人就知道了
[00:01:00.040 --> 00:01:05.120]  我的筆記寫得長的就表示我講得快
[00:01:05.120 --> 00:01:07.320]  筆記寫得短的就表示我會發揮多些
[00:01:07.320 --> 00:01:09.320]  這麼多
[00:01:09.320 --> 00:01:14.200]  送靈經歷是一個旅程
[00:01:14.200 --> 00:01:17.480]  是一個journey
[00:01:17.480 --> 00:01:20.480]  是一個過程
[00:01:20.480 --> 00:01:24.600]  在主教第四世紀有一個很出名的
[00:01:24.600 --> 00:01:28.400]  神學家是幾個教會裏面很活躍的分子
[00:01:28.400 --> 00:01:31.240]  他聽到別人說在羅馬有一個
[00:01:31.240 --> 00:01:34.120]  拜一婆一個基督徒一個老婦女
[00:01:34.120 --> 00:01:36.320]  她很多年了
[00:01:36.320 --> 00:01:40.040]  三十年都沒有離開過那間屋
[00:01:40.040 --> 00:01:41.240]  在那間屋裏面
[00:01:41.240 --> 00:01:42.200]  她覺得很奇怪
[00:01:42.200 --> 00:01:44.920]  基督徒她自己是到處奔走
[00:01:44.920 --> 00:01:47.680]  而那幾個基督徒可以一輩子都不離開那間屋
[00:01:47.680 --> 00:01:50.440]  於是就很有好奇心去找她
[00:01:50.440 --> 00:01:53.360]  去到羅馬的地方就在哈爾門找她
[00:01:53.360 --> 00:01:57.120]  進去的時候就見到這個婦女
[00:01:57.120 --> 00:01:58.560]  這個姐妹很老
[00:01:58.560 --> 00:02:01.360]  她就踢頭問她一個她很想問的問題
[00:02:01.360 --> 00:02:04.280]  她說為甚麼你二三十年都坐在這裏
[00:02:04.280 --> 00:02:05.680]  甚麼都不做
[00:02:05.680 --> 00:02:07.680]  你坐在這裏做甚麼
[00:02:07.680 --> 00:02:09.080]  那個姐妹很有意思
[00:02:09.080 --> 00:02:10.400]  這個是真的事實
[00:02:10.400 --> 00:02:11.320]  記載文件記載
[00:02:11.320 --> 00:02:12.920]  她就回答了一句話
[00:02:12.920 --> 00:02:14.720]  她說我不是只是坐在這裏
[00:02:14.720 --> 00:02:17.040]  我是在一個旅程當中
[00:02:17.040 --> 00:02:18.520]  I am not sitting here
[00:02:18.520 --> 00:02:20.520]  I am in a journey
[00:02:20.520 --> 00:02:22.280]  我是在一個旅程當中
[00:02:22.280 --> 00:02:23.960]  我相信她所說的就是
[00:02:23.960 --> 00:02:27.360]  我雖然的身體並沒有周圍活動
[00:02:27.360 --> 00:02:30.160]  但是我的心靈是不斷地活動的
[00:02:30.160 --> 00:02:32.360]  昨天的我和今天的我
[00:02:32.360 --> 00:02:33.560]  今天我和明天的我
[00:02:33.560 --> 00:02:35.960]  其實是在一個旅程當中
[00:02:35.960 --> 00:02:37.920]  我相信這個是很表達到
[00:02:37.920 --> 00:02:40.640]  屬靈經歷並不是說
[00:02:40.640 --> 00:02:43.880]  並不是一些表面的功夫
[00:02:43.880 --> 00:02:46.520]  而是一個不斷的經驗的旅程
[00:02:46.520 --> 00:02:48.080]  在這個旅程裏面有探索
[00:02:48.080 --> 00:02:49.200]  有掙扎
[00:02:49.200 --> 00:02:50.480]  有發現
[00:02:50.480 --> 00:02:51.640]  有進步
[00:02:51.640 --> 00:02:52.920]  可能這個旅程裏面
[00:02:52.920 --> 00:02:53.880]  有探索的興奮
[00:02:53.880 --> 00:02:56.040]  亦都有摸索的迷茫
[00:02:56.040 --> 00:03:00.920]  或者可以曾經試過走錯路的那種惋惜
[00:03:00.920 --> 00:03:01.680]  但是無論如何
