
[00:00:00.000 --> 00:00:04.000]  今天跟大家思考的題目是「不再捆綁」
[00:00:04.000 --> 00:00:07.000]  也意味著在我們人生裏面
[00:00:07.000 --> 00:00:08.000]  或許很多我們所認識的朋友
[00:00:08.000 --> 00:00:09.000]  甚至是自己
[00:00:09.000 --> 00:00:12.000]  都會經歷某一方面的捆綁
[00:00:12.000 --> 00:00:15.000]  但主耶穌的救恩、祂的福音、祂的真道
[00:00:15.000 --> 00:00:17.000]  是釋放了我們
[00:00:17.000 --> 00:00:19.000]  我記得看了一篇文章
[00:00:19.000 --> 00:00:21.000]  看到一位中年女士
[00:00:21.000 --> 00:00:24.000]  當她在年紀逐漸長大的時候
[00:00:24.000 --> 00:00:27.000]  發覺自己有很多很多的情緒
[00:00:27.000 --> 00:00:30.000]  發覺自己很多時候睡不著覺
[00:00:30.000 --> 00:00:32.000]  很多失眠的日子
[00:00:32.000 --> 00:00:34.000]  精神有衰弱
[00:00:34.000 --> 00:00:37.000]  因此裏面有很多很多的慌張的情緒
[00:00:37.000 --> 00:00:39.000]  經常大發脾氣
[00:00:39.000 --> 00:00:41.000]  經常罵自己的家人
[00:00:41.000 --> 00:00:42.000]  家人就說
[00:00:42.000 --> 00:00:45.000]  未曾見到她已經聽見她的聲音
[00:00:45.000 --> 00:00:47.000]  在罵人
[00:00:47.000 --> 00:00:48.000]  所以家裏都很怕了她
[00:00:48.000 --> 00:00:50.000]  不知道為何她會有這樣的情況
[00:00:50.000 --> 00:00:52.000]  因為女士都知道自己的情形
[00:00:52.000 --> 00:00:55.000]  她就很想尋求宗教上的幫助
[00:00:55.000 --> 00:00:58.000]  她經常去吃齋、去念經等等
[00:00:58.000 --> 00:01:00.000]  希望能夠幫助自己
[00:01:00.000 --> 00:01:03.000]  但似乎一直來都沒有幫助
[00:01:03.000 --> 00:01:06.000]  後來有一個朋友就邀請她回教會
[00:01:06.000 --> 00:01:07.000]  當時她在北美的地方
[00:01:07.000 --> 00:01:09.000]  她說我沒有車,我怎樣去教會呢?
[00:01:09.000 --> 00:01:10.000]  朋友就說
[00:01:10.000 --> 00:01:12.000]  不要緊的,我們可以來載你去
[00:01:12.000 --> 00:01:14.000]  每個星期來載你去
[00:01:14.000 --> 00:01:16.000]  這位女士就說
[00:01:16.000 --> 00:01:17.000]  這麼好?
[00:01:17.000 --> 00:01:18.000]  我又不太認識他們
[00:01:18.000 --> 00:01:21.000]  每個星期來載我去教會
[00:01:21.000 --> 00:01:22.000]  但她就因此
[00:01:22.000 --> 00:01:24.000]  接受了別人的鼓勵
[00:01:24.000 --> 00:01:26.000]  就去了教會
[00:01:26.000 --> 00:01:27.000]  很快她就信了耶穌
[00:01:27.000 --> 00:01:30.000]  她知道主耶穌給她有生命的平安
[00:01:30.000 --> 00:01:33.000]  她就帶著一個很快的決心
[00:01:33.000 --> 00:01:35.000]  就信主
[00:01:35.000 --> 00:01:37.000]  信主之後她自己就說
[00:01:37.000 --> 00:01:38.000]  她說我很奇怪
[00:01:38.000 --> 00:01:40.000]  我信了耶穌之後
[00:01:40.000 --> 00:01:42.000]  我就不再失眠
[00:01:42.000 --> 00:01:44.000]  我把自己很多掛心的事情
[00:01:44.000 --> 00:01:45.000]  告訴了耶穌
[00:01:45.000 --> 00:01:48.000]  然後自己又學會去唱聖詩
[00:01:48.000 --> 00:01:50.000]  一邊唱歌一邊唱歌
[00:01:50.000 --> 00:01:52.000]  後來家人就說
[00:01:52.000 --> 00:01:55.000]  現在還未見到她的人
[00:01:55.000 --> 00:01:58.000]  就聽見她的聖詩
[00:01:58.000 --> 00:01:59.000]  還未見到她
[00:01:59.000 --> 00:02:01.000]  就很遠的一邊走一邊唱聖詩
[00:02:01.000 --> 00:02:05.000]  然後來到自己的親人旁邊
[00:02:05.000 --> 00:02:06.000]  家人就很開心
[00:02:06.000 --> 00:02:08.000]  因為很大的改變
[00:02:08.000 --> 00:02:12.000]  也見到整個家庭和諧了很多
[00:02:12.000 --> 00:02:13.000]  他們周圍的鄰居
[00:02:13.000 --> 00:02:15.000]  有些都做見證
[00:02:15.000 --> 00:02:16.000]  他說這位太太
[00:02:16.000 --> 00:02:17.000]  一見到她就很開心
[00:02:17.000 --> 00:02:20.000]  因為她滿面很燦爛的笑容
[00:02:20.000 --> 00:02:22.000]  和以前是很不同的
[00:02:22.000 --> 00:02:24.000]  當我看這篇文章的時候
[00:02:24.000 --> 00:02:25.000]  心裏都為這位
[00:02:25.000 --> 00:02:28.000]  信耶穌的姊妹很快樂
[00:02:28.000 --> 00:02:30.000]  因為她經歷了很大的釋放
[00:02:30.000 --> 00:02:32.000]  在她的生命當中
[00:02:32.000 --> 00:02:34.000]  過去面對著一些捆綁
[00:02:34.000 --> 00:02:35.000]  她的脾氣控制不了
[00:02:35.000 --> 00:02:37.000]  她的情緒控制不了
[00:02:37.000 --> 00:02:38.000]  但主耶穌給她的生命
[00:02:38.000 --> 00:02:40.000]  一種很奇妙的釋放
[00:02:40.000 --> 00:02:42.000]  其實你可以問很多
[00:02:42.000 --> 00:02:44.000]  信耶穌的頂姊妹朋友
[00:02:44.000 --> 00:02:46.000]  很多有類似的經歷
[00:02:46.000 --> 00:02:48.000]  經歷神給我們生命的釋放
[00:02:48.000 --> 00:02:50.000]  生命的改變
[00:02:50.000 --> 00:02:51.000]  很多的掛慮
[00:02:51.000 --> 00:02:53.000]  很多的罪
[00:02:53.000 --> 00:02:54.000]  很多的纏繞
[00:02:54.000 --> 00:02:56.000]  在信耶穌之後
[00:02:56.000 --> 00:02:58.000]  神給我們釋放過來
[00:02:58.000 --> 00:03:00.000]  不再被捆綁
[00:03:00.000 --> 00:03:03.000]  而因為一個最基本的原因
[00:03:03.000 --> 00:03:05.000]  是信靠耶穌
[00:03:05.000 --> 00:03:09.000]  和領受耶穌的真道
[00:03:09.000 --> 00:03:10.000]  因此今天的聖經
[00:03:10.000 --> 00:03:11.000]  也告訴我們
[00:03:11.000 --> 00:03:13.000]  為什麼因為信靠耶穌
[00:03:13.000 --> 00:03:15.000]  而領受神給我們的自由
[00:03:15.000 --> 00:03:17.000]  所以大家一起見開聖經
[00:03:17.000 --> 00:03:19.000]  我們看回聖經裡面
[00:03:19.000 --> 00:03:21.000]  所說的主耶穌的說話
[00:03:21.000 --> 00:03:25.000]  在剛才讀的約翰福音第八章
[00:03:25.000 --> 00:03:29.000]  在第31節
[00:03:29.000 --> 00:03:33.000]  當時耶穌對一群猶太人說
[00:03:33.000 --> 00:03:35.000]  耶穌對信他的猶太人說
[00:03:35.000 --> 00:03:37.000]  你們若常常遵守我的道
[00:03:37.000 --> 00:03:40.000]  就真是我的門徒
[00:03:40.000 --> 00:03:42.000]  你們必曉得真理
[00:03:42.000 --> 00:03:46.000]  真理必叫你們得以自由
[00:03:46.000 --> 00:03:48.000]  當時耶穌對一群猶太人聖經說
[00:03:48.000 --> 00:03:52.000]  信他的猶太人說
[00:03:52.000 --> 00:03:53.000]  但你會覺得奇怪
[00:03:53.000 --> 00:03:54.000]  因為後來耶穌說
[00:03:54.000 --> 00:03:59.000]  這一群人是出於他們的父魔鬼
[00:03:59.000 --> 00:04:00.000]  又提到這一群人
