
[00:00:00.000 --> 00:00:04.320]  今天我們繼續來說《約翰福音》第七章37-52節
[00:00:04.320 --> 00:00:06.540]  這段經文是記載耶穌藉著
[00:00:06.540 --> 00:00:09.320]  這個「住盤節」裡面的一些儀式
[00:00:09.320 --> 00:00:13.340]  去表達聖靈的工作
[00:00:13.340 --> 00:00:16.820]  從一個物質上的水
[00:00:16.820 --> 00:00:20.540]  去講到聖靈所囂貫我們活水的
[00:00:20.540 --> 00:00:23.340]  那一個屬靈的意義和價值是什麼
[00:00:23.340 --> 00:00:26.680]  在第七章的37-38節這樣說
[00:00:26.680 --> 00:00:30.040]  「節期的末日,就是耶穌站著高聲說
[00:00:30.040 --> 00:00:33.280]  人若渴了,可以到我這裡來渴
[00:00:33.280 --> 00:00:35.720]  信我的人,就如經上所說
[00:00:35.720 --> 00:00:39.720]  從他腹中要流出活水的江河來」
[00:00:39.720 --> 00:00:44.100]  在第七章的37-44節
[00:00:44.100 --> 00:00:47.320]  這幾節的經文裡面記載耶穌的講道
[00:00:47.320 --> 00:00:50.480]  可以說耶穌根據水的隱喻
[00:00:50.480 --> 00:00:53.680]  是非常適合這個「住盤節」的背景
[00:00:53.680 --> 00:00:57.380]  這個節期是包括了當時人所共知的
[00:00:57.380 --> 00:00:59.840]  一個消水的儀式
[00:00:59.840 --> 00:01:02.960]  和前面幾節的經文
[00:01:02.960 --> 00:01:06.960]  可以說有著一個同一個主題的一個關聯
[00:01:06.960 --> 00:01:08.960]  耶穌剛剛去講
[00:01:08.960 --> 00:01:10.960]  祂即將會離去
[00:01:10.960 --> 00:01:12.960]  到祂的反對者
[00:01:12.960 --> 00:01:16.340]  不能夠去我將要去的那個地方
[00:01:16.340 --> 00:01:20.640]  在讀這個科目書的這些人都會知道
[00:01:20.640 --> 00:01:24.980]  聖靈的赤下和跟耶穌的離去
[00:01:24.980 --> 00:01:28.280]  是有一個很相關的一個關聯在裡面
[00:01:28.280 --> 00:01:33.300]  這個也是約翰福音14-16章很重要的一個主題
[00:01:33.300 --> 00:01:36.900]  在這兩節經文37-38節裡面
[00:01:36.900 --> 00:01:38.900]  開頭那幾節節期的末日
[00:01:38.900 --> 00:01:40.900]  就是最大的那一天
[00:01:40.900 --> 00:01:42.900]  在節期裡面最大的那一天是表示
[00:01:42.900 --> 00:01:49.240]  這幾件事所發生的時間日子是有些不同
[00:01:49.240 --> 00:01:53.380]  現在記載這件事是後來的那一天
[00:01:53.380 --> 00:01:57.720]  說祂一旦遞佈的命令傳開之後
[00:01:57.720 --> 00:01:59.720]  耶穌就保持安靜
[00:01:59.720 --> 00:02:02.920]  祂隱藏起來直到這一次引人注目的
[00:02:02.920 --> 00:02:04.920]  港道的時機來臨了
[00:02:04.920 --> 00:02:09.580]  然後這個港道可以說大膽無畏的
[00:02:09.580 --> 00:02:13.700]  顯示耶穌的權柄阻止了聖殿的差役
[00:02:13.700 --> 00:02:15.700]  執行他們的工作
[00:02:15.700 --> 00:02:20.500]  在節期的第七日會用當時的傳統習慣
[00:02:20.500 --> 00:02:24.760]  會用一個水瓶裝滿了西羅亞池的水
[00:02:24.760 --> 00:02:27.940]  再由大祭司率領遊行的隊伍
[00:02:27.940 --> 00:02:31.880]  當中將這些水帶回到聖殿那裡
[00:02:31.880 --> 00:02:38.360]  當這些遊行的隊伍來到聖殿的一個門的時候
[00:02:38.360 --> 00:02:45.300]  在旁邊就會有人用號角吹奏三聲
[00:02:45.300 --> 00:02:47.300]  在朝聖者的注目當中
[00:02:47.300 --> 00:02:52.220]  祭司就拿著水瓶繞著祭壇去走
[00:02:52.220 --> 00:02:58.540]  然後聖殿的師班就唱詩篇113篇至118篇
[00:02:58.540 --> 00:03:00.540]  每一個男性的朝聖者
[00:03:00.540 --> 00:03:05.380]  在右手當中都會搖動一個柳樹的樹枝
[00:03:05.380 --> 00:03:08.940]  和一些棕櫚葉綁在一起
[00:03:08.940 --> 00:03:12.140]  左手就舉起一些水果
[00:03:12.140 --> 00:03:14.880]  一些當時修成的水果
[00:03:14.880 --> 00:03:17.700]  象徵著修葛的莊稼
[00:03:17.700 --> 00:03:23.900]  所有人都哭喊感謝主三次
