
[00:00:00.000 --> 00:00:03.400]  我們再打開聖經剛才讀過的萬禮記書
[00:00:03.400 --> 00:00:08.000]  我們再來到第二章十七節的經文
[00:00:08.000 --> 00:00:12.000]  當我們讀到聖經的時候
[00:00:12.000 --> 00:00:14.000]  大家會常常留意
[00:00:14.000 --> 00:00:18.000]  聖經裡面講述到主耶穌有一天會再臨
[00:00:18.000 --> 00:00:21.000]  當主再臨的時候
[00:00:21.000 --> 00:00:26.000]  聖經提及有兩件事情是會同時出現的
[00:00:26.000 --> 00:00:33.000]  第一就是上帝會帶來了拯救和憐憫
[00:00:33.000 --> 00:00:35.000]  得贖的日子來到
[00:00:35.000 --> 00:00:37.000]  聖經說我們可以挺身昂首
[00:00:37.000 --> 00:00:41.000]  因為是得贖的日子到了
[00:00:41.000 --> 00:00:44.000]  第二聖經提及到當主耶穌再來的時候
[00:00:44.000 --> 00:00:48.000]  祂的審判也都同時的來到
[00:00:48.000 --> 00:00:52.000]  作惡的人要永遠面對死亡的刑罰
[00:00:52.000 --> 00:00:57.000]  而贖神的人要按照我們地上所做的事情
[00:00:57.000 --> 00:00:59.000]  得不同的賞賜
[00:00:59.000 --> 00:01:06.000]  聖經提到這種憐憫和審判是同時會出現
[00:01:06.000 --> 00:01:10.000]  也都叫我們看到當我們面對主再來的時候
[00:01:10.000 --> 00:01:13.000]  我們更加警覺著自己的心靈
[00:01:13.000 --> 00:01:17.000]  讓我們能夠逃避死亡的審判
[00:01:17.000 --> 00:01:21.000]  也都能夠得著主要給我們的賞賜
[00:01:21.000 --> 00:01:27.000]  這是你和我在人生上要警覺著準備好回應的事情
[00:01:27.000 --> 00:01:32.000]  因此今天當我們讀到聖經瑪利基書第二章第十七節的時候
[00:01:32.000 --> 00:01:35.000]  聖經開始講述到主的審判
[00:01:35.000 --> 00:01:37.000]  但是當時的猶太人
[00:01:37.000 --> 00:01:42.000]  他們覺得這位上帝並不存在
[00:01:42.000 --> 00:01:44.000]  為什麼他們有這樣的想法呢
[00:01:44.000 --> 00:01:48.000]  大家看回第十七節
[00:01:48.000 --> 00:01:51.000]  聖經提到神跟他們說
