
[00:00:00.000 --> 00:00:02.800]  我們不經不覺地講述《少年人傳》
[00:00:02.800 --> 00:00:05.800]  講到最後一次的時間了
[00:00:05.800 --> 00:00:10.360]  過去兩年我們都藉著很多次的講道
[00:00:10.360 --> 00:00:13.880]  都去講述《少年人傳》一個很重要的訊息
[00:00:13.880 --> 00:00:17.280]  就是講述福音如何慢慢一步一步地擴展
[00:00:17.280 --> 00:00:20.800]  而如何能夠從最小的一個群體裏面
[00:00:20.800 --> 00:00:23.600]  發展到一個很大的群體
[00:00:23.600 --> 00:00:25.800]  由近到遠的一個發展
[00:00:25.800 --> 00:00:27.280]  今天這一段經文
[00:00:27.280 --> 00:00:28.360]  最後一段經文
[00:00:28.360 --> 00:00:34.040]  其實是在發揮《少年人傳》幾個很重要的訊息
[00:00:34.040 --> 00:00:37.440]  在這段經文裏面記載了保羅去了羅馬
[00:00:37.440 --> 00:00:38.440]  去了羅馬之後
[00:00:38.440 --> 00:00:42.120]  他就叫了一班猶太人的領袖來
[00:00:42.120 --> 00:00:43.520]  代表來
[00:00:43.520 --> 00:00:44.600]  很簡單地說
[00:00:44.600 --> 00:00:47.360]  為什麼他會來到羅馬這個地方呢?
[00:00:47.360 --> 00:00:50.960]  為什麼他會被困所
[00:00:50.960 --> 00:00:53.080]  可以說作為一個囚犯來呢?
[00:00:53.080 --> 00:00:54.240]  藉著這個機會
[00:00:54.240 --> 00:00:56.520]  他再一次向這一班猶太人
[00:00:56.520 --> 00:01:01.920]  去講出一路以來他所堅信的福音
[00:01:01.920 --> 00:01:03.000]  什麼是福音
[00:01:03.000 --> 00:01:04.960]  什麼是相信耶穌的事
[00:01:04.960 --> 00:01:07.240]  不過聽的猶太人
[00:01:07.240 --> 00:01:08.720]  他們有不同的反應
[00:01:08.720 --> 00:01:09.920]  有些相信
[00:01:09.920 --> 00:01:12.320]  也有些不相信
[00:01:12.320 --> 00:01:14.120]  接著保羅在說
[00:01:14.120 --> 00:01:15.520]  這一班猶太人
[00:01:15.520 --> 00:01:18.840]  既然你們的心瞎了
[00:01:18.840 --> 00:01:21.200]  由夢了之
[00:01:21.200 --> 00:01:22.240]  既然聽不到
[00:01:22.240 --> 00:01:24.880]  那就讓你們聽不到
[00:01:24.880 --> 00:01:26.960]  我會將福音繼續傳給那些
[00:01:26.960 --> 00:01:29.040]  不是猶太人的人去知道
[00:01:29.040 --> 00:01:32.640]  福音會傳給外邦人
[00:01:32.640 --> 00:01:37.040]  可以說根據路加所說
[00:01:37.040 --> 00:01:41.600]  保羅首先將福音傳給猶太人知道
[00:01:41.600 --> 00:01:45.160]  然後傳給那些不是猶太人的人
[00:01:45.160 --> 00:01:46.920]  去聽見這個福音
[00:01:46.920 --> 00:01:49.080]  所以去到最後一個畫面
[00:01:49.080 --> 00:01:51.640]  可以說去看《斯特蘭傳》最後一個畫面
