
[00:00:00.000 --> 00:00:02.000]  在唐慶主日的時候
[00:00:02.000 --> 00:00:05.220]  我講了《但義理書》第三章的經文
[00:00:05.220 --> 00:00:07.800]  那裡記載但義理那三個朋友
[00:00:07.800 --> 00:00:11.720]  因為違反了可以說當時尼泊爾加尼沙皇的禁令
[00:00:11.720 --> 00:00:14.980]  尼泊爾加尼沙皇去做了一個金像
[00:00:14.980 --> 00:00:17.420]  叫眾人去跪拜這個金像
[00:00:17.420 --> 00:00:20.620]  但義理那三個朋友沒有跪拜這個金像
[00:00:20.620 --> 00:00:24.460]  所以他們就被困在烈火的窯中
[00:00:24.460 --> 00:00:26.060]  上帝拯救他們
[00:00:26.060 --> 00:00:28.700]  從烈火的窯中被拯救過來
[00:00:28.700 --> 00:00:31.640]  見證神的大能和信實
[00:00:31.640 --> 00:00:35.420]  今天我們想講《但義理書》第六章
[00:00:35.420 --> 00:00:40.020]  講到但義理自己另一個危機
[00:00:40.020 --> 00:00:42.020]  另一個經歷
[00:00:42.020 --> 00:00:45.460]  整個《但義理書》背景是什麼呢
[00:00:45.460 --> 00:00:51.160]  就是當以色列人一直犯罪離開上帝
[00:00:51.160 --> 00:00:53.740]  上帝藉著不同的方法去提醒他們
[00:00:53.740 --> 00:00:55.900]  你們要回轉歸向上帝
[00:00:55.900 --> 00:00:59.020]  但他們都沒有悔改
[00:00:59.020 --> 00:01:02.180]  上帝最後用一個辦法就是亡國
[00:01:02.180 --> 00:01:05.980]  藉著這麼大的刑罰或教訓
[00:01:05.980 --> 00:01:08.480]  讓一群以色列人去回轉
[00:01:08.480 --> 00:01:12.740]  當時上帝使用巴比倫這個強國
[00:01:12.740 --> 00:01:15.860]  去摧毀整個以色列國的時候
[00:01:15.860 --> 00:01:19.380]  當時巴比倫人將耶路撒冷城的人
[00:01:19.380 --> 00:01:22.900]  被擄回巴比倫這個地方
[00:01:22.900 --> 00:01:29.700]  而當巴比倫王去擄一些以色列人的時候
[00:01:29.700 --> 00:01:31.700]  他也造就了一群人
[00:01:31.700 --> 00:01:37.140]  培養一群人讓他們學習當時加拿大的文化語言
[00:01:37.140 --> 00:01:42.100]  最後讓他們在一個很高的職位上
[00:01:42.100 --> 00:01:44.980]  一同去管理這個國家
[00:01:44.980 --> 00:01:48.700]  現在我們進入《但義理書》第六章
[00:01:48.700 --> 00:01:51.260]  第六章可以說我們看到
[00:01:51.260 --> 00:01:54.860]  但義理仍然在巴比倫這個地方
[00:01:54.860 --> 00:01:56.860]  巴比倫城裡面
[00:01:56.860 --> 00:01:59.100]  他仍然在宮廷裡面
[00:01:59.100 --> 00:02:01.820]  他仍然身高要職
[00:02:01.820 --> 00:02:06.620]  但是其實在外面的世界已經完全改變
[00:02:06.620 --> 00:02:08.420]  用我們的說話去說
[00:02:08.420 --> 00:02:12.220]  桃花依舊人面全非
[00:02:12.220 --> 00:02:15.900]  巴比倫國已經滅亡了
[00:02:15.900 --> 00:02:20.220]  波斯帝國取代了巴比倫這個帝國
[00:02:20.220 --> 00:02:21.980]  在第五章裡面
[00:02:21.980 --> 00:02:26.060]  他講到巴比倫一個巴沙王被殺之後
[00:02:26.060 --> 00:02:31.580]  當時國權就落入在馬代人大利烏王的手中
[00:02:31.580 --> 00:02:34.860]  接著在第六章的第一至第三節
[00:02:34.860 --> 00:02:38.540]  那裡他講到大利烏王隨心所願
[00:02:38.540 --> 00:02:43.900]  將整個國家分了120個可以說是省份
[00:02:43.900 --> 00:02:47.100]  接著每一個省份設立了一個總督
[00:02:47.100 --> 00:02:49.660]  接著治理全國
[00:02:49.660 --> 00:02:51.900]  又在這120個總督之上
[00:02:51.900 --> 00:02:53.820]  立三個總長
