
[00:00:00.000 --> 00:00:05.000]  我們今天思想的就是邁向成長的階梯
[00:00:05.000 --> 00:00:09.000]  無論我們在信仰的哪一個歷程
[00:00:09.000 --> 00:00:10.000]  或者你剛信主
[00:00:10.000 --> 00:00:12.000]  或者你信主很多年
[00:00:12.000 --> 00:00:14.000]  你都需要常常的鼓勵自己
[00:00:14.000 --> 00:00:17.000]  不要讓自己的生命停滯
[00:00:17.000 --> 00:00:20.000]  要讓自己不斷不斷地成長
[00:00:20.000 --> 00:00:23.000]  生命的成長是一件很美的事情
[00:00:23.000 --> 00:00:24.000]  相反來說
[00:00:24.000 --> 00:00:27.000]  生命如果不成長是一件很悲哀的事情
[00:00:27.000 --> 00:00:29.000]  有些做母親的
[00:00:29.000 --> 00:00:31.000]  我曾經聽他們說過
[00:00:31.000 --> 00:00:36.000]  其中有些孩子是有言語障礙的問題
[00:00:36.000 --> 00:00:39.000]  小孩子到三歲四歲的時候
[00:00:39.000 --> 00:00:41.000]  仍然不會說話
[00:00:41.000 --> 00:00:44.000]  只是常常「啊啊啊」的聲音
[00:00:44.000 --> 00:00:46.000]  當父母說出這些情況的時候
[00:00:46.000 --> 00:00:48.000]  看到他們的面容是很難過的
[00:00:48.000 --> 00:00:50.000]  為什麼小孩不會說話
[00:00:50.000 --> 00:00:54.000]  什麼時候才開始會叫一聲爸爸媽媽呢
[00:00:54.000 --> 00:00:56.000]  是很不開心
[00:00:56.000 --> 00:00:58.000]  為什麼生命不成長呢
[00:00:58.000 --> 00:01:00.000]  我相信我們的天父
[00:01:00.000 --> 00:01:02.000]  看到我們的生命如果不成長
[00:01:02.000 --> 00:01:04.000]  都有這樣的感受
[00:01:04.000 --> 00:01:05.000]  但是相反來說
[00:01:05.000 --> 00:01:08.000]  如果生命能夠成長是很快樂的事情
[00:01:08.000 --> 00:01:10.000]  我簡單說一個自己的經歷
[00:01:10.000 --> 00:01:12.000]  在我們小孩小時候的時候
[00:01:12.000 --> 00:01:14.000]  帶他們出外旅行
[00:01:14.000 --> 00:01:16.000]  是要做很多功夫
[00:01:16.000 --> 00:01:18.000]  不單止要部署旅程
[00:01:18.000 --> 00:01:19.000]  在過程當中
[00:01:19.000 --> 00:01:21.000]  他們似乎都不是很欣賞
[00:01:21.000 --> 00:01:22.000]  有什麼風景
[00:01:22.000 --> 00:01:24.000]  有什麼漂亮的酒店
[00:01:24.000 --> 00:01:27.000]  他們只是玩他們自己帶來的物品
[00:01:27.000 --> 00:01:29.000]  帶來的玩具
[00:01:29.000 --> 00:01:31.000]  但是到了今天的時候
[00:01:31.000 --> 00:01:33.000]  我們已經可以大概
[00:01:33.000 --> 00:01:35.000]  不需要怎樣部署
[00:01:35.000 --> 00:01:36.000]  因為小朋友
[00:01:36.000 --> 00:01:37.000]  應該說是大朋友
[00:01:37.000 --> 00:01:40.000]  他們會部署整個行程
[00:01:40.000 --> 00:01:41.000]  到了那個時候
[00:01:41.000 --> 00:01:42.000]  一走出街
[00:01:42.000 --> 00:01:44.000]  爸爸跟著我走
[00:01:44.000 --> 00:01:46.000]  因為他已經知道路怎麼走
[00:01:46.000 --> 00:01:47.000]  看了地圖
[00:01:47.000 --> 00:01:49.000]  知道今天的程序
[00:01:49.000 --> 00:01:50.000]  去哪裡
[00:01:50.000 --> 00:01:51.000]  然後去哪裡
[00:01:51.000 --> 00:01:52.000]  然後去哪裡
[00:01:52.000 --> 00:01:54.000]  然後孩子
[00:01:54.000 --> 00:01:55.000]  成長了的孩子
[00:01:55.000 --> 00:01:57.000]  很自由地去旅遊
[00:01:57.000 --> 00:02:00.000]  不單止是一種很飾然的感覺
[00:02:00.000 --> 00:02:04.000]  更寶貴的是感到孩子長大了
[00:02:04.000 --> 00:02:05.000]  心裡很快樂
[00:02:05.000 --> 00:02:07.000]  還有很滿足
[00:02:07.000 --> 00:02:10.000]  生命的成長是寶貴的
[00:02:10.000 --> 00:02:12.000]  我們的天父上上渴望我們
[00:02:12.000 --> 00:02:14.000]  按照祂給我們的恩惠
[00:02:14.000 --> 00:02:17.000]  能夠不斷成長
