
[00:00:00.000 --> 00:00:07.040]  究竟2021年和以後的日子會是怎樣呢?
[00:00:07.040 --> 00:00:09.500]  其實我是比較樂觀的
[00:00:09.500 --> 00:00:14.360]  縱然現在我們仍然聽到很多不好的消息
[00:00:14.360 --> 00:00:20.000]  我的樂觀就不是因為今天我想和大家做一些時事評論
[00:00:20.000 --> 00:00:28.240]  或者是局勢的觀察、預測之類
[00:00:28.240 --> 00:00:35.080]  我自己是從多年來對人的人性的了解
[00:00:35.080 --> 00:00:38.920]  或者可以說是對歷史的觀察
[00:00:38.920 --> 00:00:44.960]  我反而對過去這一年這麼多的困難的疫情
[00:00:44.960 --> 00:00:50.320]  和人與人之間的鬥爭、國家與國家之間的分裂
[00:00:50.320 --> 00:00:52.680]  我在看將來的日子
[00:00:52.680 --> 00:00:55.680]  我是為什麼會樂觀呢?
[00:00:55.680 --> 00:00:59.040]  我在預備的時候就寫了幾句話
[00:00:59.040 --> 00:01:02.640]  我不如就讀出來就好過在這裡說
[00:01:02.640 --> 00:01:05.720]  這樣比較可以節省一些時間
[00:01:05.720 --> 00:01:06.640]  我是這麼寫的
[00:01:06.640 --> 00:01:12.080]  我說我相信世間的事物都有一種鐘擺效應
[00:01:12.080 --> 00:01:15.960]  我們中國人有歷經所說的「否極泰來」
[00:01:15.960 --> 00:01:18.800]  「既濟會未濟」
[00:01:18.800 --> 00:01:22.840]  是每一樣東西去到盡的時候會反過來
[00:01:22.840 --> 00:01:32.600]  在過度的激情憤慨或者是浪漫的豪情壯志之後
[00:01:32.600 --> 00:01:38.520]  我們就會發現原來人世間的狡猾和奸惡
[00:01:38.520 --> 00:01:43.080]  是仍然沒有被消滅的
[00:01:43.080 --> 00:01:49.240]  而且我又看見人世間仍然有真情和偉大
[00:01:49.240 --> 00:01:52.360]  這些東西在最困難的日子裡面
[00:01:52.360 --> 00:01:55.800]  始終不會被磨滅的
[00:01:55.800 --> 00:01:57.240]  所以我就開始明白
[00:01:57.240 --> 00:01:59.960]  我們都應該明白
[00:01:59.960 --> 00:02:05.120]  當盡情的破壞之後
[00:02:05.120 --> 00:02:09.120]  發現收不到預期的效果
[00:02:09.120 --> 00:02:12.920]  在沒有結果的鬥爭之後
[00:02:12.920 --> 00:02:17.800]  我們發覺只會帶來大家更多的損失
[00:02:17.800 --> 00:02:20.920]  那我們就開始會回頭
[00:02:20.920 --> 00:02:25.400]  這個回頭可能發生在你的家庭裡面
[00:02:25.400 --> 00:02:28.600]  發生在我們的教會裡面
[00:02:28.600 --> 00:02:32.120]  發生在我們的香港這個社會裡面
[00:02:32.120 --> 00:02:39.080]  甚至會發生在世界的國與國的局勢之間
[00:02:39.080 --> 00:02:43.800]  這個就是我自己所看的所謂「較為樂觀」
[00:02:43.800 --> 00:02:47.240]  會進到一個大家開始重新去學
[00:02:47.240 --> 00:02:52.360]  或者起碼去考慮協作共融
