
[00:00:00.000 --> 00:00:01.280]  啟示錄第三章
[00:00:01.280 --> 00:00:02.560]  今天我們試想
[00:00:02.560 --> 00:00:04.880]  啟示錄七個教會裏面
[00:00:04.880 --> 00:00:08.800]  第六個就是菲拉鐵非的教會
[00:00:08.800 --> 00:00:11.200]  菲拉鐵非的教會
[00:00:11.200 --> 00:00:13.680]  我記得我第一次和大家講
[00:00:13.680 --> 00:00:15.280]  啟示錄教會的時候
[00:00:15.280 --> 00:00:16.720]  就是第一間教會
[00:00:16.720 --> 00:00:18.240]  以弗所教會
[00:00:18.240 --> 00:00:19.520]  當時我和大家說
[00:00:19.520 --> 00:00:21.120]  我們可以這樣看
[00:00:21.120 --> 00:00:23.440]  這七封復活的主耶穌
[00:00:23.440 --> 00:00:27.600]  和天上宣告給七間教會的信
[00:00:27.600 --> 00:00:30.720]  其實可以說是成績表
[00:00:30.720 --> 00:00:34.800]  是神所給人的成績表
[00:00:34.800 --> 00:00:37.040]  雖然是對著七間教會講
[00:00:37.040 --> 00:00:40.480]  但是表達了神的眼中
[00:00:40.480 --> 00:00:42.080]  他認為什麼叫做好
[00:00:42.080 --> 00:00:43.280]  什麼叫做壞
[00:00:43.280 --> 00:00:44.400]  什麼叫做強
[00:00:44.400 --> 00:00:45.520]  什麼叫做弱
[00:00:45.520 --> 00:00:46.960]  什麼是他喜歡
[00:00:46.960 --> 00:00:48.640]  什麼是令他討厭的
[00:00:48.640 --> 00:00:54.640]  這些標準和價值的原則
[00:00:54.640 --> 00:00:57.920]  今天我們一起看這個教會的時候
[00:00:57.920 --> 00:00:59.760]  我們不單止看這個教會
[00:00:59.760 --> 00:01:01.440]  我們聆聽到
[00:01:01.440 --> 00:01:04.480]  既然這個成績表這樣講的時候
[00:01:04.480 --> 00:01:06.240]  其實也是在衡量我們
[00:01:06.240 --> 00:01:08.000]  也在衡量北宣家
[00:01:08.000 --> 00:01:09.200]  你和我
[00:01:09.200 --> 00:01:12.480]  那個屬靈的標準和狀況
[00:01:12.480 --> 00:01:14.720]  我們這樣的角度來看
[00:01:14.720 --> 00:01:20.560]  剛才大家讀過以弗所的教會
[00:01:20.560 --> 00:01:22.160]  菲拉鐵非的教會
[00:01:22.160 --> 00:01:25.760]  菲拉鐵非的教會究竟是一個怎樣的教會呢?
[00:01:25.760 --> 00:01:27.840]  在菲拉鐵非這個城市裡面的教會
[00:01:27.840 --> 00:01:30.640]  大概給大家一幅這樣的圖畫
[00:01:30.640 --> 00:01:32.880]  菲拉鐵非的教會比較特別的
[00:01:32.880 --> 00:01:37.760]  因為在我們主耶穌的信裡面
[00:01:37.760 --> 00:01:42.000]  他沒有任何的斥責的說話
[00:01:42.000 --> 00:01:43.200]  是罕有的
[00:01:43.200 --> 00:01:45.200]  我們見過在這七間教會裡面
[00:01:45.200 --> 00:01:47.760]  有些教會是很聰明的
[00:01:47.760 --> 00:01:49.200]  有些教會是很富裕的
[00:01:49.200 --> 00:01:50.960]  有些教會是很懂得看形勢
[00:01:50.960 --> 00:01:52.160]  搖風擺樓下
[00:01:52.160 --> 00:01:54.800]  懂得找位置就上的
[00:01:54.800 --> 00:01:58.560]  但是也被我們的主耶穌罵過的
[00:01:58.560 --> 00:02:00.080]  很少不罵的
[00:02:00.080 --> 00:02:01.360]  這間就不罵的
[00:02:01.360 --> 00:02:02.640]  不罵當然很厲害了
[00:02:02.640 --> 00:02:04.080]  這間教會
[00:02:04.080 --> 00:02:05.520]  沒有
[00:02:05.520 --> 00:02:06.640]  奇怪了
