
[00:00:00.000 --> 00:00:04.000]  教會定了今天的主人是福音的主人
[00:00:04.000 --> 00:00:07.000]  福音的主人希望藉著這個機會
[00:00:07.000 --> 00:00:11.000]  讓我們弟兄姊妹重溫一下
[00:00:11.000 --> 00:00:14.000]  我們福音信仰的價值和意義
[00:00:14.000 --> 00:00:17.000]  更加特別是希望我們當中
[00:00:17.000 --> 00:00:19.000]  來了教會一段時間
[00:00:19.000 --> 00:00:22.000]  但是你說我陪人來的
[00:00:22.000 --> 00:00:24.000]  他信教我不信的
[00:00:24.000 --> 00:00:26.000]  既然你來了這麼久
[00:00:26.000 --> 00:00:29.000]  我希望你聽了很多也知道很多
[00:00:29.000 --> 00:00:32.000]  其實你也可以享受這個信仰
[00:00:32.000 --> 00:00:34.000]  所以今天希望你能夠作出一個決定
[00:00:34.000 --> 00:00:36.000]  能夠成為一個基督徒
[00:00:36.000 --> 00:00:38.000]  和我們敬拜所認識的
[00:00:38.000 --> 00:00:40.000]  很欣賞很享受的神
[00:00:40.000 --> 00:00:43.000]  開始一個新的關係
[00:00:43.000 --> 00:00:47.000]  你是隨時都可以這樣做的
[00:00:47.000 --> 00:00:50.000]  你要知道我們希望你成為基督徒
[00:00:50.000 --> 00:00:53.000]  不是因為教會人數不夠
[00:00:53.000 --> 00:00:55.000]  多你一個少你一個都無所謂
[00:00:55.000 --> 00:00:56.000]  你都排過隊進來
[00:00:56.000 --> 00:00:58.000]  你都知道多麼的虛憾
[00:00:58.000 --> 00:01:00.000]  不是想你湊夠人數
[00:01:00.000 --> 00:01:03.000]  不是,你知道我們真的很希望你理解
[00:01:03.000 --> 00:01:06.000]  為什麼我們這麼想你相信
[00:01:06.000 --> 00:01:08.000]  因為我們享受和經驗到真實的神
[00:01:08.000 --> 00:01:10.000]  那種奇妙的地方
[00:01:10.000 --> 00:01:12.000]  每個星期日
[00:01:12.000 --> 00:01:13.000]  其他地方都不去
[00:01:13.000 --> 00:01:14.000]  你都要來排隊
[00:01:14.000 --> 00:01:16.000]  不是習慣那麼簡單的
[00:01:16.000 --> 00:01:18.000]  又或者你是偶然走過
[00:01:18.000 --> 00:01:19.000]  看到這麼多人排隊
[00:01:19.000 --> 00:01:20.000]  以為有show看
[00:01:20.000 --> 00:01:21.000]  進來之後
[00:01:21.000 --> 00:01:23.000]  不要緊,歡迎你
[00:01:23.000 --> 00:01:26.000]  這是一個你找到人生最終極的
[00:01:26.000 --> 00:01:28.000]  最美麗的地方
[00:01:28.000 --> 00:01:29.000]  希望今天你同樣的
[00:01:29.000 --> 00:01:31.000]  認識我們這位神的時候
[00:01:31.000 --> 00:01:33.000]  決定和祂有一個新的關係的時候
[00:01:33.000 --> 00:01:34.000]  你就會明白
[00:01:34.000 --> 00:01:35.000]  為什麼這麼多人
[00:01:35.000 --> 00:01:37.000]  每個星期日都要來這個地方
[00:01:37.000 --> 00:01:38.000]  我們今天就用一段剛才所讀
[00:01:38.000 --> 00:01:40.000]  很熟悉的聖經
[00:01:40.000 --> 00:01:42.000]  和大家一起思想
[00:01:42.000 --> 00:01:43.000]  就是詩篇的23篇
[00:01:43.000 --> 00:01:45.000]  在我們的《唐用聖經》
[00:01:45.000 --> 00:01:48.000]  舊約的556頁
[00:01:48.000 --> 00:01:51.000]  舊約的556頁
[00:01:51.000 --> 00:01:54.000]  詩篇第23篇
[00:01:54.000 --> 00:01:55.000]  很熟悉的聖經
[00:01:55.000 --> 00:01:56.000]  雖然你說我都很熟悉
[00:01:56.000 --> 00:01:57.000]  不過我都很想
[00:01:57.000 --> 00:01:58.000]  如果你可以的話
[00:01:58.000 --> 00:01:59.000]  請我們打開
[00:01:59.000 --> 00:02:00.000]  看著看著
[00:02:00.000 --> 00:02:02.000]  看一看這篇詩篇
[00:02:02.000 --> 00:02:04.000]  我自己發覺這篇詩篇
[00:02:04.000 --> 00:02:05.000]  很有意思
[00:02:05.000 --> 00:02:07.000]  這篇詩篇當然不單止是一個
[00:02:07.000 --> 00:02:09.000]  很著名的文學作品
[00:02:09.000 --> 00:02:11.000]  這個世界的文學裏面
[00:02:11.000 --> 00:02:12.000]  數十篇
[00:02:12.000 --> 00:02:13.000]  一定是數到它
