
[00:00:00.000 --> 00:00:02.460]  當我們回到教會一段時間的時候
[00:00:02.460 --> 00:00:05.840]  我想有一個問題都經常會聽到
[00:00:05.840 --> 00:00:08.720]  就是當有些信耶穌的人
[00:00:08.720 --> 00:00:10.320]  我們也信了一段時間了
[00:00:10.320 --> 00:00:12.160]  接著我們面對一些逆境的時候
[00:00:12.160 --> 00:00:12.920]  我們就問
[00:00:12.920 --> 00:00:15.840]  上帝啊為什麼我會有一個逆境呢?
[00:00:15.840 --> 00:00:19.040]  為什麼要面對這些苦難呢?
[00:00:19.040 --> 00:00:22.840]  這些問題都經常在我們身邊發出
[00:00:22.840 --> 00:00:25.680]  今天都希望透過《雅各書》第一章
[00:00:25.680 --> 00:00:28.280]  1至15節這一段經文
[00:00:28.280 --> 00:00:31.000]  去看看雅各如何回答這個問題
[00:00:31.000 --> 00:00:33.200]  在《雅各書》第一章第一節這樣說
[00:00:33.200 --> 00:00:35.720]  作神和主耶穌基督僕人的雅各
[00:00:35.720 --> 00:00:38.360]  請散住十二支派之人的愛
[00:00:38.360 --> 00:00:39.240]  我的弟兄們
[00:00:39.240 --> 00:00:41.000]  你們樂在百般事念中
[00:00:41.000 --> 00:00:42.560]  都要以為大喜樂
[00:00:42.560 --> 00:00:46.160]  因為知道你們的信心經過試念就身忍耐
[00:00:46.160 --> 00:00:47.840]  但忍耐也當成功
[00:00:47.840 --> 00:00:51.400]  使你們成全完備毫無缺陷
[00:00:51.400 --> 00:00:54.400]  這本書是雅各所寫的書信
[00:00:54.400 --> 00:00:55.560]  雅各是誰呢?
[00:00:55.560 --> 00:00:58.680]  就是耶穌在肉身上的弟弟
[00:00:58.680 --> 00:01:01.920]  當耶穌在再生的年日的時候
[00:01:01.920 --> 00:01:05.720]  雅各應該都不是很相信耶穌
[00:01:05.720 --> 00:01:09.600]  但當耶穌受死復活之前
[00:01:09.600 --> 00:01:10.680]  升天之前
[00:01:10.680 --> 00:01:12.280]  就向雅各顯現
[00:01:12.280 --> 00:01:15.000]  然後雅各整個生命有一個很大的改變
[00:01:15.000 --> 00:01:17.280]  他一生去跟從耶穌
[00:01:17.280 --> 00:01:22.040]  然後他在教會當中成為一個很重要的領袖
[00:01:22.040 --> 00:01:24.760]  在《少林寺傳》15章
[00:01:24.760 --> 00:01:27.000]  有一個耶路撒冷大會
[00:01:27.000 --> 00:01:29.440]  那個大會裡面處理一個問題
[00:01:29.440 --> 00:01:31.880]  就是究竟愛邦人
[00:01:31.880 --> 00:01:34.880]  究竟是否需要遵守猶太人的
[00:01:34.880 --> 00:01:37.560]  律法的規條和習俗
