
[00:00:00.000 --> 00:00:03.120]  詩篇七十一篇的標題寫著
[00:00:03.120 --> 00:00:05.120]  老年人的祈禱
[00:00:05.120 --> 00:00:07.880]  一個人當他年紀大的時候
[00:00:07.880 --> 00:00:09.880]  經歷很多方面的難處
[00:00:09.880 --> 00:00:11.880]  無論是身體方面的軟弱
[00:00:11.880 --> 00:00:16.320]  或者是其他方面生活上所經歷的難處
[00:00:16.320 --> 00:00:19.800]  但是詩人說他仍然繼續的依靠神
[00:00:19.800 --> 00:00:22.360]  他以神為樂
[00:00:22.360 --> 00:00:25.480]  神成為了他的喜樂的源頭
[00:00:25.480 --> 00:00:27.480]  而今天我們就思想
[00:00:27.480 --> 00:00:31.040]  當我們身體慢慢成長、年長的時候
[00:00:31.040 --> 00:00:33.520]  我們仍然可以以神為樂
[00:00:33.520 --> 00:00:37.840]  仍然領受神給予我們那種心靈的快樂和平安
[00:00:37.840 --> 00:00:41.360]  我們就一起思想詩人的情況
[00:00:41.360 --> 00:00:43.840]  詩人提及他面對著很多的困難
[00:00:43.840 --> 00:00:48.240]  大家先看聖經第四節
[00:00:48.240 --> 00:00:51.480]  我的神啊,求祢救我脫離惡人的手
[00:00:51.480 --> 00:00:54.720]  脫離不義和殘暴之人的手
[00:00:54.720 --> 00:00:57.120]  很明顯當時他面對著很多的惡人
[00:00:57.120 --> 00:01:00.800]  對他的傷害、對他的輕視等等
[00:01:00.800 --> 00:01:02.800]  第七節他就說
[00:01:02.800 --> 00:01:05.600]  許多人以我為怪
[00:01:05.600 --> 00:01:10.120]  這個怪是表示很多人認為他面對著很多的厄運
[00:01:10.120 --> 00:01:12.400]  認為他是不祥的
[00:01:12.400 --> 00:01:14.400]  這個厄運、這個不祥
[00:01:14.400 --> 00:01:18.080]  就包含在這個怪字的意思裡面
[00:01:18.080 --> 00:01:21.000]  在當時,好像我們現在廣東話所說
[00:01:21.000 --> 00:01:24.160]  他是「頭頭碰著客」
[00:01:24.160 --> 00:01:26.800]  因為很多人認為神沒有理會他
[00:01:26.800 --> 00:01:28.560]  他現在年紀大了
[00:01:28.560 --> 00:01:31.040]  因此神丟棄他
[00:01:31.040 --> 00:01:34.920]  所以在下面的第十一節
[00:01:34.920 --> 00:01:36.280]  這些人就說
[00:01:36.280 --> 00:01:37.880]  神已經離棄他
[00:01:37.880 --> 00:01:40.360]  我們追趕他、捉拿他吧
[00:01:40.360 --> 00:01:43.480]  因為沒有人答救他
[00:01:43.480 --> 00:01:44.920]  在這個情況之下
[00:01:44.920 --> 00:01:47.520]  很自然的人就會內心很灰心
[00:01:47.520 --> 00:01:48.680]  很害怕
[00:01:48.680 --> 00:01:51.720]  甚至有很多的憤怒
[00:01:51.720 --> 00:01:53.200]  但是這位詩人
[00:01:53.200 --> 00:01:56.560]  他有很重要的一種的避權
[00:01:56.560 --> 00:01:59.280]  我們會試一下從三方面思想
[00:01:59.280 --> 00:02:00.360]  詩人第一
[00:02:00.360 --> 00:02:02.240]  他緊抓住神
[00:02:02.240 --> 00:02:08.120]  他認定神是他一生人最可信、可靠的對象
[00:02:08.120 --> 00:02:11.960]  認定神是他最可靠的依靠
[00:02:11.960 --> 00:02:15.160]  所以大家先看第五節
[00:02:15.160 --> 00:02:18.880]  主耶和華,你是我所盼望的
[00:02:18.880 --> 00:02:22.640]  這裡所說的盼望是說他從年幼到如今
[00:02:22.640 --> 00:02:25.440]  一直是他所依靠的
[00:02:25.440 --> 00:02:27.440]  一直是他的盼望
[00:02:27.440 --> 00:02:28.800]  是他的hope
[00:02:28.800 --> 00:02:30.760]  是他的盼望
[00:02:30.760 --> 00:02:34.120]  自年幼到如今一直是他的依靠
[00:02:34.120 --> 00:02:36.160]  我想很多的小孩子
[00:02:36.160 --> 00:02:37.720]  當他們幼年的時候
[00:02:37.720 --> 00:02:40.120]  有什麼困難被同學欺負
[00:02:40.120 --> 00:02:43.120]  會回到媽媽面前跟媽媽傾訴
[00:02:43.120 --> 00:02:44.200]  媽媽安慰他
[00:02:44.200 --> 00:02:46.680]  媽媽給他很多的勉勵
[00:02:46.680 --> 00:02:47.960]  到他年紀大了
[00:02:47.960 --> 00:02:49.400]  出來工作
[00:02:49.400 --> 00:02:50.760]  後來結婚
[00:02:50.760 --> 00:02:52.880]  跟丈夫之間有什麼爭執
[00:02:52.880 --> 00:02:54.560]  他回到媽媽那裡
[00:02:54.560 --> 00:02:55.720]  媽媽給他安慰
[00:02:55.720 --> 00:02:57.720]  鼓勵他放膽面對
[00:02:57.720 --> 00:02:59.280]  當他生了嬰兒之後
[00:02:59.280 --> 00:03:01.840]  同樣有這樣的情況
[00:03:01.840 --> 00:03:03.200]  但更重要的
[00:03:03.200 --> 00:03:04.880]  不單是親人
[00:03:04.880 --> 00:03:09.000]  因為上帝永遠是我們的依靠
[00:03:09.000 --> 00:03:11.960]  很多的教徒一生不斷經歷難處
[00:03:11.960 --> 00:03:14.520]  但不斷回到神的面前
[00:03:14.520 --> 00:03:18.160]  而經歷神給我們很奇妙的安慰
[00:03:18.160 --> 00:03:20.760]  保守和幫助
[00:03:20.760 --> 00:03:22.320]  因此詩人說
[00:03:22.320 --> 00:03:26.040]  耶和華你是我所盼望的
[00:03:26.040 --> 00:03:30.120]  從我年幼你是我所依靠的
[00:03:30.120 --> 00:03:32.640]  我從出母胎被你扶持
[00:03:32.640 --> 00:03:35.240]  使我出母福的是你
[00:03:35.240 --> 00:03:38.760]  我必常常讚美你
[00:03:38.760 --> 00:03:41.960]  這篇詩篇三次提及「常常」
[00:03:41.960 --> 00:03:44.240]  使人常常回到神的面前
[00:03:44.240 --> 00:03:46.440]  因為知道這位上帝
[00:03:46.440 --> 00:03:49.920]  是他最終最大的依靠
[00:03:49.920 --> 00:03:53.560]  我們再看第三節
[00:03:53.560 --> 00:03:57.120]  「求你作我常住的盆石」
[00:03:57.120 --> 00:03:58.920]  聖經的新譯本提及
[00:03:58.920 --> 00:04:03.560]  「使我可以常常地來投靠你」
[00:04:03.560 --> 00:04:04.880]  各位弟兄姊妹
[00:04:04.880 --> 00:04:09.000]  這位上帝是你和我可以常常投靠的
[00:04:09.000 --> 00:04:12.280]  因為他是永恆不變的神
[00:04:12.280 --> 00:04:15.680]  他的愛一直成為我們的幫助
[00:04:15.680 --> 00:04:18.800]  我記得當我自己在青年時期信主
[00:04:18.800 --> 00:04:22.400]  有一些經歷給我今天都有很大的鼓勵
[00:04:22.400 --> 00:04:24.960]  我記得在我自己中五
[00:04:24.960 --> 00:04:28.480]  當時會考成績不好
[00:04:28.480 --> 00:04:31.720]  很多人都認為我不可以再讀書
[00:04:31.720 --> 00:04:33.200]  甚至我的家人都認為
[00:04:33.200 --> 00:04:36.440]  可能你都不太可以再讀書了
[00:04:36.440 --> 00:04:38.080]  當時自己都有些失望
[00:04:38.080 --> 00:04:41.000]  但嘗試繼續努力讀語科
[00:04:41.000 --> 00:04:44.280]  去到中七的時候報讀大學
[00:04:44.280 --> 00:04:45.480]  當時沒有信心
[00:04:45.480 --> 00:04:47.520]  自己內心都有很多擔心
[00:04:47.520 --> 00:04:49.080]  我記得每天放學後
[00:04:49.080 --> 00:04:51.560]  去到自修室讀書
[00:04:51.560 --> 00:04:54.840]  自修室旁邊有一座公園
[00:04:54.840 --> 00:04:57.080]  我在傍晚時去到公園
[00:04:57.080 --> 00:05:00.520]  總是找尋一個隱蔽的角落
[00:05:00.520 --> 00:05:01.920]  沒有人去到
[00:05:01.920 --> 00:05:05.800]  我坐在石級上向神祈禱
[00:05:05.800 --> 00:05:10.080]  每一天都去到那個地方祈禱
[00:05:10.080 --> 00:05:12.520]  慢慢感覺自己的上帝
[00:05:12.520 --> 00:05:16.520]  在石級的隱密處等待
[00:05:16.520 --> 00:05:21.080]  來安慰、鼓勵、支持我
[00:05:21.080 --> 00:05:22.080]  在那段時間
[00:05:22.080 --> 00:05:24.320]  很多叫我失望的事情
[00:05:24.320 --> 00:05:25.240]  但我就是這樣
[00:05:25.240 --> 00:05:27.440]  常常在道道主的面前
[00:05:27.440 --> 00:05:30.920]  投靠祂、去經歷祂
[00:05:30.920 --> 00:05:32.160]  出乎很多人的意料
