
[00:00:00.000 --> 00:00:03.360]  慈悲的父神,我們向你獻上感謝
[00:00:03.360 --> 00:00:05.640]  你的恩,你的愛
[00:00:05.640 --> 00:00:09.120]  在許多的人心中彰顯
[00:00:09.120 --> 00:00:14.640]  我們被你的愛,就是釋放的大愛吸引來歸香主
[00:00:14.640 --> 00:00:16.160]  正如主說的
[00:00:16.160 --> 00:00:19.920]  你若被舉其來,你將吸引萬人來歸香
[00:00:19.920 --> 00:00:23.160]  所以若不是你的愛,我們都不會在這
[00:00:23.160 --> 00:00:26.160]  我們為了自己的蒙恩獻上感謝
[00:00:26.160 --> 00:00:33.400]  我們為了王先生、王老太太和他們的全家蒙恩獻上感謝
[00:00:33.400 --> 00:00:36.120]  也求主你的奇妙的作為
[00:00:36.120 --> 00:00:40.520]  積極地用各種的方式彰顯出來
[00:00:40.520 --> 00:00:43.800]  主你加強我們的信心和愛心
[00:00:43.800 --> 00:00:49.160]  讓我們在祢面前領受更多更多恩惠
[00:00:49.160 --> 00:00:53.920]  讓我們的信心堅固、愛心眺望
[00:00:53.920 --> 00:00:56.240]  能夠朝祢的喜悅
[00:00:56.240 --> 00:00:59.280]  主我們現在要領受祢的教導
[00:00:59.280 --> 00:01:02.640]  求方位是聖靈親自地光照我們
[00:01:02.640 --> 00:01:05.080]  感動我們、建立我們
[00:01:05.080 --> 00:01:11.040]  我們這樣祈求感謝奉主耶穌基督的聖名
[00:01:11.040 --> 00:01:14.760]  請大家翻到聖約《費利比書》
[00:01:14.760 --> 00:01:17.840]  請大家翻到《新約》的《費利比書》
[00:01:17.840 --> 00:01:20.440]  第二章
[00:01:20.440 --> 00:01:24.440]  十五節和十六節
[00:01:24.440 --> 00:01:28.160]  《費利比書》第二章
[00:01:28.160 --> 00:01:31.200]  十五節和十六節
[00:01:31.200 --> 00:01:33.280]  找到以後
[00:01:33.280 --> 00:01:37.440]  我請大家同聲讀出來
[00:01:37.440 --> 00:01:41.360]  十五和十六兩節
[00:01:41.360 --> 00:01:45.720]  使你們無可指責、誠實無偽
[00:01:45.720 --> 00:01:48.560]  在這彎曲活茂的世代
[00:01:48.560 --> 00:01:51.360]  作上帝無瑕疵的兒女
[00:01:51.360 --> 00:01:53.840]  你們顯在這世代中
[00:01:53.840 --> 00:01:56.000]  普照明光照耀
[00:01:56.000 --> 00:01:58.720]  將生命的道表明出來
[00:01:58.720 --> 00:02:00.920]  叫我在基督的日子
[00:02:00.920 --> 00:02:06.560]  好誇我沒有空巢也沒有逃路
[00:02:06.560 --> 00:02:11.680]  今天我們要領受的信息
[00:02:11.680 --> 00:02:15.600]  是見證生活
[00:02:15.600 --> 00:02:17.880]  見證生活分兩方面
[00:02:17.880 --> 00:02:19.960]  第一方面
[00:02:19.960 --> 00:02:24.840]  是生命與生活的見證
[00:02:24.840 --> 00:02:31.040]  就是說在我們的日常生活裏面
[00:02:31.040 --> 00:02:35.160]  藉著我們的品格
[00:02:35.160 --> 00:02:38.000]  和我們的行動
[00:02:38.000 --> 00:02:43.280]  把我們所信的福音真道表明出來
[00:02:43.280 --> 00:02:46.960]  第二方面
[00:02:46.960 --> 00:02:48.760]  第二方面
[00:02:48.760 --> 00:02:56.320]  是言語上和工作上的見證
[00:02:56.320 --> 00:03:01.960]  那就是平常所說的「傳福音」
[00:03:01.960 --> 00:03:06.360]  這兩方面都是「傳福音」
[00:03:06.360 --> 00:03:08.440]  合在一起
[00:03:08.440 --> 00:03:14.280]  就是完整的見證生活
[00:03:14.280 --> 00:03:22.160]  單有言語和工作上的傳福音是不夠的
[00:03:22.160 --> 00:03:30.240]  單有品格和行動上的表現也不夠
[00:03:30.240 --> 00:03:34.560]  這兩方面一定要配合起來
[00:03:34.560 --> 00:03:40.200]  才是完整的福音見證
[00:03:40.200 --> 00:03:43.480]  今天我們講第一方面
[00:03:43.480 --> 00:03:45.920]  我們講第一方面
[00:03:45.920 --> 00:03:50.760]  就是生活見證
[00:03:50.760 --> 00:03:53.000]  下一個禮拜天
[00:03:53.000 --> 00:03:54.240]  我們講第二方面
