
[00:00:00.000 --> 00:00:02.000]  主我們再次感謝祢
[00:00:02.000 --> 00:00:05.000]  主願祢賜給我們弟兄姊妹
[00:00:05.000 --> 00:00:08.000]  主我們真是弟兄姊妹
[00:00:08.000 --> 00:00:12.000]  因為我們都以祢為我們的父親
[00:00:12.000 --> 00:00:16.000]  我們何等的蒙恩被稱為神的兒女
[00:00:16.000 --> 00:00:18.000]  與我們確實有兒女的身份
[00:00:18.000 --> 00:00:21.000]  又有弟兄姊妹的身份
[00:00:21.000 --> 00:00:23.000]  主讓我們感謝祢
[00:00:23.000 --> 00:00:24.000]  祢透過
[00:00:24.000 --> 00:00:28.000]  很多時候祢會透過弟兄姊妹來祝福我們
[00:00:28.000 --> 00:00:31.000]  我們有很多自己的不足軟弱
[00:00:31.000 --> 00:00:34.000]  但是主讓祢透過身邊的人
[00:00:34.000 --> 00:00:36.000]  成為了我們生命的激勵
[00:00:36.000 --> 00:00:38.000]  成為我們的幫助
[00:00:38.000 --> 00:00:40.000]  今天我們到祢面前
[00:00:40.000 --> 00:00:42.000]  再次為祢所賜
[00:00:42.000 --> 00:00:44.000]  我們的團契生活感謝祢
[00:00:44.000 --> 00:00:47.000]  也在主的面前仰望恩主
[00:00:47.000 --> 00:00:49.000]  繼續來幫助我們
[00:00:49.000 --> 00:00:50.000]  學習去愛
[00:00:50.000 --> 00:00:52.000]  學習去關懷
[00:00:52.000 --> 00:00:53.000]  學習去付出
[00:00:53.000 --> 00:00:57.000]  讓我們在團契小組的生活當中
[00:00:57.000 --> 00:00:59.000]  主我們能夠討祢的喜悅
[00:00:59.000 --> 00:01:02.000]  更能夠按照祢的吩咐
[00:01:02.000 --> 00:01:04.000]  行出祢喜悅的事
[00:01:04.000 --> 00:01:08.000]  主我們現今打開聖經思想祢的說話
[00:01:08.000 --> 00:01:10.000]  求親愛的聖靈
[00:01:10.000 --> 00:01:11.000]  祢幫我們明白
[00:01:11.000 --> 00:01:14.000]  也讓我們心中有感動
[00:01:14.000 --> 00:01:16.000]  祢都實行出來
[00:01:16.000 --> 00:01:18.000]  我們仰望祈禱
[00:01:18.000 --> 00:01:20.000]  奉耶穌聖名祈求
[00:01:20.000 --> 00:01:21.000]  阿們
[00:01:21.000 --> 00:01:24.000]  我們今天一起思想的是
[00:01:24.000 --> 00:01:26.000]  聖經約翰一書第三章
[00:01:26.000 --> 00:01:28.000]  大家可以再翻開聖經的經文
[00:01:28.000 --> 00:01:37.000]  當我們讀這段聖經的時候
