
[00:00:00.000 --> 00:00:03.400]  今個主日已經是第二次我們在四十日生命根生之旅
[00:00:03.400 --> 00:00:05.400]  我們講主在來的訊息
[00:00:05.400 --> 00:00:06.800]  在上一個主日裏面
[00:00:06.800 --> 00:00:10.360]  我們說耶穌講出
[00:00:10.360 --> 00:00:15.160]  當祂受死、復活、升天、末世開始
[00:00:15.160 --> 00:00:19.280]  到祂再來施行這個公義的大審判期間
[00:00:19.280 --> 00:00:21.160]  會有什麼事情發生
[00:00:21.160 --> 00:00:22.520]  耶穌也在說
[00:00:22.520 --> 00:00:24.320]  究竟有什麼事情發生
[00:00:24.320 --> 00:00:26.240]  讓一班門徒知道
[00:00:26.240 --> 00:00:31.360]  耶穌所說祂將來會再臨施行這個大審判
[00:00:31.360 --> 00:00:32.800]  是必定會來臨
[00:00:32.800 --> 00:00:35.920]  就是一個很重要的事件發生
[00:00:35.920 --> 00:00:38.160]  就是聖殿被毀
[00:00:38.160 --> 00:00:40.920]  在主後大約六十多年的時間
[00:00:40.920 --> 00:00:42.840]  聖殿完全被拆毀
[00:00:42.840 --> 00:00:44.840]  當時聖殿相當宏偉
[00:00:44.840 --> 00:00:46.800]  當時的人不能想像
[00:00:46.800 --> 00:00:51.600]  這個聖殿怎麼可能被拆毀呢?
[00:00:51.600 --> 00:00:53.960]  但是當耶穌講完這段說話
[00:00:53.960 --> 00:00:54.760]  幾十年之後
[00:00:54.760 --> 00:00:57.800]  這個聖殿就完全被摧毀
[00:00:57.800 --> 00:00:59.400]  這件事已經發生
[00:00:59.400 --> 00:01:02.840]  一班門徒再去想回耶穌所說的話
[00:01:02.840 --> 00:01:04.400]  他們很清楚知道
[00:01:04.400 --> 00:01:07.800]  他們仍然在等待著
[00:01:07.800 --> 00:01:11.400]  耶穌第二次再來的日子
[00:01:11.400 --> 00:01:12.840]  耶穌在說
[00:01:12.840 --> 00:01:16.120]  在祂來的過程裏面
[00:01:16.120 --> 00:01:18.720]  再臨的這個階段裏面
[00:01:18.720 --> 00:01:21.360]  會有很多不同的災難
[00:01:21.360 --> 00:01:23.160]  不同的迷惑去發生
[00:01:23.160 --> 00:01:25.320]  所以上一個星期我們用
[00:01:25.320 --> 00:01:27.720]  經心動魄揭序幕
[00:01:27.720 --> 00:01:28.840]  這個開始
[00:01:28.840 --> 00:01:30.000]  聖殿的被毀
[00:01:30.000 --> 00:01:32.200]  揭開了這個序幕
[00:01:32.200 --> 00:01:33.960]  接著今天我們說
[00:01:33.960 --> 00:01:36.640]  風聲鶴唳響警號
[00:01:36.640 --> 00:01:38.440]  究竟在這個過程當中
[00:01:38.440 --> 00:01:41.080]  會有什麼事情會發生呢?
[00:01:41.080 --> 00:01:44.240]  在二十四章第十五節
[00:01:44.240 --> 00:01:45.560]  耶穌這樣說
[00:01:45.560 --> 00:01:47.560]  「你們看見先知
[00:01:47.560 --> 00:01:50.720]  但以你所說的那行毀壞可憎的
[00:01:50.720 --> 00:01:53.880]  站在聖地讀者經的人
[00:01:53.880 --> 00:01:55.280]  需要會議」
[00:01:55.280 --> 00:01:56.480]  在這裡
[00:01:56.480 --> 00:01:58.160]  耶穌在說
[00:01:58.160 --> 00:02:01.080]  全樣福音的過程
[00:02:01.080 --> 00:02:02.240]  這個世代裏面
[00:02:02.240 --> 00:02:04.960]  其實都是一個患難的時代
[00:02:04.960 --> 00:02:08.360]  整個時代都不會有一個
[00:02:08.360 --> 00:02:11.640]  可以說完全太平的日子
[00:02:11.640 --> 00:02:13.680]  而耶穌繼續說
[00:02:13.680 --> 00:02:15.400]  在這一段時期當中
[00:02:15.400 --> 00:02:17.480]  其中的一部分
[00:02:17.640 --> 00:02:22.360]  有一個大災難的事情會發生
[00:02:22.360 --> 00:02:23.560]  在這裡耶穌說
[00:02:23.560 --> 00:02:27.560]  洗地荒涼的洩毒的罪
[00:02:27.560 --> 00:02:30.800]  會發生在地上
[00:02:30.800 --> 00:02:31.840]  這個措辭
[00:02:31.840 --> 00:02:34.680]  其實在《大義律書》裏面出現過三次
[00:02:34.680 --> 00:02:36.400]  在《大義律書》裏面
[00:02:36.400 --> 00:02:39.480]  應該按照一般的
[00:02:39.480 --> 00:02:40.520]  悉經家
[00:02:40.520 --> 00:02:42.400]  他們都會相信
[00:02:42.400 --> 00:02:43.760]  《大義律書》說
[00:02:43.800 --> 00:02:48.040]  洗地荒涼的原因
[00:02:48.040 --> 00:02:49.840]  是因為有洩毒的罪
[00:02:49.840 --> 00:02:52.240]  而《大義律書》所說的事情
[00:02:52.240 --> 00:02:56.960]  是在主前大約
[00:02:56.960 --> 00:02:58.760]  一百七十年時間
[00:02:58.760 --> 00:03:00.200]  一百六十八年時間
[00:03:00.200 --> 00:03:03.480]  有一個統治者安提亞古
[00:03:03.480 --> 00:03:08.560]  他統治了當時的地區
[00:03:08.560 --> 00:03:10.640]  耶路撒冷這個地區
[00:03:10.640 --> 00:03:13.320]  他將憲制
[00:03:13.320 --> 00:03:15.080]  在聖殿裏面
[00:03:15.080 --> 00:03:17.320]  用不同的方式
[00:03:17.320 --> 00:03:19.600]  獻上一個異教的祭
[00:03:19.600 --> 00:03:21.000]  在壇上
[00:03:21.000 --> 00:03:22.760]  在當時來說
[00:03:22.760 --> 00:03:24.720]  他還獻上一頭豬
[00:03:24.720 --> 00:03:26.520]  在壇上
[00:03:26.520 --> 00:03:27.960]  在聖殿裏面
[00:03:27.960 --> 00:03:29.960]  獻上異教的
[00:03:29.960 --> 00:03:32.880]  宗教的神靈的祭
[00:03:32.880 --> 00:03:36.080]  也將猶太人視為不潔的豬
[00:03:36.080 --> 00:03:38.280]  獻在壇上
[00:03:38.280 --> 00:03:40.560]  這個領導人
[00:03:40.560 --> 00:03:42.920]  他將猶太教的活動
[00:03:42.920 --> 00:03:44.920]  定為一個死罪
[00:03:44.920 --> 00:03:47.280]  所以這件事件
[00:03:47.280 --> 00:03:49.520]  可以說是一個很象徵的意義
[00:03:49.520 --> 00:03:51.320]  當時的統治者
[00:03:51.320 --> 00:03:53.320]  去做一些洩毒的罪
[00:03:53.320 --> 00:03:54.640]  去洗地
[00:03:54.640 --> 00:03:56.160]  去說是荒涼
[00:03:56.160 --> 00:03:59.120]  接著耶穌在此說
[00:03:59.120 --> 00:04:03.400]  這些事件是會再次發生
[00:04:03.400 --> 00:04:08.320]  會再一次淋到大地上
[00:04:08.320 --> 00:04:10.000]  在這裏
[00:04:10.000 --> 00:04:12.560]  耶穌更可能是指到
[00:04:12.560 --> 00:04:15.360]  在主後七十年的這段時間
[00:04:15.360 --> 00:04:21.080]  當耶路撒冷城再一次被攻擊
[00:04:21.080 --> 00:04:24.280]  聖殿完全被摧毀的時候
[00:04:24.280 --> 00:04:28.600]  究竟一班門徒應該怎樣去做呢?
[00:04:28.600 --> 00:04:31.840]  在這裏我們可以說
[00:04:31.840 --> 00:04:34.400]  有一個歷史學家的考據
[00:04:34.400 --> 00:04:38.440]  就是在主後大約六十八年至七十年的時間
[00:04:38.440 --> 00:04:43.520]  當羅馬軍隊攻陷耶路撒冷城的時候
[00:04:43.520 --> 00:04:46.120]  有很多的基督徒
[00:04:46.120 --> 00:04:50.440]  基本上都逃離了耶路撒冷城這個城市
[00:04:50.440 --> 00:04:52.720]  從基督徒的角度
[00:04:52.720 --> 00:04:55.560]  不再在當中居住
[00:04:55.560 --> 00:04:57.760]  耶穌在此指出
[00:04:57.760 --> 00:05:00.040]  將要發生的某些事情
[00:05:00.040 --> 00:05:04.360]  是與大義律書第九章二十七節所說的相同
[00:05:04.360 --> 00:05:06.960]  可以說是附加了一句
[00:05:06.960 --> 00:05:09.320]  「這經的人需要回憶」
[00:05:09.320 --> 00:05:16.120]  在此說到主後七十年之前的時間
[00:05:16.120 --> 00:05:18.720]  如果人想逃離耶路撒冷城
[00:05:18.720 --> 00:05:20.080]  還有機會
[00:05:20.080 --> 00:05:21.640]  但再遲一些的時候
[00:05:21.640 --> 00:05:25.000]  這個城市更加混亂
[00:05:25.000 --> 00:05:27.800]  更加惡劣的情況下
[00:05:27.800 --> 00:05:31.080]  當人想逃離耶路撒冷城的時候
[00:05:31.080 --> 00:05:32.520]  可能已經太慢了
[00:05:32.680 --> 00:05:37.240]  馬太方面的作者馬太相信
[00:05:37.240 --> 00:05:42.080]  耶穌提及大義律書對猶太人的影響
[00:05:42.080 --> 00:05:44.680]  或者這個事件是相當重要
[00:05:44.680 --> 00:05:48.440]  那行毀壞可憎的聖地
