
[00:00:00.000 --> 00:00:03.880]  今天我們講到《約翰福音》第九章這段經文
[00:00:03.880 --> 00:00:09.860]  這段經文是記載耶穌醫好一個生來黑眼的一個人
[00:00:09.860 --> 00:00:15.340]  這一章的經文基本上和第八章的經文有一個很大的連接
[00:00:15.340 --> 00:00:17.740]  因為在第八章裏面講到在鑄盤節裏面
[00:00:17.740 --> 00:00:21.520]  耶穌說「我就是世上的光」
[00:00:21.520 --> 00:00:27.620]  然後在這裏就講到耶穌再一次說「我是世上的光」
[00:00:27.620 --> 00:00:33.480]  藉着醫治這個盒子表明他世上的光的意思是甚麼
[00:00:33.480 --> 00:00:37.880]  在這章的經文裏面講到不同人經歷了這個神蹟
[00:00:37.880 --> 00:00:40.280]  或見到這個神蹟有不同的反應
[00:00:40.280 --> 00:00:46.240]  盒子就是藉着這個神蹟去相信耶穌、去跟從耶穌
[00:00:46.240 --> 00:00:51.300]  而有一些人藉着見到這個神蹟反而去抗拒耶穌
[00:00:51.300 --> 00:00:53.240]  他們以為自己看得見
[00:00:53.240 --> 00:00:57.300]  但其實內心裏面仍然在黑暗當中
[00:00:57.300 --> 00:01:02.300]  這個是約翰藉着這段經文裏面去表達一個很強的訊息
[00:01:02.300 --> 00:01:07.100]  在第九章的第一至第三節裏面開始一個故事的起頭
[00:01:07.100 --> 00:01:11.420]  耶穌過去的時候看見一個人生來是黑暗的
[00:01:11.420 --> 00:01:17.100]  門徒問耶穌說「拉比,這個人生來是黑暗的,是誰犯了罪?」
[00:01:17.100 --> 00:01:19.300]  「是這人呢?是他父母呢?」
[00:01:19.300 --> 00:01:23.860]  耶穌回答說「也不是這人犯了罪,也不是他父母犯了罪」
[00:01:23.860 --> 00:01:27.860]  「是要在他身上顯出神的作為來」
[00:01:27.860 --> 00:01:33.180]  這段經文基本上是在兩個節期的中間
[00:01:33.180 --> 00:01:34.420]  事跡的記載
[00:01:34.420 --> 00:01:37.940]  在鑄盤節和獻殿節這個期間發生
[00:01:37.940 --> 00:01:41.340]  在耶路撒冷的地方裏面發生
[00:01:41.340 --> 00:01:45.100]  這個人,這個盒子生來是黑暗的
[00:01:45.100 --> 00:01:48.300]  一班門徒如何知道呢?我們不是很了解
[00:01:48.300 --> 00:01:53.460]  不過他們就知道了這個就是生來是黑暗的一個人
[00:01:53.460 --> 00:01:56.980]  然後他們就去問耶穌一個問題
[00:01:56.980 --> 00:02:01.460]  就是說究竟為什麼他會有一個痛苦呢?
[00:02:01.460 --> 00:02:03.660]  生來為什麼是黑暗呢?
[00:02:03.660 --> 00:02:08.180]  在當時巴勒斯坦地的猶太人
[00:02:08.180 --> 00:02:10.580]  許其田有一個很重要的想法
