
[00:00:00.000 --> 00:00:05.420]  弟兄姊妹平安,我們在復活節的主日一起去敬拜
[00:00:05.420 --> 00:00:12.920]  剛才由敬拜師哥開始,提醒我們唯獨耶穌是他犧牲的愛
[00:00:12.920 --> 00:00:19.420]  到施班的獻師,看到我們是一個永不失敗的十字架
[00:00:19.420 --> 00:00:24.420]  更加是他超越時間之靈的創造主
[00:00:24.420 --> 00:00:29.420]  在這個復活節的主日,我們分享的訊息叫做哪一天我不會醒
[00:00:29.420 --> 00:00:32.420]  其實都是很有關係的復活的訊息
[00:00:32.420 --> 00:00:36.420]  這個題目我不知道你會想起什麼
[00:00:36.420 --> 00:00:40.420]  有些人想起早幾年一齣電影
[00:00:40.420 --> 00:00:44.420]  還是我想起《睡公主》
[00:00:44.420 --> 00:00:48.420]  《睡公主》是童話故事
[00:00:48.420 --> 00:00:52.420]  通常童話故事是由苦變甜就happy ending
[00:00:52.420 --> 00:00:59.420]  但在現實生活中,我們是否也會像童話故事般簡單
[00:00:59.420 --> 00:01:05.420]  我們也會覺得不是的,有時候人的人生也很艱難
[00:01:05.420 --> 00:01:12.420]  除了我們有時候提過不能夠叫醒什麼人
[00:01:12.420 --> 00:01:16.420]  裝睡、假裝睡的人,假裝睡你不會叫醒他
[00:01:16.420 --> 00:01:18.420]  但為什麼有人假裝睡呢?
[00:01:18.420 --> 00:01:23.420]  因為沉睡是一種逃避現實的其中一個可能性
[00:01:23.420 --> 00:01:26.420]  就是活在醉生夢死之間
[00:01:26.420 --> 00:01:32.420]  所以醉了的人可能是一個原因
[00:01:32.420 --> 00:01:35.420]  為什麼人們會買醉呢?
[00:01:35.420 --> 00:01:41.420]  他太清醒了,太清醒的人是痛苦的
[00:01:41.420 --> 00:01:47.420]  為什麼呢?他知道現實是這樣的,他不會騙自己
[00:01:47.420 --> 00:01:52.420]  當然這不是基督徒所擁有的信仰或生命的價值觀
[00:01:52.420 --> 00:01:55.420]  事實上是的,我寧願麻醉自己
