
[00:00:00.000 --> 00:00:03.000]  歡迎回來神學四重奏
[00:00:03.000 --> 00:00:05.800]  今天會講靈因運動的第二節
[00:00:05.800 --> 00:00:07.560]  上一節就講了
[00:00:07.560 --> 00:00:09.160]  Pentecostal 十五重宗
[00:00:09.160 --> 00:00:10.840]  五重節或靈因
[00:00:10.840 --> 00:00:12.000]  其實是很闊綽
[00:00:12.000 --> 00:00:13.040]  很多東西
[00:00:13.040 --> 00:00:16.040]  不如我們再講多一點
[00:00:16.040 --> 00:00:19.240]  究竟它實際是怎樣的呢
[00:00:19.240 --> 00:00:21.200]  不是只講方言
[00:00:21.200 --> 00:00:22.680]  你告訴我它的定義
[00:00:22.680 --> 00:00:26.080]  實際上有沒有什麼是我們可以看到的呢
[00:00:26.080 --> 00:00:27.080]  不要太抽象
[00:00:28.400 --> 00:00:33.920]  他們怎樣去想聖靈的工作
[00:00:33.920 --> 00:00:38.320]  對於一些本質上
[00:00:38.320 --> 00:00:40.920]  聖靈的工作是怎樣的呢
[00:00:40.920 --> 00:00:43.920]  在這個世界上運作是怎樣理解的呢
[00:00:43.920 --> 00:00:48.120]  早期不純洁運動群體
[00:00:48.120 --> 00:00:50.040]  宣教士 信徒
[00:00:50.040 --> 00:00:53.520]  他們其中一個主流的思想
[00:00:53.520 --> 00:00:55.720]  就是比較他世觀
[00:00:55.720 --> 00:00:59.920]  一種來世或他世主義
[00:00:59.920 --> 00:01:03.360]  因為這和他們怎樣理解
[00:01:03.360 --> 00:01:08.000]  世界走向什麼命運有關
[00:01:08.000 --> 00:01:12.600]  他們相信耶穌基督快要回來了
[00:01:12.600 --> 00:01:14.320]  又或者隨時會回來
[00:01:14.320 --> 00:01:17.520]  其實這種思想會令他們有一個
[00:01:17.520 --> 00:01:19.640]  很想快點傳福音
[00:01:19.640 --> 00:01:23.840]  令世界各地的人的靈魂得救有關
[00:01:23.840 --> 00:01:26.480]  所以其實很多時候我們從現象看到
[00:01:26.480 --> 00:01:28.880]  早期的一些宣教士
[00:01:28.880 --> 00:01:34.800]  特別是來自阿蘇薩街大福音的傳教士
[00:01:34.800 --> 00:01:39.280]  他們都沒有受過嚴格的神學裝備
[00:01:39.280 --> 00:01:42.840]  他們主要依賴的就是
[00:01:42.840 --> 00:01:46.000]  他們認為自己是領受了聖靈的洗
[00:01:46.000 --> 00:01:48.760]  伴隨著一些的屬靈恩賜
[00:01:48.760 --> 00:01:50.600]  特別是方言
[00:01:50.600 --> 00:01:54.760]  早期他們眼中這個聖靈工作
[00:01:54.760 --> 00:01:57.720]  是被他們用來宣教的
[00:01:57.720 --> 00:02:00.880]  所以他們會不會說
[00:02:00.880 --> 00:02:05.680]  去到長期的進行一些社會工作
[00:02:05.680 --> 00:02:07.800]  或者去到轉化社會
[00:02:07.800 --> 00:02:10.160]  那時我想可能是比較少見的
[00:02:10.160 --> 00:02:11.880]  但時至今日我們可以看到
[00:02:11.880 --> 00:02:13.680]  其實這一種的思想
[00:02:13.680 --> 00:02:16.440]  都慢慢地去到改變了
[00:02:16.440 --> 00:02:21.720]  變成一種比較傾向慈世觀的態度
[00:02:21.720 --> 00:02:27.480]  即是說其實當然耶穌基督會隨時回來
[00:02:27.480 --> 00:02:31.280]  而他們現在要做的使命
[00:02:31.280 --> 00:02:33.360]  有一種主流的思想就是說
[00:02:33.360 --> 00:02:39.600]  我們要去到進行全地的社會的轉化
[00:02:39.600 --> 00:02:44.360]  我們要去到透過聖靈在我們身上的工作
[00:02:44.360 --> 00:02:49.000]  去推動世界各地的大復興
[00:02:49.000 --> 00:02:54.840]  而在香港的五常志及靈恩教會群體
[00:02:54.840 --> 00:02:58.480]  我們可以看到其實他們由
[00:02:58.480 --> 00:03:02.880]  1907年進來香港開始
