
[00:00:00.000 --> 00:00:05.000]  《馬拉基書》三章十三至四章三戰
[00:00:05.000 --> 00:00:08.000]  究竟神有什麼話對我們說呢?
[00:00:08.000 --> 00:00:10.000]  我很想用今天這段聖經
[00:00:10.000 --> 00:00:14.000]  一起來聆聽和思想
[00:00:14.000 --> 00:00:18.000]  其實這段聖經就像神自己的說話一樣
[00:00:18.000 --> 00:00:20.000]  很有力量
[00:00:20.000 --> 00:00:25.000]  所以我們真的不需要多作很多的解說
[00:00:25.000 --> 00:00:27.000]  或者演繹
[00:00:27.000 --> 00:00:31.000]  當中一些說話,我希望大家今天和我都記住
[00:00:31.000 --> 00:00:36.000]  成為我們生命裡面很重要的不斷提醒
[00:00:36.000 --> 00:00:39.000]  待會我會告訴大家你們記住什麼說話
[00:00:39.000 --> 00:00:41.000]  都是聖經裡面的說話
[00:00:41.000 --> 00:00:43.000]  我們發覺這段聖經裡面
[00:00:43.000 --> 00:00:46.000]  神用的說話很厲害
[00:00:46.000 --> 00:00:48.000]  一開始十三節就說
[00:00:48.000 --> 00:00:53.000]  神說你們為什麼用說話來頂撞我
[00:00:53.000 --> 00:00:58.000]  接著,人就說我什麼時候頂撞過你
[00:00:58.000 --> 00:01:03.000]  一開始就吵架了
[00:01:03.000 --> 00:01:08.000]  幾次我們在香港茶餘飯後見面
[00:01:08.000 --> 00:01:12.000]  在街上,這種文化真厲害
[00:01:12.000 --> 00:01:15.000]  神說你為什麼頂撞我
[00:01:15.000 --> 00:01:18.000]  人說我什麼時候頂撞過你
[00:01:18.000 --> 00:01:21.000]  神說因為有兩件事你講了
[00:01:21.000 --> 00:01:24.000]  第一,第十四節
[00:01:24.000 --> 00:01:29.000]  你說侍奉神有什麼用
[00:01:29.000 --> 00:01:32.000]  聽他吩咐,又守他的禮約
[00:01:32.000 --> 00:01:34.000]  有什麼好處
[00:01:34.000 --> 00:01:37.000]  侍奉神有什麼用
[00:01:37.000 --> 00:01:39.000]  第十五節
[00:01:39.000 --> 00:01:41.000]  第二,你們說
[00:01:41.000 --> 00:01:45.000]  你看看那些驕傲的人
[00:01:45.000 --> 00:01:47.000]  他真是有福
[00:01:47.000 --> 00:01:49.000]  原文驕傲
[00:01:49.000 --> 00:01:52.000]  何俠本也好,狂傲
[00:01:52.000 --> 00:01:55.000]  狂傲的人有福
[00:01:55.000 --> 00:01:57.000]  不斷被人建立
[00:01:57.000 --> 00:02:00.000]  他們做了些惡事
[00:02:00.000 --> 00:02:06.000]  但竟然可以逃脫
[00:02:06.000 --> 00:02:08.000]  好人受屈
[00:02:08.000 --> 00:02:12.000]  惡人風光
