
[00:00:00.000 --> 00:00:02.000]  當你讀到希伯來書的時候
[00:00:02.000 --> 00:00:04.000]  大家都會有一個印象
[00:00:04.000 --> 00:00:07.000]  知道裏面有很多時候提及
[00:00:07.000 --> 00:00:11.000]  在舊約當中很多很多信心的人物
[00:00:11.000 --> 00:00:14.000]  他們帶著信心來跟隨上帝
[00:00:14.000 --> 00:00:17.000]  他們在他們所身處的地方
[00:00:17.000 --> 00:00:20.000]  不同的城市來生活
[00:00:20.000 --> 00:00:24.000]  但是他們就是這樣來以信心來跟隨神
[00:00:24.000 --> 00:00:26.000]  讀到聖經第十一章的時候
[00:00:26.000 --> 00:00:29.000]  你會記得裏面很多的人物提及
[00:00:29.000 --> 00:00:31.000]  甚至提及摩西
[00:00:31.000 --> 00:00:36.000]  提及他雖然在地上受過很多苦楚
[00:00:36.000 --> 00:00:40.000]  但聖經就說他寧願受苦
[00:00:40.000 --> 00:00:43.000]  不願意享受最終之樂
[00:00:43.000 --> 00:00:47.000]  不願意享受一種短暫的最終之樂
[00:00:47.000 --> 00:00:52.000]  寧願跟神的百姓一起面對一些苦難
[00:00:52.000 --> 00:00:54.000]  聖經提及有很多人
[00:00:54.000 --> 00:00:56.000]  他們在當時很清楚知道
[00:00:56.000 --> 00:01:00.000]  自己只不過是在地上的客類
[00:01:00.000 --> 00:01:02.000]  是寄居的
[00:01:02.000 --> 00:01:04.000]  是短暫居留的
[00:01:04.000 --> 00:01:06.000]  然後在過程裏面
[00:01:06.000 --> 00:01:10.000]  他們渴望等候的是更美長存的家鄉
[00:01:10.000 --> 00:01:14.000]  是我們真正的家鄉
[00:01:14.000 --> 00:01:17.000]  所以如果你看一看前面的第十一章
[00:01:17.000 --> 00:01:20.000]  你就會看到聖經一路講述這些人物
[00:01:20.000 --> 00:01:25.000]  他們是在尋求、嚮往一個更美的家鄉
[00:01:25.000 --> 00:01:30.000]  在第十一章第十六節
[00:01:30.000 --> 00:01:34.000]  聖經說:但是現在他們所嚮往的
[00:01:34.000 --> 00:01:38.000]  是一個更美的在天上的家鄉
[00:01:38.000 --> 00:01:43.000]  所以神不以他們稱他們為神而覺得羞恥
[00:01:43.000 --> 00:01:48.000]  因為祂已經為他們預備了一座城
[00:01:48.000 --> 00:01:51.000]  這班屬神的人
[00:01:51.000 --> 00:01:54.000]  他們等候著將來的天家
[00:01:54.000 --> 00:01:59.000]  但是聖經說:因為上帝不以他們稱祂為神
[00:01:59.000 --> 00:02:03.000]  所以祂會覺得有任何羞愧的地方
[00:02:03.000 --> 00:02:05.000]  今天我們做父母的
[00:02:05.000 --> 00:02:08.000]  有些時候都會感覺一種羞愧
[00:02:08.000 --> 00:02:10.000]  很慚愧,好像不能夠
[00:02:10.000 --> 00:02:15.000]  可以真的很足夠地照顧自己的孩子
[00:02:15.000 --> 00:02:18.000]  或者有些地方虧欠了他們
[00:02:18.000 --> 00:02:21.000]  做老師的都有類似的感覺
[00:02:21.000 --> 00:02:25.000]  有些時候會想起虧欠了學生
[00:02:25.000 --> 00:02:29.000]  沒有用心地教他們,感覺有慚愧
[00:02:29.000 --> 00:02:31.000]  但是提及這位上帝
[00:02:31.000 --> 00:02:33.000]  不因為我們稱祂為神
[00:02:33.000 --> 00:02:36.000]  我們認祂為我們的主
[00:02:36.000 --> 00:02:40.000]  祂有絲毫感覺慚愧或者羞愧的地方
[00:02:40.000 --> 00:02:43.000]  因為祂對我們沒有任何的虧負
[00:02:43.000 --> 00:02:45.000]  祂要賜給我們的恩惠
[00:02:45.000 --> 00:02:49.000]  永遠永遠大過我們所付出的
[00:02:49.000 --> 00:02:51.000]  我們正經在剛才讀的十六節
[00:02:51.000 --> 00:02:53.000]  去到最後一句的時候
[00:02:53.000 --> 00:02:56.000]  就提到神不會因此羞恥
[00:02:56.000 --> 00:03:02.000]  因為祂已經為我們預備了一座城
[00:03:02.000 --> 00:03:05.000]  為我們預備的是永恆的居所
[00:03:05.000 --> 00:03:07.000]  是永遠的家鄉
[00:03:07.000 --> 00:03:12.000]  是神清楚應許凡是信靠祂的人所預備的
[00:03:12.000 --> 00:03:14.000]  而前面的經文繼續提及
[00:03:14.000 --> 00:03:19.000]  這一座城不是用人所管治的城
[00:03:19.000 --> 00:03:22.000]  不是我們今天所身處的城市
[00:03:22.000 --> 00:03:24.000]  是人所管治的
[00:03:24.000 --> 00:03:29.000]  提及這一座城是神所經營所建造的
[00:03:29.000 --> 00:03:32.000]  是神自己所親自建造
[00:03:32.000 --> 00:03:36.000]  是為屬祂的人永遠的居所
[00:03:36.000 --> 00:03:39.000]  因此當屬神的人領受這份應許的時候
[00:03:39.000 --> 00:03:43.000]  我們就繼續在我們所身處的城市生活
[00:03:43.000 --> 00:03:47.000]  但我們知道在其中神對我們有旨意
[00:03:47.000 --> 00:03:51.000]  我們就按祂的旨意來在城市生活
[00:03:51.000 --> 00:03:53.000]  但我們內心知道
[00:03:53.000 --> 00:03:57.000]  我們所尋求的不是地上永存的城
[00:03:57.000 --> 00:04:00.000]  地上的城不是永存的
[00:04:00.000 --> 00:04:05.000]  而是嚮往等候神給我們永恆的城
[00:04:05.000 --> 00:04:07.000]  亦因為這個盼望
[00:04:07.000 --> 00:04:10.000]  我們很願意按照神的旨意
[00:04:10.000 --> 00:04:12.000]  在現在的地上生活
[00:04:12.000 --> 00:04:16.000]  來預備自己來領受神給我們的應許
[00:04:16.000 --> 00:04:18.000]  這正是聖經裏面
[00:04:18.000 --> 00:04:21.000]  對很多教徒生活的一種描述
[00:04:21.000 --> 00:04:24.000]  因為盼望神給我們的應許
[00:04:24.000 --> 00:04:28.000]  所以我們因此放膽在今天所身處的城市
[00:04:28.000 --> 00:04:32.000]  來見證神來跟隨神
[00:04:32.000 --> 00:04:34.000]  當你讀希伯來書一章到十二章的時候
