
[00:00:00.000 --> 00:00:02.760]  在《馬太福音》第一章至第七章
[00:00:02.760 --> 00:00:05.760]  就講到耶穌在講了很多的教訓
[00:00:05.760 --> 00:00:08.920]  講了很多一些道理
[00:00:08.920 --> 00:00:11.880]  接著在第七章的結尾
[00:00:11.880 --> 00:00:16.360]  作者就說耶穌的教導不像是一班的文士
[00:00:16.360 --> 00:00:21.520]  因為他帶著權柄去作教導的工作
[00:00:21.520 --> 00:00:24.080]  接著在第八章至第十章
[00:00:24.080 --> 00:00:25.560]  基本上就講出了
[00:00:25.560 --> 00:00:27.880]  就是描述了很多的神蹟
[00:00:27.880 --> 00:00:30.080]  耶穌行了很多的神蹟
[00:00:30.080 --> 00:00:32.160]  其實是在回應這個問題
[00:00:32.160 --> 00:00:36.440]  耶穌不單只是一個有學問的文士
[00:00:36.440 --> 00:00:41.920]  耶穌不單只是一個比其他文士更好的文士
[00:00:41.920 --> 00:00:43.600]  或者更有學問的文士
[00:00:43.600 --> 00:00:44.280]  不是
[00:00:44.280 --> 00:00:48.720]  耶穌有一個很獨特的身份和權柄
[00:00:48.720 --> 00:00:53.400]  在大約十個神蹟裏面去表達到
[00:00:53.400 --> 00:00:57.600]  耶穌有控制大自然的能力
[00:00:57.600 --> 00:01:00.080]  祂可以醫治很多的疾病
[00:01:00.080 --> 00:01:02.440]  讓癱子能夠起身
[00:01:02.440 --> 00:01:06.560]  讓一些麻瘋病人得到醫治
[00:01:06.560 --> 00:01:12.680]  不同的權柄可以說顯出了耶穌的身份
[00:01:12.680 --> 00:01:19.000]  有沒有人可以行出這樣的神蹟呢?
[00:01:19.000 --> 00:01:20.760]  在地上沒有見過
[00:01:20.760 --> 00:01:22.120]  所以耶穌的身份
[00:01:22.120 --> 00:01:24.120]  藉著這些神蹟顯明
[00:01:24.120 --> 00:01:26.800]  耶穌是上帝所差派來的
[00:01:26.800 --> 00:01:32.280]  那一個末世要彰顯的彌賽
[00:01:32.280 --> 00:01:35.800]  耶穌就是上帝所差派來的救主
[00:01:35.800 --> 00:01:37.520]  祂是代表上帝
[00:01:37.520 --> 00:01:39.320]  雖然耶穌行了很多的神蹟
[00:01:39.320 --> 00:01:41.200]  但是敵對的人都會說
[00:01:41.200 --> 00:01:43.360]  祢的能力不是來自上帝
[00:01:43.360 --> 00:01:45.720]  而是來自撒旦
[00:01:45.720 --> 00:01:47.000]  但是這些攻擊
[00:01:47.000 --> 00:01:52.200]  沒有妨礙到耶穌在地上傳道的工作
[00:01:52.200 --> 00:01:54.200]  祂更差派了祂的門徒出去
[00:01:54.200 --> 00:01:57.320]  讓他們去到更多不同的地方
[00:01:57.320 --> 00:02:00.160]  去傳講一個很重要的訊息
[00:02:00.160 --> 00:02:03.680]  「天國近了,你們應當悔改」
[00:02:03.680 --> 00:02:05.640]  在第九章的經文裡面
[00:02:05.640 --> 00:02:10.080]  一開始就描述了一件事
[00:02:10.080 --> 00:02:10.880]  就是有一個人
[00:02:10.880 --> 00:02:14.800]  他癱瘓了很久
[00:02:14.800 --> 00:02:17.280]  然後他有幾個朋友很有信心
[00:02:17.280 --> 00:02:19.840]  就把他抬到耶穌的面前
[00:02:19.840 --> 00:02:25.920]  然後耶穌去見到他的仇
[00:02:25.920 --> 00:02:27.440]  見到這群人的信心
[00:02:27.440 --> 00:02:30.400]  所以就醫治了這個癱瘓
[00:02:30.400 --> 00:02:35.880]  在當時的猶太人的背景
[00:02:35.880 --> 00:02:37.920]  或者當時的社會的觀念
[00:02:37.920 --> 00:02:39.880]  當一個人有病
[00:02:39.880 --> 00:02:41.880]  就因為他有罪
[00:02:41.880 --> 00:02:44.520]  他犯罪所以他有病
[00:02:44.520 --> 00:02:45.640]  所以耶穌在這裡
[00:02:45.640 --> 00:02:51.360]  基本上不單止醫治他的疾病
[00:02:51.360 --> 00:02:55.000]  也幫助他從整個的心靈裡面
