
[00:00:00.000 --> 00:00:01.640]  好,靜姐妹平安
[00:00:01.640 --> 00:00:07.360]  我們分享今年年提的一件事
[00:00:07.360 --> 00:00:10.200]  有三段主題經文
[00:00:10.200 --> 00:00:11.760]  今次是第三段
[00:00:11.760 --> 00:00:14.160]  就是《費納比書》的三章
[00:00:14.160 --> 00:00:17.200]  這段經文很熟悉
[00:00:17.200 --> 00:00:20.080]  我們先跳去讀一次
[00:00:20.080 --> 00:00:22.600]  但我用了另一個譯本
[00:00:22.600 --> 00:00:25.600]  可能有些字跟平時很熟悉的
[00:00:25.600 --> 00:00:29.000]  「向著標桿直跑」這件事有少許不同
[00:00:29.000 --> 00:00:32.200]  我們一同讀完五字聖經
[00:00:32.200 --> 00:00:33.200]  預備起
[00:00:59.000 --> 00:01:04.760]  「向著基督的數據從天上呼召我們得的獎賞」
[00:01:04.760 --> 00:01:10.800]  「所以我們凡是成熟的人也要有這樣的想法」
[00:01:10.800 --> 00:01:14.840]  「假如你們在甚麼的事上有這樣的想法」
[00:01:14.840 --> 00:01:18.000]  「神也會把這事準視於你們」
[00:01:18.000 --> 00:01:21.560]  「無論如何我們達到甚麼地步」
[00:01:21.560 --> 00:01:25.120]  「就該按著甚麼地步行」
[00:01:25.120 --> 00:01:31.360]  這個經文令我們想起一個運動場的場景
[00:01:31.360 --> 00:01:34.040]  或者去一個比賽
[00:01:34.040 --> 00:01:37.480]  事實上很多弟兄姊妹喜歡跑步
[00:01:37.480 --> 00:01:39.280]  近年參加
[00:01:39.280 --> 00:01:41.720]  但我們聊天也有不同目的
[00:01:41.720 --> 00:01:44.000]  有些很清楚要挑戰自己
[00:01:44.000 --> 00:01:45.200]  鍛鍊自己
[00:01:45.200 --> 00:01:46.920]  要快過上次
[00:01:46.920 --> 00:01:49.680]  或者去不同的世界各地跑
[00:01:49.680 --> 00:01:50.960]  有些人也很好
[00:01:50.960 --> 00:01:56.760]  他因為見別人第一次跑就陪伴他跑
[00:01:56.760 --> 00:01:57.720]  支持他
[00:01:57.720 --> 00:01:59.720]  讓他不會那麼孤單
[00:01:59.720 --> 00:02:01.800]  剛剛見到姐妹笑
[00:02:01.800 --> 00:02:02.600]  他更厲害
[00:02:02.600 --> 00:02:04.920]  原來他是吹樂器的
[00:02:04.920 --> 00:02:07.600]  每個人都有參與不同的方式
[00:02:07.600 --> 00:02:12.600]  有些穿了很特別的裝束
[00:02:12.600 --> 00:02:15.120]  為了突出打卡
[00:02:15.120 --> 00:02:17.240]  最後他跑不完也不要緊
[00:02:17.240 --> 00:02:20.360]  每個人的目的也可能不同
[00:02:20.360 --> 00:02:22.320]  但信仰旅程是一個跑步
[00:02:22.320 --> 00:02:26.160]  我們當然希望向著一個目標達到
[00:02:26.160 --> 00:02:27.160]  甚至經文說
[00:02:27.160 --> 00:02:30.640]  聖經說耶穌定了一個獎賞目標
[00:02:30.640 --> 00:02:34.240]  我們年輕時跑過
[00:02:34.240 --> 00:02:38.840]  在越野賽前十有獎
[00:02:38.840 --> 00:02:40.640]  我有份參加
[00:02:40.640 --> 00:02:41.640]  但拿不到
[00:02:41.640 --> 00:02:43.440]  我其中一位隊友很厲害
[00:02:43.440 --> 00:02:45.520]  他排第四
[00:02:45.520 --> 00:02:48.320]  很開心
[00:02:48.320 --> 00:02:53.200]  但我達到目的地也很開心
[00:02:53.200 --> 00:02:58.840]  所以在信仰旅程的競賽跑的過程
[00:02:58.840 --> 00:03:05.000]  你視為信仰是一個怎樣的情況呢?
