
[00:00:00.000 --> 00:00:01.800]  在人生的路上
[00:00:01.800 --> 00:00:04.800]  我們都要面對大大小小不同的選擇
[00:00:04.800 --> 00:00:07.000]  今日我們領受這個聖叉儀
[00:00:07.000 --> 00:00:08.320]  都是一種選擇
[00:00:08.320 --> 00:00:11.000]  我們可以拿 亦可以不拿
[00:00:11.000 --> 00:00:14.680]  所以其實我們在生與死
[00:00:14.680 --> 00:00:16.280]  整個一生裏面
[00:00:16.280 --> 00:00:17.400]  我們每一天
[00:00:17.400 --> 00:00:20.360]  我們大大小小面對不同的選擇
[00:00:20.360 --> 00:00:22.680]  我們基於甚麼去做選擇呢
[00:00:22.680 --> 00:00:26.720]  其實我們都可以說是經過很多
[00:00:26.720 --> 00:00:29.200]  不同的磨練 學習
[00:00:29.200 --> 00:00:30.680]  用我們不同的價值觀
[00:00:30.680 --> 00:00:32.760]  去作出一些選取
[00:00:32.760 --> 00:00:34.640]  所以我女兒很小的時候
[00:00:34.640 --> 00:00:36.480]  我們就教她
[00:00:36.480 --> 00:00:38.560]  怎樣自己做選擇
[00:00:38.560 --> 00:00:39.600]  所以做功課的時候
[00:00:39.600 --> 00:00:40.600]  她寫字
[00:00:40.600 --> 00:00:45.960]  寫得有些好 有些不太好
[00:00:45.960 --> 00:00:47.440]  她就說指了幾個
[00:00:47.440 --> 00:00:48.760]  這幾個不是太好
[00:00:48.760 --> 00:00:50.600]  那你拆不拆
[00:00:50.600 --> 00:00:52.120]  我們問她你拆不拆
[00:00:52.120 --> 00:00:53.640]  你拆 我就幫你拆
[00:00:53.640 --> 00:00:54.600]  你再寫
[00:00:54.600 --> 00:00:56.760]  不拆 到最後你說不拆
[00:00:56.760 --> 00:00:58.480]  我就寫個名字就交了
[00:00:58.480 --> 00:01:00.640]  不過先生給多少分
[00:01:00.640 --> 00:01:01.640]  就由先生決定
[00:01:01.640 --> 00:01:03.480]  給不到三個印子給你
[00:01:03.480 --> 00:01:05.320]  小朋友很喜歡印子
[00:01:05.320 --> 00:01:06.600]  那你如果拆
[00:01:06.600 --> 00:01:08.920]  你就有機會拿到三個印子
[00:01:08.920 --> 00:01:10.720]  幫她做一個選擇
