
[00:00:00.000 --> 00:00:10.800]  從今天開始,我們要一連六次宣講《聖經》裏面被稱爲"神人"的六個人物
[00:00:10.800 --> 00:00:17.800]  "人人"是舊約裏面很重要的、很崇高的一個稱呼
[00:00:17.800 --> 00:00:24.600]  "神人"這個名詞是代表一個屬神的人、一個侍奉神的人
[00:00:24.600 --> 00:00:30.400]  一個與神有美好關係的人、一個貧格高尚的人
[00:00:30.400 --> 00:00:34.000]  他們大多數是有先知之分的人
[00:00:34.000 --> 00:00:40.600]  但是也有的只有先知的恩賜而沒有先知之分的人
[00:00:40.600 --> 00:00:43.200]  好像大衛一樣
[00:00:43.200 --> 00:00:47.600]  在舊約裏面,有些沒有名字的神人
[00:00:47.600 --> 00:00:51.800]  只提"神人",卻沒有提他們自己的名字
[00:00:51.800 --> 00:00:56.800]  也有些有名字,但是不出名的神人
[00:00:56.800 --> 00:01:03.000]  他們的名字衆人是很少聽見、沒有什麼印象的
[00:01:03.000 --> 00:01:07.800]  但是《聖經》裏面所記下了他們的名字
[00:01:07.800 --> 00:01:12.600]  在舊約裏面,最著名的神人一共有五位
[00:01:12.600 --> 00:01:18.600]  就是摩西、撒末爾、伊利亞、伊麗莎和大衛
[00:01:18.600 --> 00:01:27.000]  在新約裏面,沒有在中文《聖經》的翻譯裏面提到"神人"這樣一個名詞
[00:01:27.000 --> 00:01:33.000]  但是保祿稱帝瑪泰爲尼這屬神的人
[00:01:33.000 --> 00:01:40.200]  這個尼這屬神的人的原文就是尼這神人
[00:01:40.200 --> 00:01:44.800]  屬神的人和神人在原文是一樣的
[00:01:44.800 --> 00:01:50.400]  所以我們也把新約的帝瑪泰當作神人之一
[00:01:50.400 --> 00:01:54.800]  舊約有五位,新約有帝瑪泰一位
[00:01:54.800 --> 00:01:57.800]  加在一起是六位
[00:01:57.800 --> 00:02:05.800]  舊約的神人這個名詞和新約的基督徒這個名詞意義很相近
[00:02:05.800 --> 00:02:11.400]  基督徒這三個字在希臘文裏面是兩個字合成的
[00:02:11.400 --> 00:02:16.800]  就是基督這個字和人這個字合起來的
[00:02:16.800 --> 00:02:21.000]  所以基督徒也就是基督人
