
[00:00:00.000 --> 00:00:02.380]  很多時候我們弟兄姊妹都說
[00:00:02.380 --> 00:00:05.120]  基督徒的祈禱是什麼呢?
[00:00:05.120 --> 00:00:10.000]  祈禱好像我們屬靈生命的呼吸一樣
[00:00:10.000 --> 00:00:11.400]  大家都會很深刻體會
[00:00:11.400 --> 00:00:15.200]  如果你稍微平息靜氣
[00:00:15.200 --> 00:00:16.560]  不呼吸一會
[00:00:16.560 --> 00:00:18.640]  可能你都會忍得住
[00:00:18.640 --> 00:00:20.640]  但如果你常常呼吸
[00:00:20.640 --> 00:00:23.200]  或者你一段長時間不呼吸
[00:00:23.200 --> 00:00:27.800]  你會知道你會窒息甚至死亡
[00:00:27.800 --> 00:00:31.720]  如果祈禱是我們生命的呼吸
[00:00:31.720 --> 00:00:35.360]  屬神的人是不可以不祈禱
[00:00:35.360 --> 00:00:37.160]  或者一兩天你不祈禱
[00:00:37.160 --> 00:00:39.120]  你不覺得有什麼分別
[00:00:39.120 --> 00:00:42.520]  但當你生命不知道去禱告的時候
[00:00:42.520 --> 00:00:45.560]  你會發覺你屬靈的生命會萎縮
[00:00:45.560 --> 00:00:47.840]  甚至會死亡
[00:00:47.840 --> 00:00:51.920]  禱告是神定義讓我們和祂的生命
[00:00:51.920 --> 00:00:56.280]  不斷連繫著的一個最重要的途徑
[00:00:56.280 --> 00:00:57.600]  亦都是神賜給我們
[00:00:57.600 --> 00:01:01.200]  因為人可以向神祈禱
[00:01:01.200 --> 00:01:03.080]  而神因為人的祈禱
[00:01:03.080 --> 00:01:06.520]  而向人施恩而供習
[00:01:06.520 --> 00:01:09.520]  因此我們發覺在我們這條人生裡面
[00:01:09.520 --> 00:01:14.480]  我們需要建立一種禱告的生命習慣
[00:01:14.480 --> 00:01:18.040]  而禱告當中可以領受神的恩
[00:01:18.040 --> 00:01:19.200]  但大家都會體會
[00:01:19.200 --> 00:01:21.440]  在香港我們所身處的環境
[00:01:21.440 --> 00:01:24.600]  其實很多事情都會佔據我們的心思
[00:01:24.600 --> 00:01:26.600]  佔據我們的時間
[00:01:26.600 --> 00:01:28.320]  最近我留意到一個調查
[00:01:28.320 --> 00:01:30.320]  說到香港的青少年人
[00:01:30.320 --> 00:01:34.240]  他們放在網絡遊戲上的時間
[00:01:34.240 --> 00:01:36.160]  不知道大家有沒有留意到
[00:01:36.160 --> 00:01:40.000]  這個報告說到有40%的青少年
[00:01:40.000 --> 00:01:43.000]  每一天最少用幾場時間
[00:01:43.000 --> 00:01:46.400]  在網絡遊戲上
