
[00:00:00.000 --> 00:00:02.000]  現在我們轉一轉mood
[00:00:02.000 --> 00:00:04.000]  由地下看上去
[00:00:04.000 --> 00:00:09.000]  基督徒的未來學
[00:00:09.000 --> 00:00:12.000]  和普通的未來學有一個不同的地方
[00:00:12.000 --> 00:00:14.000]  因為我們還有另外一個方向
[00:00:14.000 --> 00:00:19.000]  就是一個來世的世界是怎樣
[00:00:19.000 --> 00:00:22.000]  所以我選了一個很特別的題目
[00:00:22.000 --> 00:00:25.000]  就是我們將來在天堂的生活是怎樣的
[00:00:25.000 --> 00:00:28.000]  當然關於將來所發生的事
[00:00:28.000 --> 00:00:31.000]  有很多不定性
[00:00:31.000 --> 00:00:34.000]  但聖經給我們有很多的資料
[00:00:34.000 --> 00:00:37.000]  我以前以為這個題目是不能講的
[00:00:37.000 --> 00:00:39.000]  後來我看了看,越看越多
[00:00:39.000 --> 00:00:41.000]  有的,有些東西可以講
[00:00:41.000 --> 00:00:43.000]  於是我知道那麼多,就講那麼多
[00:00:43.000 --> 00:00:45.000]  還有很多我未必知道的
[00:00:45.000 --> 00:00:47.000]  或者很多我知道,但我又沒有講到
[00:00:47.000 --> 00:00:49.000]  請你想知道的,你就寫下來
[00:00:49.000 --> 00:00:51.000]  就問,看我多少可以回答得到
[00:00:51.000 --> 00:00:53.000]  有些回答不到的
[00:00:53.000 --> 00:00:56.000]  我不想斷股
[00:00:56.000 --> 00:01:01.000]  但是憑著聖經給我們的資料
[00:01:01.000 --> 00:01:04.000]  加上合理的推論
[00:01:04.000 --> 00:01:07.000]  是可以得到一些結果的
[00:01:07.000 --> 00:01:09.000]  首先我們先看看
[00:01:09.000 --> 00:01:14.000]  交代一下將來大概發生甚麼事的次序
[00:01:14.000 --> 00:01:17.000]  因為這個很多基督徒都會知道的
[00:01:17.000 --> 00:01:19.000]  所以我講得很快
[00:01:19.000 --> 00:01:23.000]  大家知道在聖經裏面所預言將來所發生的事
[00:01:23.000 --> 00:01:27.000]  有不同的派系去解釋的
[00:01:27.000 --> 00:01:30.000]  我自己的解釋
[00:01:30.000 --> 00:01:32.000]  我就不詳細花太多時間在這裏
[00:01:32.000 --> 00:01:35.000]  和大家慢慢爭論,哪一點哪一點
[00:01:35.000 --> 00:01:36.000]  如果你們真的有不同意見
[00:01:36.000 --> 00:01:39.000]  可以寫在紙上,待會我們再討論
[00:01:39.000 --> 00:01:42.000]  我自己個人相信的,我接受的
[00:01:42.000 --> 00:01:44.000]  不一定是你要接受的
[00:01:44.000 --> 00:01:45.000]  我自己個人相信的
[00:01:45.000 --> 00:01:48.000]  是屬於所謂千禧年的前派
[00:01:48.000 --> 00:01:50.000]  和大災難中被提的
[00:01:50.000 --> 00:01:53.000]  這麼簡單,你不明白這兩個字就算了
[00:01:53.000 --> 00:01:55.000]  我遲些再解釋給你聽
[00:01:55.000 --> 00:01:59.000]  大概發展我相信的情況就是這樣
[00:01:59.000 --> 00:02:02.000]  在圖上可以看見的
[00:02:02.000 --> 00:02:05.000]  現在我們所謂的教會的時代
[00:02:05.000 --> 00:02:07.000]  教會的時代就是耶穌基督
[00:02:07.000 --> 00:02:09.000]  升天之後
[00:02:09.000 --> 00:02:11.000]  五旬節開始
[00:02:11.000 --> 00:02:13.000]  他的教會一直到現在
[00:02:13.000 --> 00:02:17.000]  我們相信將來的發展可能是這樣
[00:02:17.000 --> 00:02:20.000]  就是教會發展到某一個時間
[00:02:20.000 --> 00:02:23.000]  地上會有大災難
[00:02:23.000 --> 00:02:26.000]  現在是否已經是大災難的開始呢?
[00:02:26.000 --> 00:02:28.000]  這個就留待另外一些講
[00:02:28.000 --> 00:02:29.000]  慢慢和大家討論
[00:02:29.000 --> 00:02:31.000]  就不是我今天的課題了
[00:02:31.000 --> 00:02:34.000]  然後在大災難的中間的時候
[00:02:34.000 --> 00:02:36.000]  過了一半
[00:02:36.000 --> 00:02:43.000]  就會有耶穌基督的第一次再來
[00:02:43.000 --> 00:02:46.000]  所以我們所謂的大災難中被提的
[00:02:46.000 --> 00:02:48.000]  耶穌基督再來
[00:02:48.000 --> 00:02:51.000]  同時我們已經死去的信徒
[00:02:51.000 --> 00:02:53.000]  就在那個時間復活
[00:02:53.000 --> 00:02:55.000]  我們還沒死的
[00:02:55.000 --> 00:02:57.000]  就突然間不見了
[00:02:57.000 --> 00:02:58.000]  升上去
[00:02:58.000 --> 00:03:00.000]  兩個一起在田裡工作
[00:03:00.000 --> 00:03:01.000]  不見了一個
[00:03:01.000 --> 00:03:04.000]  這個是所謂耶穌基督第一次
[00:03:04.000 --> 00:03:06.000]  第一次的來
[00:03:06.000 --> 00:03:09.000]  第一次來我們第一次復活
[00:03:09.000 --> 00:03:13.000]  然後就繼續地上有大災難
[00:03:13.000 --> 00:03:17.000]  以色列國會有很多的變化
[00:03:17.000 --> 00:03:20.000]  大災難的完結的時候
[00:03:20.000 --> 00:03:26.000]  可以說是有千禧年的開始
[00:03:26.000 --> 00:03:28.000]  千禧年的開始之前
[00:03:28.000 --> 00:03:31.000]  這個戰役我們不詳細研究
[00:03:31.000 --> 00:03:33.000]  有些人認為千禧年開始之前
[00:03:33.000 --> 00:03:35.000]  是哈米吉多頓的大戰
[00:03:35.000 --> 00:03:36.000]  有些人認為是千禧年之後
[00:03:36.000 --> 00:03:38.000]  才是哈米吉多頓的大戰
[00:03:38.000 --> 00:03:39.000]  這個不重要
[00:03:39.000 --> 00:03:41.000]  有些人認為沒有千禧年
[00:03:41.000 --> 00:03:43.000]  我們相信有千禧年
[00:03:43.000 --> 00:03:45.000]  待會我們再從聖經慢慢看
[00:03:45.000 --> 00:03:48.000]  千禧年有一千年的時間
[00:03:48.000 --> 00:03:51.000]  就是撒旦被暫時捆綁
[00:03:51.000 --> 00:03:54.000]  基督在地上作王
[00:03:54.000 --> 00:03:56.000]  信徒和以色列人
[00:03:56.000 --> 00:03:57.000]  在這個時間裡面
[00:03:57.000 --> 00:03:59.000]  一個真正的考驗
[00:03:59.000 --> 00:04:01.000]  就是說完全沒有撒旦的干預下
[00:04:01.000 --> 00:04:03.000]  究竟人的意義
[00:04:03.000 --> 00:04:04.000]  在基督的掌管下
[00:04:04.000 --> 00:04:06.000]  可以到一個什麼地步
[00:04:06.000 --> 00:04:07.000]  然後千禧年之後
[00:04:07.000 --> 00:04:10.000]  暫時撒旦有再被釋放
[00:04:10.000 --> 00:04:12.000]  撒旦被釋放的時候
[00:04:12.000 --> 00:04:15.000]  又再來一個戰爭
[00:04:15.000 --> 00:04:17.000]  大戰爭裡面
[00:04:17.000 --> 00:04:20.000]  所謂高格和馬高格的戰爭
[00:04:20.000 --> 00:04:23.000]  或者是高格和馬國
[00:04:23.000 --> 00:04:25.000]  主要是根據體史錄
[00:04:25.000 --> 00:04:30.000]  以西傑斯38和39章所說到的字
[00:04:30.000 --> 00:04:34.000]  當時撒旦永遠被囚困
[00:04:34.000 --> 00:04:38.000]  然後開始白色大補助的審判
[00:04:38.000 --> 00:04:41.000]  那次就是一切人都復活了
[00:04:41.000 --> 00:04:42.000]  是未信的
[00:04:42.000 --> 00:04:44.000]  已死的都復活
[00:04:44.000 --> 00:04:46.000]  於是有一個大審判
[00:04:46.000 --> 00:04:49.000]  那裡之後就是新天新地
[00:04:49.000 --> 00:04:53.000]  這個次序基本上是來自啟示錄
[00:04:53.000 --> 00:04:55.000]  大家未必有聖經
[00:04:55.000 --> 00:04:59.000]  我就給大家看看這段聖經
