
[00:00:00.000 --> 00:00:07.640]  當我們思想去明白敬畏耶和華
[00:00:07.640 --> 00:00:09.840]  亦是今天我們的主題
[00:00:09.840 --> 00:00:12.400]  我們會留意到
[00:00:12.400 --> 00:00:16.280]  聖經多次重覆提及敬畏神
[00:00:16.280 --> 00:00:21.200]  敬畏神是聖經裏面很重要的主題
[00:00:21.200 --> 00:00:23.400]  當我們提到敬畏神的時候
[00:00:23.400 --> 00:00:25.680]  你會立時想起一些經文說到
[00:00:25.920 --> 00:00:33.000]  敬畏神遠離惡事 敬畏神得以成性
[00:00:33.000 --> 00:00:37.920]  敬畏神的人一樣好處都不缺
[00:00:37.920 --> 00:00:40.400]  更加執言所說
[00:00:40.400 --> 00:00:44.520]  敬畏神是智慧的海端
[00:00:44.520 --> 00:00:47.920]  聖經裏提到敬畏神的人
[00:00:47.920 --> 00:00:52.000]  他真的能夠領受神給我們的力量
[00:00:52.000 --> 00:00:55.520]  遠離邪惡 行在成性的路上
[00:00:55.920 --> 00:00:59.520]  亦可以真實地領受智慧聰明
[00:00:59.520 --> 00:01:04.000]  能夠在世上走一條蒙福的路
[00:01:04.000 --> 00:01:06.600]  聖經很多時候提到敬畏神
[00:01:06.600 --> 00:01:08.840]  因此你和我人生的路上
[00:01:08.840 --> 00:01:10.720]  有一個很重要的追求
[00:01:10.720 --> 00:01:12.920]  就是敬畏神
[00:01:12.920 --> 00:01:15.960]  當聖經提到敬畏神的時候
[00:01:15.960 --> 00:01:19.440]  他告訴我們如何能夠明白敬畏神
[00:01:19.440 --> 00:01:22.360]  如何真正可以敬畏神
[00:01:22.720 --> 00:01:24.720]  就是今天的《針研》第二章裏面
[00:01:24.720 --> 00:01:27.720]  很清楚講述一個重要的方向
[00:01:27.720 --> 00:01:31.200]  我們如何能夠明白敬畏神呢?
[00:01:31.200 --> 00:01:33.120]  在第二章第一節
[00:01:33.120 --> 00:01:35.760]  剛才大家讀過新譯本
[00:01:35.760 --> 00:01:39.000]  我今天嘗試從和合本來看
[00:01:39.000 --> 00:01:42.360]  嘗試兩邊思想這段經文
[00:01:42.360 --> 00:01:45.480]  在和合本第二章第一節這樣說
[00:01:45.480 --> 00:01:48.280]  「我然若領受我的言語
[00:01:48.280 --> 00:01:49.920]  傳記我的命令
[00:01:50.520 --> 00:01:54.320]  則以聽智慧專心求聰明」
[00:01:54.320 --> 00:01:56.000]  聖經一直提到
[00:01:56.000 --> 00:02:00.200]  我們去面對神給我們的真道的時候
[00:02:00.200 --> 00:02:02.640]  聖經說你們要領受
[00:02:02.640 --> 00:02:06.080]  你們要領受我的言語
[00:02:06.080 --> 00:02:07.760]  領受
[00:02:07.760 --> 00:02:09.760]  不單止是領受
[00:02:09.760 --> 00:02:12.840]  更加是傳記在我的心裏
[00:02:12.840 --> 00:02:15.080]  不單止隨便聽聽
[00:02:15.080 --> 00:02:18.200]  而是真的願意將神的話
[00:02:18.560 --> 00:02:22.040]  傳記、傳放在自己的心裏
[00:02:22.040 --> 00:02:25.280]  大家記得在新約的《雅各書》
[00:02:25.280 --> 00:02:28.440]  用泥土比喻人的心田
[00:02:28.440 --> 00:02:31.240]  就說到我們要用溫柔的心
[00:02:31.240 --> 00:02:34.360]  領受神所栽種的善道
[00:02:34.360 --> 00:02:38.280]  這個內心裏面帶著一種溫柔的態度
[00:02:38.280 --> 00:02:39.560]  好像一些泥土
[00:02:39.560 --> 00:02:41.480]  如果經過囂冠
[00:02:41.480 --> 00:02:43.400]  是很濕潤的泥土
[00:02:43.400 --> 00:02:45.960]  有種子放進去的時候
[00:02:46.080 --> 00:02:48.840]  種子可以在裏面發芽生長
[00:02:48.840 --> 00:02:51.560]  但如果泥土是乾硬的
[00:02:51.560 --> 00:02:53.920]  種子不能進入泥土
[00:02:53.920 --> 00:02:55.720]  甚至很快就彈走了
[00:02:55.720 --> 00:02:59.760]  但聖經說用溫柔的心去領受
[00:02:59.760 --> 00:03:02.520]  有些意味當你要去聽神的話
[00:03:02.520 --> 00:03:04.160]  讀神的話的時候
[00:03:04.160 --> 00:03:06.040]  你不單止是聽聽
[00:03:06.040 --> 00:03:08.560]  很快就不理會
[00:03:08.560 --> 00:03:13.600]  而是心裏會去明白、去理解
[00:03:14.640 --> 00:03:16.120]  亦都去默想
[00:03:16.120 --> 00:03:19.000]  在過程當中
[00:03:19.000 --> 00:03:22.280]  你會領受進入你的心裏面
[00:03:22.280 --> 00:03:26.160]  然後你將神的話傳寄在內心
[00:03:26.160 --> 00:03:29.640]  或者你未必能夠逐字逐句記憶到
[00:03:29.640 --> 00:03:31.960]  但你將神的話的內容
[00:03:31.960 --> 00:03:34.280]  存放在內心裏面
[00:03:34.280 --> 00:03:36.880]  這個正是聖經所說到的情況
[00:03:36.880 --> 00:03:39.280]  將神的話存放在內心
[00:03:39.280 --> 00:03:41.600]  不一定說即時就能夠應用
[00:03:41.600 --> 00:03:43.680]  但神的話在你裏面
[00:03:43.680 --> 00:03:47.520]  一定在影響你自己生活很多不同的抉擇
[00:03:47.520 --> 00:03:49.760]  影響你生活的態度
[00:03:49.760 --> 00:03:52.040]  知道哪些要、哪些不要
[00:03:52.040 --> 00:03:53.960]  哪些重要、哪些次要
[00:03:53.960 --> 00:03:55.920]  因為聖經說到
[00:03:55.920 --> 00:03:58.160]  你們要傳寄我的說話
[00:03:58.160 --> 00:04:00.320]  然後你看到聖經說
