
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 各位朋友 主內平安
[00:00:05.000 --> 00:00:10.000]  主所賜的平安不是世人所賜的
[00:00:10.000 --> 00:00:15.000]  因為祂是二萬內來與我們同在的真神
[00:00:15.000 --> 00:00:17.000]  崇拜開始的時候
[00:00:17.000 --> 00:00:19.000]  主席說我們展現了
[00:00:19.000 --> 00:00:23.000]  在章南旗花環上的第二支蠟燭
[00:00:23.000 --> 00:00:26.000]  我們知道章南旗所點的每一支蠟燭
[00:00:26.000 --> 00:00:29.000]  都有它特別的意義
[00:00:29.000 --> 00:00:32.000]  而第二支蠟燭所代表的是悔改
[00:00:32.000 --> 00:00:37.000]  也同時代表的是等候
[00:00:37.000 --> 00:00:41.000]  等候是要操練我們做信徒的
[00:00:41.000 --> 00:00:45.000]  忍耐等候基督的再臨
[00:00:45.000 --> 00:00:48.000]  在這個仍然充滿著罪惡
[00:00:48.000 --> 00:00:52.000]  和困苦的黑暗世界裏面
[00:00:52.000 --> 00:00:56.000]  祂依靠著幫助我們去堅忍下去
[00:00:56.000 --> 00:01:00.000]  靜待主的再臨
[00:01:00.000 --> 00:01:05.000]  等候的確是不容易的
[00:01:05.000 --> 00:01:07.000]  在上星期六
[00:01:07.000 --> 00:01:10.000]  我們有個童工帶了他的兒子
[00:01:10.000 --> 00:01:14.000]  參加完聚會之後回來辦公室
[00:01:14.000 --> 00:01:16.000]  這個童工做媽媽
[00:01:16.000 --> 00:01:18.000]  只是去一轉洗手間
[00:01:18.000 --> 00:01:21.000]  短短幾分鐘的時間
[00:01:21.000 --> 00:01:23.000]  回來的時候
[00:01:23.000 --> 00:01:26.000]  他小朋友就扁著嘴
[00:01:26.000 --> 00:01:29.000]  幾乎要哭出來跟媽媽說
[00:01:29.000 --> 00:01:32.000]  「媽咪,為什麼你去了這麼久?」
[00:01:32.000 --> 00:01:37.000]  「我等了你很久很久很久了!」
[00:01:37.000 --> 00:01:39.000]  我剛好經過的時候
[00:01:39.000 --> 00:01:42.000]  當時我聽到就心淋血淋
[00:01:42.000 --> 00:01:44.000]  用不著這麼誇張吧
[00:01:44.000 --> 00:01:47.000]  只是幾分鐘的時間
[00:01:47.000 --> 00:01:49.000]  不過後來聖靈提醒我
[00:01:49.000 --> 00:01:52.000]  對一個四歲多的小朋友來說
[00:01:52.000 --> 00:01:54.000]  媽媽的幾分鐘
[00:01:54.000 --> 00:01:55.000]  對他來說
[00:01:55.000 --> 00:01:58.000]  其實真的可能是幾個小時
[00:01:58.000 --> 00:02:01.000]  甚至更長的時間
[00:02:01.000 --> 00:02:04.000]  等候對小朋友不容易
[00:02:04.000 --> 00:02:07.000]  對大人不容易
[00:02:07.000 --> 00:02:11.000]  對我們作信徒的同樣不容易
[00:02:11.000 --> 00:02:13.000]  因為我們明白
[00:02:13.000 --> 00:02:18.000]  人的時間是非同上帝的時間
