
[00:00:00.000 --> 00:00:02.000]  我們今天再一起思想回
[00:00:02.000 --> 00:00:04.000]  福音書裡面 馬太福音裡面
[00:00:04.000 --> 00:00:07.000]  有關主耶穌降生的時候的事情
[00:00:07.000 --> 00:00:10.000]  大家再翻到馬太福音第二章
[00:00:10.000 --> 00:00:17.000]  我自己在這次讀回這段經文的時候
[00:00:17.000 --> 00:00:21.000]  一直讀的時候就想起一件事情
[00:00:21.000 --> 00:00:24.000]  一件事其實大家可能有些頂智會知道
[00:00:24.000 --> 00:00:28.000]  很多年之前我們藤近輝牧師的事情
[00:00:29.000 --> 00:00:31.000]  他曾經說了一件事
[00:00:31.000 --> 00:00:36.000]  他說他相信人生裡面有一種神主權的恩典
[00:00:36.000 --> 00:00:38.000]  掌管著他的人生
[00:00:38.000 --> 00:00:40.000]  Sovereign Grace
[00:00:40.000 --> 00:00:42.000]  是他口中上上提及的
[00:00:42.000 --> 00:00:48.000]  他提到有一次他自己在身體上有一些病患
[00:00:48.000 --> 00:00:51.000]  當時他還是很年輕的時候
[00:00:51.000 --> 00:00:55.000]  他說他身體有一個肺病
[00:00:55.000 --> 00:00:56.000]  一直困擾著他
[00:00:56.000 --> 00:00:59.000]  看醫生一直都未能夠醫治好
[00:00:59.000 --> 00:01:02.000]  有時候會走一些短的路程已經喘氣
[00:01:02.000 --> 00:01:04.000]  身體很弱
[00:01:04.000 --> 00:01:06.000]  在那段時間之後
[00:01:06.000 --> 00:01:10.000]  後來發覺有一個問題就是胃病
[00:01:10.000 --> 00:01:12.000]  不知道為什麼會胃痛
[00:01:12.000 --> 00:01:16.000]  看醫生 醫生說我們胃有問題就給他胃藥吃
[00:01:16.000 --> 00:01:19.000]  但是吃了很久都發覺還是很痛
[00:01:19.000 --> 00:01:23.000]  有一晚劇痛 入急症室
[00:01:23.000 --> 00:01:25.000]  醫生幫他檢查
[00:01:25.000 --> 00:01:27.000]  就說你不是胃病
[00:01:27.000 --> 00:01:31.000]  你十二指腸穿破了
[00:01:31.000 --> 00:01:34.000]  馬上要做一個緊急手術
[00:01:34.000 --> 00:01:37.000]  開手術的時候發覺已經穿破了
[00:01:37.000 --> 00:01:39.000]  有細菌感染了他的腹腔
[00:01:39.000 --> 00:01:42.000]  其實都有生命危險
[00:01:42.000 --> 00:01:44.000]  但是醫生幫他做手術之後
[00:01:44.000 --> 00:01:47.000]  就說好在都不是太遲
[00:01:47.000 --> 00:01:49.000]  就幫他做完這個手術
[00:01:49.000 --> 00:01:53.000]  但是之後他在醫院裡面調理了三個月的時間
[00:01:53.000 --> 00:01:58.000]  有人就說為什麼那個醫生這樣搞錯
[00:01:58.000 --> 00:02:02.000]  如果早一點治療就不至於像現在這樣
[00:02:02.000 --> 00:02:05.000]  但譚牧師的心裡面有一種信心
[00:02:05.000 --> 00:02:08.000]  知道一切都在神的掌管裡面
[00:02:08.000 --> 00:02:10.000]  因此他就安心養病
[00:02:10.000 --> 00:02:13.000]  後來他康復出院的時候
[00:02:13.000 --> 00:02:15.000]  他突然發現一件事情
[00:02:15.000 --> 00:02:18.000]  胃腹沒有問題
[00:02:18.000 --> 00:02:20.000]  而且也沒有了肺病
[00:02:20.000 --> 00:02:23.000]  他發現自己突然不約而遇
[00:02:23.000 --> 00:02:26.000]  他的肺沒有問題
