
[00:00:00.000 --> 00:00:02.880]  今天我們繼續的領受
[00:00:02.880 --> 00:00:06.400]  聖經裏面關於侍奉的信息
[00:00:06.400 --> 00:00:08.760]  來幫助我們侍奉的更好
[00:00:08.760 --> 00:00:11.240]  更合乎主的心意
[00:00:11.240 --> 00:00:15.840]  我們想到當日主耶穌到世上來的時候
[00:00:15.840 --> 00:00:19.320]  祂呼召人來跟從祂
[00:00:19.320 --> 00:00:22.520]  做祂的門徒來侍奉祂
[00:00:22.520 --> 00:00:26.760]  主耶穌發出來的呼召有七方面
[00:00:26.760 --> 00:00:30.560]  所以今天我要和大家來看七方面
[00:00:30.560 --> 00:00:32.840]  主耶穌對門徒的呼召
[00:00:32.840 --> 00:00:36.640]  我們就看出來主耶穌呼召他們做什麼
[00:00:36.640 --> 00:00:38.400]  這是很重要的
[00:00:38.400 --> 00:00:40.040]  我們侍奉主的人
[00:00:40.040 --> 00:00:44.840]  就是被主呼召來跟從祂 服侍祂的人
[00:00:44.840 --> 00:00:46.840]  我們願意清楚地曉得
[00:00:46.840 --> 00:00:49.960]  主對我們呼召的內容是什麼
[00:00:49.960 --> 00:00:53.240]  我們要一一地 留心地來看
[00:00:53.240 --> 00:00:55.240]  求真理的聖靈
[00:00:55.240 --> 00:00:57.360]  帶領我們進入真理
[00:00:57.360 --> 00:00:59.240]  使我們清楚
[00:00:59.240 --> 00:01:03.440]  也是我們學習去實行
[00:01:03.440 --> 00:01:05.360]  主的第一個呼召
[00:01:05.360 --> 00:01:09.400]  是在《馬太福音》九章十三節
[00:01:09.400 --> 00:01:12.680]  《馬太福音》九章十三節
[00:01:12.680 --> 00:01:16.520]  下半節我讀給大家聽
[00:01:16.520 --> 00:01:20.680]  主說:我來本不是召義人
[00:01:20.680 --> 00:01:22.880]  乃是召罪人
[00:01:22.880 --> 00:01:27.040]  這裏有召這一個字 就是呼召
[00:01:27.040 --> 00:01:31.520]  主這個呼召是召罪人
[00:01:31.520 --> 00:01:33.720]  不是召義人
[00:01:33.720 --> 00:01:35.920]  爲什麼主不召義人呢?
[00:01:35.920 --> 00:01:38.680]  有人因此覺得很難了解
[00:01:38.680 --> 00:01:41.280]  爲什麼他不要好人
[00:01:41.280 --> 00:01:43.280]  這裏說的義人
[00:01:43.280 --> 00:01:47.320]  不是這個人自己的真實的情況
[00:01:47.320 --> 00:01:50.880]  乃是他以爲自己的情況
[00:01:50.880 --> 00:01:52.880]  實際上沒有義人
[00:01:52.880 --> 00:01:55.240]  因爲聖經說得很清楚
[00:01:55.240 --> 00:01:58.040]  實際上沒有義人 連一個也沒有
[00:01:58.040 --> 00:02:01.840]  個個都虧欠了神的榮耀
[00:02:01.840 --> 00:02:03.480]  都犯了罪
[00:02:03.480 --> 00:02:05.040]  所以這裏說的義人
[00:02:05.040 --> 00:02:07.840]  乃是自以爲義的人
[00:02:07.840 --> 00:02:10.200]  很多的人雖然有罪
[00:02:10.200 --> 00:02:11.880]  他們卻自以爲義
[00:02:11.880 --> 00:02:15.040]  所以他們不肯接受主的呼召
[00:02:15.040 --> 00:02:18.360]  他們說:讓那些壞人信耶穌吧
[00:02:18.360 --> 00:02:21.160]  我這個好人不需要信耶穌
[00:02:21.160 --> 00:02:24.800]  這是一個非常普通的錯誤
[00:02:24.800 --> 00:02:28.600]  一個非常致命的錯誤
[00:02:28.600 --> 00:02:30.640]  有了這個錯誤觀念的人
[00:02:30.640 --> 00:02:32.920]  就不可能歸向主
[00:02:32.920 --> 00:02:34.720]  接受祂的救恩
[00:02:34.720 --> 00:02:37.320]  更加不能做祂的門徒了
[00:02:37.320 --> 00:02:40.840]  所以主耶穌在這裏清楚地說
[00:02:40.840 --> 00:02:43.800]  祂到世上來用祂無限的愛
