
[00:00:00.000 --> 00:00:03.560]  時間過得很快
[00:00:03.560 --> 00:00:10.440]  今天是1981年最後一個主日
[00:00:10.440 --> 00:00:13.080]  再過四天
[00:00:13.080 --> 00:00:20.520]  1981年就永遠過去
[00:00:20.520 --> 00:00:24.280]  我們剛剛過了聖誕節
[00:00:24.280 --> 00:00:26.040]  很熱鬧
[00:00:26.040 --> 00:00:28.560]  大家很興奮
[00:00:28.560 --> 00:00:31.280]  但是一下子就來到年終
[00:00:31.280 --> 00:00:37.760]  是一個很嚴肅的時候
[00:00:37.760 --> 00:00:41.240]  人生就是這樣
[00:00:41.240 --> 00:00:47.240]  常常從很熱鬧的時候
[00:00:47.240 --> 00:00:56.960]  一下子就投入在一個完全不同的情況之中
[00:00:56.960 --> 00:01:00.920]  人生的各樣的遭遇
[00:01:00.920 --> 00:01:05.560]  都是提醒我們
[00:01:05.560 --> 00:01:11.320]  讓我們多想到主、想到神
[00:01:11.320 --> 00:01:15.360]  今天我們在年終的時候
[00:01:15.360 --> 00:01:20.800]  一同思想我們的金句
[00:01:20.800 --> 00:01:25.720]  這個金句是摩西的禱告
[00:01:25.720 --> 00:01:30.000]  他求神指教他
[00:01:30.000 --> 00:01:35.040]  怎樣數算自己的日子
[00:01:35.040 --> 00:01:39.880]  為了要得到智慧的心
[00:01:39.880 --> 00:01:44.600]  數算能夠產生智慧
[00:01:44.600 --> 00:01:48.200]  如果數算得正確
[00:01:48.200 --> 00:01:55.360]  就使我們對人生有智慧的認識
[00:01:55.360 --> 00:01:59.440]  數算是很重要的
[00:01:59.440 --> 00:02:04.640]  今天是一個統計的時代
[00:02:04.640 --> 00:02:08.040]  如果我們對香港社會的情形
[00:02:08.040 --> 00:02:13.560]  有統計的數字
[00:02:13.560 --> 00:02:17.360]  而這些數字很正確
[00:02:17.360 --> 00:02:20.280]  那麼我們對香港社會的情形
[00:02:20.280 --> 00:02:22.040]  就有正確的了解
[00:02:22.040 --> 00:02:30.520]  照樣如果我們會數算我們人生的日子
[00:02:30.520 --> 00:02:33.360]  我們也會對自己的人生的意義
[00:02:33.360 --> 00:02:38.000]  有正確的了解
[00:02:38.000 --> 00:02:43.200]  在我們數算的時候
[00:02:43.200 --> 00:02:46.280]  有四點我們要看清楚
[00:02:46.280 --> 00:02:55.880]  這四點可以幫助我們正確的數算自己的日子
[00:02:55.880 --> 00:03:01.480]  第一點
[00:03:01.480 --> 00:03:07.960]  請看舊約的四篇
[00:03:07.960 --> 00:03:11.520]  第79篇
[00:03:11.520 --> 00:03:14.400]  第39節
[00:03:14.400 --> 00:03:18.720]  在這節裏面提到一句話
[00:03:18.720 --> 00:03:27.640]  說人生好像一陣去而不返的風
[00:03:27.640 --> 00:03:33.760]  請注意去而不返這四個字
[00:03:33.760 --> 00:03:37.960]  過去就不會回來
[00:03:37.960 --> 00:03:41.320]  人生就是這樣
[00:03:41.320 --> 00:03:45.160]  人生只有一次
[00:03:45.160 --> 00:03:50.360]  沒有人能夠重渡人生
[00:03:50.360 --> 00:03:54.840]  這是一個很嚴肅的事實
[00:03:54.840 --> 00:03:59.840]  所以我們只有一次的機會
[00:03:59.840 --> 00:04:05.960]  我們必須珍貴這個機會
[00:04:05.960 --> 00:04:09.040]  一個人說錯了話
[00:04:09.040 --> 00:04:11.400]  可以改正
[00:04:11.400 --> 00:04:15.200]  做文章寫錯了字
[00:04:15.200 --> 00:04:18.600]  可以把錯字拆掉
[00:04:18.600 --> 00:04:20.520]  重寫過
[00:04:20.520 --> 00:04:27.640]  但是人生不能重渡
[00:04:27.640 --> 00:04:33.440]  這一點我們願意記在心裏
[00:04:33.440 --> 00:04:35.760]  第二個要點
[00:04:35.760 --> 00:04:38.800]  我們看新約馬太福音
[00:04:38.800 --> 00:04:41.040]  第六章
[00:04:41.040 --> 00:04:43.280]  二十七節
[00:04:43.280 --> 00:04:45.440]  在這一節裏面
[00:04:45.440 --> 00:04:48.880]  主耶穌親自告訴我們
[00:04:48.880 --> 00:04:52.040]  沒有任何一個人
[00:04:52.040 --> 00:04:55.680]  能夠用任何的方法
[00:04:55.680 --> 00:05:00.240]  改變自己的壽數
[00:05:00.240 --> 00:05:03.280]  這句話的意思就是說
[00:05:03.280 --> 00:05:07.360]  時間是無情的
[00:05:07.360 --> 00:05:09.680]  到了時候
[00:05:09.680 --> 00:05:12.880]  人生就要結束
[00:05:12.880 --> 00:05:16.800]  這個事實沒有人能改變
[00:05:16.800 --> 00:05:21.200]  這是鐵定的事實
[00:05:21.200 --> 00:05:25.680]  我們面對無情的時光
[00:05:25.680 --> 00:05:28.880]  必須要去改變
[00:05:28.880 --> 00:05:32.960]  我們面對無情的時光
[00:05:32.960 --> 00:05:42.160]  必須有所選擇和決斷
[00:05:42.160 --> 00:05:47.120]  第三個要點
[00:05:47.120 --> 00:05:51.880]  我們看哥倫多後書
[00:05:51.880 --> 00:05:57.120]  第五章五節
[00:05:57.120 --> 00:05:59.480]  臨後五章五節
[00:05:59.480 --> 00:06:02.360]  為此培植我們的就是神
[00:06:02.360 --> 00:06:05.360]  他又賜給我們聖靈作憑據
[00:06:05.360 --> 00:06:10.120]  這裡提到神培植我們
[00:06:10.120 --> 00:06:14.800]  培植是一個準備的功夫
[00:06:14.800 --> 00:06:18.040]  神準備我們
[00:06:18.040 --> 00:06:21.440]  為了甚麼準備我們呢
[00:06:21.440 --> 00:06:24.320]  上文告訴我們
[00:06:24.320 --> 00:06:30.320]  我們的身體好像帳篷一樣
[00:06:30.320 --> 00:06:33.320]  有一天要拆毀
[00:06:33.320 --> 00:06:35.720]  是暫時的
[00:06:35.720 --> 00:06:39.080]  我們在天上的家
[00:06:39.080 --> 00:06:43.280]  是永恆的房屋
[00:06:43.280 --> 00:06:47.120]  有一天我們要到那裡去
[00:06:47.120 --> 00:06:50.400]  為了要到那裡去
[00:06:50.400 --> 00:06:55.120]  進入永恆的生命裡
[00:06:55.120 --> 00:06:59.400]  為了這件重大的事
[00:06:59.400 --> 00:07:03.280]  神預備我們
[00:07:03.280 --> 00:07:05.680]  培植我們
[00:07:05.680 --> 00:07:14.200]  讓我們那一天能夠適合永恆的生命
[00:07:14.200 --> 00:07:18.720]  這件事很需要預備
[00:07:18.720 --> 00:07:26.080]  我們的今生就是預備的階段
[00:07:26.080 --> 00:07:28.800]  我們來生如何
[00:07:28.800 --> 00:07:33.440]  就看我們今生如何
[00:07:33.440 --> 00:07:37.920]  今生決定來生
[00:07:37.920 --> 00:07:44.960]  所以我們今生的靈性關係很大
[00:07:44.960 --> 00:07:47.840]  有不少的基督徒
[00:07:47.840 --> 00:07:52.960]  沒有了解這個真理
[00:07:52.960 --> 00:07:58.120]  所以對屬靈的事沒有追求
[00:07:58.120 --> 00:08:00.640]  所有的時間
[00:08:00.640 --> 00:08:02.360]  興趣
[00:08:02.360 --> 00:08:03.760]  力量
[00:08:03.760 --> 00:08:05.320]  心血
[00:08:05.320 --> 00:08:12.080]  都應用在對物質的追求上
[00:08:12.080 --> 00:08:14.480]  忽略了靈性
[00:08:14.480 --> 00:08:18.080]  那是很大的虧損
[00:08:18.080 --> 00:08:21.320]  是很大的錯誤
[00:08:21.320 --> 00:08:24.800]  主在臉中的時候
[00:08:24.800 --> 00:08:29.280]  再一次提醒我們
[00:08:29.280 --> 00:08:31.760]  第四個要點
[00:08:31.760 --> 00:08:37.120]  就是永生的事實
[00:08:37.120 --> 00:08:40.320]  今生是暫時的
[00:08:40.320 --> 00:08:43.320]  今生之後
[00:08:43.320 --> 00:08:47.320]  有永遠的來生
[00:08:47.320 --> 00:08:53.080]  如果一個人還沒有永生的盼望
[00:08:53.080 --> 00:08:58.360]  他有一個很大很大的需要
[00:08:58.360 --> 00:09:02.520]  我希望在座的每一位
[00:09:02.520 --> 00:09:06.080]  都能夠清楚地知道
[00:09:06.080 --> 00:09:11.080]  自己有永生的盼望
[00:09:11.080 --> 00:09:13.360]  在臉中的時候
[00:09:13.360 --> 00:09:17.480]  祖伯最重要的事
[00:09:17.480 --> 00:09:19.280]  提醒我們每一個人
[00:09:19.280 --> 00:09:22.320]  主將這件最重要最重要的事
[00:09:22.320 --> 00:09:24.160]  提醒我們每一個人
[00:09:24.160 --> 00:09:30.800]  我們就在這四個要點的亮光之中
[00:09:30.800 --> 00:09:32.800]  來看我們的經紀
[00:09:32.800 --> 00:09:34.800]  來看我們的金句
[00:09:34.800 --> 00:09:38.520]  求神指教我們
[00:09:38.520 --> 00:09:40.880]  怎樣贖算自己的日子
[00:09:40.880 --> 00:09:43.320]  怎樣贖算自己的日子
[00:09:43.320 --> 00:09:48.480]  好叫我們得著智慧的心
[00:09:48.480 --> 00:09:52.720]  這句話的背景是什麼?
[00:09:52.720 --> 00:09:56.680]  這一節是從詩篇九十篇裡面摺出來的
[00:09:56.680 --> 00:10:02.680]  而這篇詩的內容是什麼?
[00:10:02.680 --> 00:10:08.920]  是講到人生的短促
