
[00:00:00.000 --> 00:00:04.800]  好,弟子妹平安,我們分享經文
[00:00:04.800 --> 00:00:10.320]  其實今天或明天是我們安排的聯合崇拜
[00:00:10.320 --> 00:00:12.800]  也是三十週年的堂慶
[00:00:12.800 --> 00:00:14.320]  所以今天我也代人堂慶
[00:00:14.320 --> 00:00:20.080]  跟大家一起全感恩的心去敬拜
[00:00:20.080 --> 00:00:24.240]  以及一起學習神的話語
[00:00:24.240 --> 00:00:33.600]  這個題目是關於明天的堂慶
[00:00:33.600 --> 00:00:35.200]  或者每年都有的
[00:00:35.200 --> 00:00:38.320]  慶祝、慶典,為什麼要慶祝呢?
[00:00:38.320 --> 00:00:41.840]  可能問題好像很蠢
[00:00:41.840 --> 00:00:44.240]  那當然是堂慶、慶祝
[00:00:44.240 --> 00:00:49.920]  每年都有生日,例如切餅
[00:00:49.920 --> 00:00:53.760]  當然現在說有儀式感,是有意思的
[00:00:53.760 --> 00:00:58.400]  由我們確認是神的子民開始
[00:00:58.400 --> 00:01:00.960]  所以題目就是「我屬於主耶穌」
[00:01:00.960 --> 00:01:03.200]  是關於有關的事情
[00:01:03.200 --> 00:01:06.880]  或者剛才詩歌也說愛我們主
[00:01:06.880 --> 00:01:09.120]  你喜不喜歡耶穌?
[00:01:09.120 --> 00:01:12.320]  又是問一些很蠢的問題
[00:01:12.320 --> 00:01:13.760]  即是問心
[00:01:13.760 --> 00:01:15.840]  即是理性之道
[00:01:15.840 --> 00:01:18.400]  阿修義基督徒愛耶穌
[00:01:18.400 --> 00:01:19.840]  是不是真的呢?
[00:01:19.920 --> 00:01:22.320]  或者用這個題目問
[00:01:22.320 --> 00:01:23.840]  你屬不屬於耶穌?
[00:01:23.840 --> 00:01:32.000]  這個經文的處境是跟有關的
[00:01:32.000 --> 00:01:37.120]  這個就是兩代的
[00:01:37.120 --> 00:01:39.040]  但也做了同一件事
[00:01:39.040 --> 00:01:40.800]  就是他們入了球
[00:01:40.800 --> 00:01:41.840]  慶祝
[00:01:41.840 --> 00:01:44.720]  除了球衣外
[00:01:44.720 --> 00:01:48.480]  裡面有件背心或衣服寫著什麼?
[00:01:48.480 --> 00:01:50.480]  「我屬於耶穌」
[00:01:50.480 --> 00:01:54.240]  即是他們展示的信仰
