
[00:00:00.000 --> 00:00:03.000]  今天是福音主日
[00:00:03.000 --> 00:00:05.000]  福音主日的意思就是
[00:00:05.000 --> 00:00:09.000]  福音,好消息,good news
[00:00:09.000 --> 00:00:14.000]  特別歡迎在座當中的朋友
[00:00:14.000 --> 00:00:17.000]  可能你來過禮拜堂一段日子
[00:00:17.000 --> 00:00:19.000]  可能你陪你的親友來
[00:00:19.000 --> 00:00:21.000]  不過你是一個旁觀者
[00:00:21.000 --> 00:00:23.000]  聽聽,看看他們有多好
[00:00:23.000 --> 00:00:26.000]  唱詩很舒服,很平安
[00:00:26.000 --> 00:00:28.000]  其實你也可以有的
[00:00:28.000 --> 00:00:30.000]  祝福你,希望你今天
[00:00:30.000 --> 00:00:33.000]  可以和上帝有一個新的關係
[00:00:33.000 --> 00:00:36.000]  又或者今天我是第一次來
[00:00:36.000 --> 00:00:38.000]  我的親友帶我來,更加好
[00:00:38.000 --> 00:00:40.000]  不需要害怕,來禮拜堂
[00:00:40.000 --> 00:00:42.000]  光光磅磅
[00:00:42.000 --> 00:00:46.000]  我們都是好人,不會害你的
[00:00:46.000 --> 00:00:48.000]  也不會收你的錢
[00:00:48.000 --> 00:00:49.000]  待會我們奉獻全袋的時候
[00:00:49.000 --> 00:00:51.000]  千萬不要給,你不知道
[00:00:51.000 --> 00:00:53.000]  不是要收費的
[00:00:53.000 --> 00:00:54.000]  只是因為我們知道
[00:00:54.000 --> 00:00:56.000]  上帝是一位祝福我們
[00:00:56.000 --> 00:00:59.000]  我們經驗過,我們好想你知道
[00:00:59.000 --> 00:01:01.000]  但有時我們說不出來
[00:01:01.000 --> 00:01:02.000]  說不清楚
[00:01:02.000 --> 00:01:04.000]  希望你今天,我盡我力量
[00:01:04.000 --> 00:01:06.000]  說清楚一點
[00:01:06.000 --> 00:01:10.000]  能夠讓你和上帝有一個新的關係
[00:01:10.000 --> 00:01:11.000]  這就是我們今天
[00:01:11.000 --> 00:01:13.000]  能夠給你最大的祝福
[00:01:13.000 --> 00:01:14.000]  不是我們祝福你
[00:01:14.000 --> 00:01:16.000]  是你認識上帝之後
[00:01:16.000 --> 00:01:17.000]  和上帝有一個關係
[00:01:17.000 --> 00:01:19.000]  得到真正的祝福
[00:01:19.000 --> 00:01:24.000]  我自己信了耶穌
[00:01:24.000 --> 00:01:27.000]  成為基督徒44年
[00:01:27.000 --> 00:01:30.000]  如果你說44年前
[00:01:30.000 --> 00:01:33.000]  十多歲,十多歲的年輕人
[00:01:33.000 --> 00:01:36.000]  一時衝動,可能是的
[00:01:36.000 --> 00:01:39.000]  但是44年還相信
[00:01:39.000 --> 00:01:40.000]  今天站在這裡
[00:01:40.000 --> 00:01:42.000]  大概也不是一時衝動
[00:01:42.000 --> 00:01:45.000]  我都不是年輕人
[00:01:45.000 --> 00:01:48.000]  我今年60歲了
[00:01:48.000 --> 00:01:51.000]  而且我在這44年裡
[00:01:51.000 --> 00:01:53.000]  我都讀了不少書
[00:01:53.000 --> 00:01:54.000]  不敢說讀很多
[00:01:54.000 --> 00:01:56.000]  但都讀了幾個學位
[00:01:56.000 --> 00:01:58.000]  而且我是讀哲學的
