
[00:00:00.000 --> 00:00:03.800]  我們做基督徒有很多很重要的表現
[00:00:03.800 --> 00:00:08.480]  我們的生活、我們的標準、我們的價值觀念
[00:00:08.480 --> 00:00:10.880]  這些核心的美德是什麼呢?
[00:00:10.880 --> 00:00:15.360]  今天我會跟大家思想其中一個很重要的核心美德
[00:00:15.360 --> 00:00:19.200]  就是信心和盼望
[00:00:19.200 --> 00:00:21.040]  我相信你是基督徒的
[00:00:21.040 --> 00:00:22.280]  甚至你不是基督徒的
[00:00:22.280 --> 00:00:25.760]  你也會聽說是基督教信仰裡面最核心的
[00:00:25.760 --> 00:00:28.840]  他們信徒表現的美德是什麼呢?
[00:00:28.840 --> 00:00:30.080]  三樣東西
[00:00:30.080 --> 00:00:33.680]  是信、是望、是愛
[00:00:33.680 --> 00:00:36.120]  信心和盼望是很連結的
[00:00:36.120 --> 00:00:38.120]  所以今天我們一次過把它們說完
[00:00:38.120 --> 00:00:40.680]  下一次再來跟大家分享的時候
[00:00:40.680 --> 00:00:42.560]  會跟大家說愛心
[00:00:42.560 --> 00:00:45.720]  當然還有很多很重要的美德
[00:00:45.720 --> 00:00:48.760]  就是我們不同的目者跟大家一起來分享
[00:00:48.760 --> 00:00:50.800]  所以今天想跟大家一起
[00:00:50.800 --> 00:00:54.040]  從我們今天所讀的聖經來研究
[00:00:54.040 --> 00:00:56.080]  來思想這個很重要的課題
[00:00:56.080 --> 00:00:57.560]  什麼叫做信心?
[00:00:57.560 --> 00:01:02.840]  怎樣才算是一個有信心的基督徒的美德?
[00:01:02.840 --> 00:01:05.680]  我們看希伯來書第十一章
[00:01:05.680 --> 00:01:08.080]  我鼓勵大家如果你有聖經的話
[00:01:08.080 --> 00:01:11.400]  也打開希伯來書第十一章
[00:01:11.400 --> 00:01:14.080]  剛才我們讀第一至第七節
[00:01:14.080 --> 00:01:17.680]  我們今天就特別從這段短短的聖經裡面
[00:01:17.680 --> 00:01:22.160]  看一些很重要很重要關於信心的真理
[00:01:22.160 --> 00:01:26.480]  今天的講道大綱就在我們的程序單的第二頁
[00:01:26.480 --> 00:01:30.560]  大家可以拿出來看就可以了
[00:01:30.560 --> 00:01:32.440]  你說我剛才的
[00:01:32.440 --> 00:01:35.320]  我現在手上的那本譯本是和合本
[00:01:35.320 --> 00:01:36.040]  是舊的譯本
[00:01:36.040 --> 00:01:37.120]  不要緊的
[00:01:37.120 --> 00:01:40.440]  今天其實也想跟大家比對一下
[00:01:40.440 --> 00:01:42.000]  兩個不同的譯本當中
[00:01:42.000 --> 00:01:44.560]  也有一些要處理的地方
[00:01:44.560 --> 00:01:46.320]  不過這個不是我們今天的重點
[00:01:46.320 --> 00:01:48.120]  但是你打開你自己的聖經
[00:01:48.120 --> 00:01:50.240]  看看因為我們等一下比較仔細
[00:01:50.240 --> 00:01:54.240]  要看這幾節的聖經
[00:01:54.240 --> 00:01:56.760]  這段聖經我相信很多弟兄姊妹
[00:01:56.760 --> 00:01:58.560]  如果你是信了耶穌的一段日子
[00:01:58.560 --> 00:02:01.800]  你都會較為熟悉其中有兩節
[00:02:01.800 --> 00:02:08.200]  也是我們今天特別深刻思想的兩節聖經
[00:02:08.200 --> 00:02:10.080]  第一節很多人都會背的
[00:02:10.080 --> 00:02:12.760]  不過就背這個舊的譯本
[00:02:12.760 --> 00:02:17.520]  背的就是希伯來書第十一章的第一節
[00:02:17.520 --> 00:02:19.080]  大家會背的
[00:02:19.080 --> 00:02:22.760]  信就是所望之時的實體
[00:02:22.760 --> 00:02:26.000]  是未見之時的確據
[00:02:26.000 --> 00:02:27.880]  第六節也有很多人很熟悉的
[00:02:27.880 --> 00:02:28.920]  雖然未必背得到
[00:02:28.920 --> 00:02:30.240]  但是肯定聽過的
[00:02:30.240 --> 00:02:32.200]  人非有信
[00:02:32.200 --> 00:02:34.960]  不能得神的喜悅
[00:02:34.960 --> 00:02:36.800]  因為到神面前來的人
[00:02:36.800 --> 00:02:38.440]  必須信有神
[00:02:38.440 --> 00:02:43.720]  並且信他上次那些尋求他的人
[00:02:43.720 --> 00:02:47.720]  這兩節聖經讀起來很熟悉
[00:02:47.720 --> 00:02:49.320]  大家都很喜歡
[00:02:49.320 --> 00:02:52.040]  但是其實今天我們要研究一下
[00:02:52.040 --> 00:02:54.280]  有不少的問題在裡面
