
[00:00:00.000 --> 00:00:02.000]  前面有很多位
[00:00:02.000 --> 00:00:05.000]  寫了相片坐前面也可以的
[00:00:05.000 --> 00:00:07.000]  不要介意一家人
[00:00:07.000 --> 00:00:11.000]  今天是唐慶的崇拜
[00:00:11.000 --> 00:00:13.000]  我們全感恩的心
[00:00:13.000 --> 00:00:15.000]  數算神的恩典
[00:00:15.000 --> 00:00:18.000]  特別在幾個月前
[00:00:18.000 --> 00:00:20.000]  私下領受經文
[00:00:20.000 --> 00:00:22.000]  也給自己獻得益
[00:00:22.000 --> 00:00:25.000]  也跟大家今天的分享
[00:00:25.000 --> 00:00:27.000]  唐慶旁邊左右
[00:00:27.000 --> 00:00:29.000]  是否熟悉?弟兄姊妹
[00:00:29.000 --> 00:00:31.000]  是否說生日快樂?
[00:00:31.000 --> 00:00:32.000]  不知道
[00:00:32.000 --> 00:00:34.000]  還是當是吧
[00:00:34.000 --> 00:00:37.000]  教會的基督身體就是大家
[00:00:37.000 --> 00:00:39.000]  我們彼此祝福
[00:00:39.000 --> 00:00:40.000]  彼此祝賀
[00:00:40.000 --> 00:00:42.000]  求神也給我們
[00:00:42.000 --> 00:00:44.000]  我記得6月2日的崇拜
[00:00:44.000 --> 00:00:46.000]  跟大家分享的題目就是
[00:00:46.000 --> 00:00:48.000]  這個
[00:00:48.000 --> 00:00:50.000]  先看看還未開
[00:00:50.000 --> 00:00:52.000]  先按一下
[00:00:52.000 --> 00:00:55.000]  這個就是今天分享的題目
[00:00:55.000 --> 00:00:56.000]  經文
[00:00:56.000 --> 00:01:03.000]  講呼吸和祈禱的生活
[00:01:03.000 --> 00:01:04.000]  值得
[00:01:04.000 --> 00:01:09.000]  跟大家講教會和神的滿足關係
[00:01:09.000 --> 00:01:11.000]  但滿足不夠
[00:01:11.000 --> 00:01:13.000]  不只是自己一個
[00:01:13.000 --> 00:01:15.000]  所以今天的題目
[00:01:15.000 --> 00:01:17.000]  是講同伴
[00:01:17.000 --> 00:01:18.000]  基本是說什麼?
[00:01:18.000 --> 00:01:19.000]  其實很簡單
[00:01:19.000 --> 00:01:20.000]  團契的生活
[00:01:20.000 --> 00:01:21.000]  小組的口團契
[00:01:21.000 --> 00:01:23.000]  只是不同的形式
[00:01:23.000 --> 00:01:24.000]  我們知道彼此相愛
[00:01:24.000 --> 00:01:25.000]  是神的豐富的誡命
[00:01:25.000 --> 00:01:28.000]  讓我們實踐
[00:01:28.000 --> 00:01:30.000]  因為這是一個好的見證
[00:01:30.000 --> 00:01:33.000]  讓人認出我們屬於主的門徒
[00:01:33.000 --> 00:01:35.000]  所以屬靈的群體生活
[00:01:35.000 --> 00:01:38.000]  帶著使命的一種關係
[00:01:38.000 --> 00:01:40.000]  所以無論是小組、團契
[00:01:40.000 --> 00:01:42.000]  或是在不同的教會都經歷過
[00:01:42.000 --> 00:01:44.000]  都是不同的方式
[00:01:44.000 --> 00:01:46.000]  重要的是
[00:01:46.000 --> 00:01:50.000]  就算是我們奉主的名
[00:01:50.000 --> 00:01:51.000]  兩三個人聚集
[00:01:51.000 --> 00:01:53.000]  主在我們中間
[00:01:53.000 --> 00:01:54.000]  那種關係
[00:01:54.000 --> 00:01:57.000]  關心守望是一個需要
[00:01:57.000 --> 00:02:00.000]  有一個早前的新聞
[00:02:00.000 --> 00:02:01.000]  不知道大家有沒有看過
[00:02:01.000 --> 00:02:03.000]  有一個人
[00:02:03.000 --> 00:02:05.000]  在少年的時候失蹤了
[00:02:05.000 --> 00:02:07.000]  知道他去了哪裡嗎?
[00:02:07.000 --> 00:02:10.000]  被隔離屋的人抓了
[00:02:10.000 --> 00:02:11.000]  被關了多少年?
[00:02:11.000 --> 00:02:12.000]  26年
[00:02:12.000 --> 00:02:13.000]  我也想像不到
[00:02:13.000 --> 00:02:15.000]  我都懷疑新聞是否真的
[00:02:15.000 --> 00:02:16.000]  如果是這樣的話
[00:02:16.000 --> 00:02:21.000]  他由一個少年變成一個中年
[00:02:21.000 --> 00:02:22.000]  差不多吧
[00:02:22.000 --> 00:02:25.000]  他26年來是否有生活呢?
[00:02:25.000 --> 00:02:27.000]  我懷疑他沒有生活
[00:02:27.000 --> 00:02:29.000]  他只是生存
[00:02:29.000 --> 00:02:32.000]  我們的教會生活
[00:02:32.000 --> 00:02:33.000]  都是一種生活
[00:02:33.000 --> 00:02:36.000]  是一種需要去學習經歷建立
[00:02:36.000 --> 00:02:38.000]  而不是純粹我們自己生存
[00:02:38.000 --> 00:02:41.000]  現代意識很喜歡一人之境
[00:02:41.000 --> 00:02:43.000]  甚至去到信仰層面
[00:02:43.000 --> 00:02:44.000]  習慣了
[00:02:44.000 --> 00:02:46.000]  所以不知道十多年前
[00:02:46.000 --> 00:02:49.000]  餐廳都開始喜歡
[00:02:49.000 --> 00:02:50.000]  有些獨立位置
[00:02:50.000 --> 00:02:51.000]  自修室
[00:02:51.000 --> 00:02:53.000]  以前的自修室
[00:02:53.000 --> 00:02:57.000]  遲些會不會一人一教會呢?
[00:02:57.000 --> 00:03:00.000]  我們都失業了
[00:03:00.000 --> 00:03:01.000]  AI
[00:03:01.000 --> 00:03:02.000]  AI目者
[00:03:02.000 --> 00:03:04.000]  我想要嚴厲目者
[00:03:04.000 --> 00:03:05.000]  1號按
[00:03:05.000 --> 00:03:07.000]  AI目者
[00:03:07.000 --> 00:03:08.000]  我要溫柔的目者
[00:03:08.000 --> 00:03:10.000]  AI不知道是多少號碼
[00:03:10.000 --> 00:03:12.000]  一人一教會
[00:03:12.000 --> 00:03:16.000]  當然有靈的活人
[00:03:16.000 --> 00:03:17.000]  沒有可能取代
[00:03:17.000 --> 00:03:18.000]  剛才施班
[00:03:18.000 --> 00:03:19.000]  今早我都說
[00:03:19.000 --> 00:03:20.000]  遲些不用施班了
