
[00:00:00.000 --> 00:00:02.900]  一年多之前就接受到邀請
[00:00:02.900 --> 00:00:05.900]  來到這個培靈會當中講道
[00:00:05.900 --> 00:00:07.700]  我去年就想
[00:00:07.700 --> 00:00:10.400]  因為我有好幾年沒有機會來到培靈會聽道
[00:00:10.400 --> 00:00:13.200]  因此我就自己就找了一天
[00:00:13.200 --> 00:00:14.800]  特別抽時間出來
[00:00:14.800 --> 00:00:17.200]  來聽培靈會的訊息
[00:00:17.200 --> 00:00:19.800]  那天早上我打算來參加培靈會
[00:00:19.800 --> 00:00:21.500]  在早上靈修的時候
[00:00:21.500 --> 00:00:22.900]  剛好那段時間
[00:00:22.900 --> 00:00:26.800]  我自己是靈修開聖經的哥林多前書
[00:00:26.800 --> 00:00:31.400]  那支書就剛剛去到哥林多前書第十三章
[00:00:31.400 --> 00:00:34.400]  大家知道是哪一章聖經了
[00:00:34.400 --> 00:00:36.700]  當我打開聖經的時候
[00:00:36.700 --> 00:00:38.300]  聖經就說
[00:00:38.300 --> 00:00:41.800]  我若能說萬人的方言並千字的話語
[00:00:41.800 --> 00:00:43.300]  卻沒有愛
[00:00:43.300 --> 00:00:45.200]  我就成了明的羅
[00:00:45.200 --> 00:00:47.400]  響的佛一般
[00:00:47.400 --> 00:00:49.100]  我若有先知講道之能
[00:00:49.100 --> 00:00:50.500]  也明白各樣的奧秘
[00:00:50.500 --> 00:00:51.700]  各樣的知識
[00:00:51.700 --> 00:00:53.400]  而且有傳遞的信
[00:00:53.400 --> 00:00:55.500]  叫我能夠而生
[00:00:55.500 --> 00:00:56.900]  卻沒有愛
[00:00:56.900 --> 00:00:59.500]  就算不得什麼
[00:00:59.500 --> 00:01:00.600]  當時這句話
[00:01:00.600 --> 00:01:03.200]  好像是直接地告訴我
[00:01:03.200 --> 00:01:04.400]  提醒我
[00:01:04.400 --> 00:01:05.800]  告訴我
[00:01:05.800 --> 00:01:08.600]  不要以為能夠講道
[00:01:08.600 --> 00:01:11.100]  就是一件偉大的事情
[00:01:11.100 --> 00:01:13.900]  如果一個講道者不能夠去行道
[00:01:13.900 --> 00:01:16.800]  不能夠活出愛心的生活
[00:01:16.800 --> 00:01:18.000]  我所做的一切
[00:01:18.000 --> 00:01:19.500]  就像明的羅
[00:01:19.500 --> 00:01:22.900]  和響的佛一般
[00:01:22.900 --> 00:01:24.300]  當然接受邀請
