
[00:00:00.000 --> 00:00:08.000]  大家再見,分開聖經,哥林多後書第十三章,亦是最後一章的經文
[00:00:08.000 --> 00:00:17.000]  今日和大家思想的就是一個侍奉者的生命,他如何運用權柄來詛咒別人
[00:00:17.000 --> 00:00:23.000]  我想當大家一想起權柄的時候,都會有很多複雜的感受
[00:00:24.000 --> 00:00:32.000]  我們所身處的社會,一想起權柄,很多時候就會想起弄權,想起強權
[00:00:32.000 --> 00:00:38.000]  想起有些人用不正當的方式,用他的權柄帶來給別人的傷害
[00:00:38.000 --> 00:00:46.000]  甚至有些人不顧別人的生死,只是為了達到自己的野心來運用他的權柄
[00:00:46.000 --> 00:00:51.000]  很多時候在國內我們常常都聽到這樣的情形
[00:00:52.000 --> 00:00:56.000]  同時有些時候,有些情況就是,有人有一種權柄
[00:00:56.000 --> 00:01:04.000]  但當他不用它,不發揮它的時候,產生出很多的縱容,很多的姑息
[00:01:04.000 --> 00:01:14.000]  以致這些錯失繼續延伸出去,帶來給我們另一方面的困難,也帶給這個社會很多的混亂
[00:01:14.000 --> 00:01:18.000]  適當的運用權柄是一個很重要的事情
[00:01:19.000 --> 00:01:28.000]  因為對基督徒來說,我們所說的權柄,不只是在地上,好像是一個組織裡面,或者政治上的權柄
[00:01:28.000 --> 00:01:35.000]  剛剛大家聽到特區政府有很多官員出來,他們有很多不同的權柄
[00:01:35.000 --> 00:01:39.000]  但基督徒所更加說的是屬靈的權柄
[00:01:39.000 --> 00:01:46.000]  這種屬靈的權柄是創造天地的權柄,也是改變生命的權柄
[00:01:47.000 --> 00:01:54.000]  這種權柄可能跟組織的權威地位未必配合,也可能是同一樣的關係
[00:01:54.000 --> 00:01:59.000]  我的意思是,跟一個人有兩方面的權柄
[00:01:59.000 --> 00:02:07.000]  但更重要的是,一個人的生命在神面前如何,而能夠發揮出那種真實的屬靈的權柄
[00:02:07.000 --> 00:02:11.000]  很多人說權柄可能屬於某些領袖
[00:02:11.000 --> 00:02:16.000]  但按照聖經所說,甚至被侍奉的人,也有一種權柄
[00:02:16.000 --> 00:02:21.000]  大家想不想到聖經那裡提及我們領袖的權柄呢?
[00:02:21.000 --> 00:02:26.000]  大家一定會記得大使命裡面所說的
[00:02:26.000 --> 00:02:31.000]  主耶穌說天上地下一切的權柄都已經賜給我
[00:02:31.000 --> 00:02:39.000]  然後主耶穌就說,所以你們要去使萬民作我的門徒
[00:02:39.000 --> 00:02:45.000]  奉聖父、聖子、聖靈的名,給他們施洗,教訓他們一切真理
[00:02:46.000 --> 00:02:53.000]  每一個屬神的人,我們是因為主耶穌的大權柄,祂差遣我們出去奉祂的名
[00:02:53.000 --> 00:02:59.000]  奉祂的名就帶著權柄,我們可以叫人能夠領受救恩
[00:02:59.000 --> 00:03:03.000]  我們可以奉主的名去趕逐邪惡的勢力
[00:03:03.000 --> 00:03:11.000]  不是你,不是我,而是神給我們的權柄奉祂的名去做這些事情
[00:03:12.000 --> 00:03:20.000]  我們看到聖經所說,地上教會所捆綁的,哪裡都要捆綁,天上都要捆綁
[00:03:20.000 --> 00:03:25.000]  地上教會所釋放的,我們運用權柄引領人信耶穌
[00:03:25.000 --> 00:03:31.000]  當他們信靠主耶穌的時候,天上也確認他們得到釋放
[00:03:31.000 --> 00:03:36.000]  對於基督徒來說,我們比較少談權柄這個課題
[00:03:37.000 --> 00:03:42.000]  但當我們小心思想的時候,這是一個極其重要的屬靈課題
[00:03:42.000 --> 00:03:49.000]  讓我們更加明白如何運用今生神給我們的權柄來見證祂,來服侍祂
[00:03:49.000 --> 00:03:54.000]  當保羅來到哥倫多後書最後一章的時候,就是提及他自己的權柄
[00:03:54.000 --> 00:04:00.000]  但同時我們想回我們今天如何學習運用神給我們的權柄
[00:04:01.000 --> 00:04:08.000]  首先我們思想的第一方面就是,施奉神的人的權柄是來自遵行神的道
[00:04:08.000 --> 00:04:14.000]  或者我首先提一提,大家會記得聖經有一個人物叫做蘇羅
[00:04:14.000 --> 00:04:19.000]  大家記得在舊約聖經裡面,蘇羅本身是一個君王
[00:04:19.000 --> 00:04:24.000]  但當他沒有聽從神的吩咐,特別是一件事情
[00:04:25.000 --> 00:04:32.000]  大家會記得,神吩咐他將亞馬力人全數的生畜全部滅盡
[00:04:32.000 --> 00:04:42.000]  但蘇羅卻保留一些自己希望能夠得到的財物,或者能夠討他的神民高興
[00:04:42.000 --> 00:04:50.000]  神就告訴他,你既然厭棄我的命令,所以我就厭棄你作王
[00:04:51.000 --> 00:04:58.000]  一個人如果他什麼時候不聽從神的吩咐,神也不會喜悅他有權柄
[00:04:58.000 --> 00:05:06.000]  人厭棄神的命令,神也會厭棄人作王,來發揮他有的權柄
[00:05:06.000 --> 00:05:12.000]  所以聖經裡面提及,施奉神的人的權柄是來自遵行神的道
[00:05:12.000 --> 00:05:19.000]  如果一個牧者,你要清楚知道他沒有敬畏神的道,沒有遵從神的道
[00:05:20.000 --> 00:05:23.000]  他是沒有任何權柄可言的
[00:05:23.000 --> 00:05:27.000]  權柄不是來自人,而是來自神的道
[00:05:27.000 --> 00:05:31.000]  神永恆的道,產生權柄,產生力量
[00:05:31.000 --> 00:05:37.000]  所以你看到在這裡,菩羅所說的,施奉神的人要在哪幾方面遵行神的命令呢?
[00:05:37.000 --> 00:05:42.000]  首先大家先看第十三章第四節
[00:05:44.000 --> 00:05:46.000]  十三章第四節
[00:05:46.000 --> 00:05:52.000]  他因軟弱被釘在十字架上,卻因神的大能仍然活著
[00:05:52.000 --> 00:05:59.000]  我們也是這樣同他軟弱,但因神向你們所顯的大能,也必與他同伴
[00:05:59.000 --> 00:06:06.000]  神的命令,神對我們的心意就是,甘願意成為軟弱
[00:06:06.000 --> 00:06:10.000]  什麼意思呢?什麼叫做軟弱呢?
[00:06:11.000 --> 00:06:14.000]  主耶穌因軟弱被釘十字架
[00:06:14.000 --> 00:06:21.000]  主耶穌甘願意承受罪人對他的頂撞,對他的傷害
[00:06:21.000 --> 00:06:30.000]  當主耶穌面對著十字架的時候,比拉多說我有權柄扮你的,為什麼你不反應呢?
[00:06:30.000 --> 00:06:38.000]  主耶穌說,如果不是天賜給你的權柄,你就沒有能力扮我,釘我十字架
[00:06:39.000 --> 00:06:48.000]  主耶穌甘心樂意接受這一切的傷害,但他仍然在當中忍耐,仍然寬恕
[00:06:48.000 --> 00:06:52.000]  這就是主耶穌的軟弱
[00:06:52.000 --> 00:07:01.000]  他甘願成為軟弱,但他卻很沉默地承受這些難處,在當中寬恕別人,在當中忍耐
[00:07:01.000 --> 00:07:07.000]  有人說,可能主耶穌的性格很懦弱,面對這些事情仍然不抗拒
[00:07:08.000 --> 00:07:20.000]  但其實內心那種堅定去愛,不去傷害別人,不去加害在那些難為他的人身上
[00:07:20.000 --> 00:07:24.000]  那種內心的堅強是真正的剛強
[00:07:24.000 --> 00:07:29.000]  我早前看到一個見證,心裏面有很多衝擊
[00:07:29.000 --> 00:07:35.000]  大家都知道有些地方,當宣教士去到傳科目的時候,是面對很多困難
[00:07:36.000 --> 00:07:42.000]  我認識一位女宣教士,很多年前在一個比較落後的部落傳福音
[00:07:42.000 --> 00:07:51.000]  當她去到,沒多久就面對一個人生最大的創傷,就是被當地的土族強暴了她
[00:07:51.000 --> 00:08:00.000]  這件事情帶給她很大的傷害,因此她內心心灰意冷,她就一直思想是否要離開這個地方
[00:08:01.000 --> 00:08:08.000]  當她一邊祈禱一邊感動神的靈,一邊安慰她的心,她就再次向神說
[00:08:08.000 --> 00:08:15.000]  「神啊,你願意為我捨去生命,為何我不可以繼續為這班人捨己?」
