
[00:00:00.000 --> 00:00:02.000]  我們翻閱剛才讀過的聖經
[00:00:02.000 --> 00:00:05.000]  試探轉第四章的經文
[00:00:05.000 --> 00:00:09.000]  我們思想到在禱告當中
[00:00:09.000 --> 00:00:12.000]  望神賜聖靈及膽量
[00:00:12.000 --> 00:00:15.500]  我相信很多弟兄姊妹在信主之後
[00:00:15.500 --> 00:00:19.000]  心裏都很願意能夠去侍奉主
[00:00:19.000 --> 00:00:22.000]  很想能夠見證上帝
[00:00:22.000 --> 00:00:25.000]  特別自己所熟悉的家人朋友
[00:00:25.000 --> 00:00:26.500]  都很希望有機會能夠
[00:00:26.500 --> 00:00:29.500]  可以跟他們講述道主的福音
[00:00:29.500 --> 00:00:32.000]  很盼望他們都能夠信耶穌
[00:00:32.000 --> 00:00:34.500]  但雖然有一種心裏的願意
[00:00:34.500 --> 00:00:37.000]  但未必有那種力量
[00:00:37.000 --> 00:00:39.000]  甚至有時感覺自己沒甚麼動力
[00:00:39.000 --> 00:00:43.000]  沒甚麼膽量來見證上帝
[00:00:43.000 --> 00:00:46.000]  或者有些人都會嘗試去侍奉神
[00:00:46.000 --> 00:00:47.000]  去見證神
[00:00:47.000 --> 00:00:50.000]  但發覺自己習慣了某些方式
[00:00:50.000 --> 00:00:52.000]  自己做工的時候
[00:00:52.000 --> 00:00:53.500]  有的某些習慣
[00:00:53.500 --> 00:00:55.500]  某些處事的方式
[00:00:55.500 --> 00:00:58.500]  就用那些方式來侍奉上帝
[00:00:58.500 --> 00:01:00.500]  就發覺在過程當中
[00:01:00.500 --> 00:01:04.000]  見不到甚麼真實的屬靈的果效
[00:01:04.000 --> 00:01:06.000]  就發覺越侍奉
[00:01:06.000 --> 00:01:10.000]  好像越感覺到很多不同的挫折會出現
[00:01:10.000 --> 00:01:12.000]  在基督徒生命裏面
[00:01:12.000 --> 00:01:14.500]  我們知道上帝賜給我們聖靈
[00:01:14.500 --> 00:01:18.500]  而我們看見到很多歷代的屬神的人
[00:01:18.500 --> 00:01:21.500]  他們在聖靈的恩典裏面
[00:01:21.500 --> 00:01:23.000]  有美好的侍奉
[00:01:23.000 --> 00:01:26.000]  有很寶貴生命的見證
[00:01:26.000 --> 00:01:28.500]  因此我們今天一起思想的就是
[00:01:28.500 --> 00:01:32.500]  如何在初期教會的使徒身上
[00:01:32.500 --> 00:01:36.000]  我們去明白他們為何會得到膽量
[00:01:36.000 --> 00:01:38.500]  得到能力去見證上帝
[00:01:38.500 --> 00:01:40.000]  而我們一起思想
[00:01:40.000 --> 00:01:42.500]  聖靈在我們生命當中的工作
[00:01:42.500 --> 00:01:46.500]  大家先看回第四章前面的第三節
[00:01:46.500 --> 00:01:49.500]  這裡有提及到當時彼得約翰
[00:01:49.500 --> 00:01:52.500]  醫好了一個生來瘸腿的人
[00:01:52.500 --> 00:01:55.000]  他一出生已經是瘸腿
