
[00:00:00.000 --> 00:00:03.460]  我們說過哥羅西書也說了幾次
[00:00:03.460 --> 00:00:06.680]  其實哥羅西書主要是保羅針對
[00:00:06.680 --> 00:00:08.880]  當時在哥羅西教會裏面
[00:00:08.880 --> 00:00:12.280]  有些人傳講一些錯誤的教訓
[00:00:12.280 --> 00:00:14.680]  我們叫做異端的思想
[00:00:14.680 --> 00:00:17.080]  來作出一個很重要的教導
[00:00:17.080 --> 00:00:23.480]  在保羅未開始作出對異端的教導之前
[00:00:23.480 --> 00:00:26.880]  保羅說對付異端的一個最重要的方法是什麼呢?
[00:00:26.880 --> 00:00:29.280]  就在第六和第七節那裏
[00:00:29.280 --> 00:00:32.200]  你們既然接受了主耶穌
[00:00:32.200 --> 00:00:33.720]  就當遵祂而行
[00:00:33.720 --> 00:00:35.320]  在祂裏面身根見造
[00:00:35.320 --> 00:00:36.520]  信心兼顧
[00:00:36.520 --> 00:00:38.320]  正如你們所領的教訓
[00:00:38.320 --> 00:00:40.920]  感謝的心也增長了
[00:00:40.920 --> 00:00:47.080]  保羅提出對付異端最重要的方法
[00:00:47.080 --> 00:00:49.600]  就是在客觀的真理上站立得穩
[00:00:49.600 --> 00:00:51.840]  你們要記得你們開始的時候
[00:00:51.840 --> 00:00:54.000]  你們信耶穌是什麼意思?
[00:00:54.000 --> 00:00:55.760]  你信耶穌
[00:00:55.760 --> 00:00:57.760]  究竟你怎樣去信耶穌呢?
[00:00:57.760 --> 00:00:58.680]  提醒他們
[00:00:58.680 --> 00:01:01.280]  你們要在真理上站立得穩
[00:01:01.280 --> 00:01:05.360]  而且更重要的是在心智上要堅定不移
[00:01:05.360 --> 00:01:07.000]  不單是客觀的認識
[00:01:07.000 --> 00:01:09.960]  而是在心智上堅定地跟隨
[00:01:09.960 --> 00:01:11.600]  一位愛我們的主
[00:01:11.600 --> 00:01:14.600]  保羅在這裏帶出一個很重要的方向
[00:01:14.600 --> 00:01:20.280]  就是信仰不單是客觀的一個知識或認識
[00:01:20.280 --> 00:01:25.280]  更重要的是自己個人和耶穌建立一個關係
[00:01:25.280 --> 00:01:27.840]  保羅在這裏提出
[00:01:27.840 --> 00:01:30.720]  針對異端的教訓
[00:01:30.720 --> 00:01:32.720]  主要是靠著人的方法
[00:01:32.720 --> 00:01:34.080]  靠著人的努力
[00:01:34.080 --> 00:01:35.480]  或靠著人的行為
[00:01:35.480 --> 00:01:36.680]  做了一些事
[00:01:36.680 --> 00:01:39.480]  我自己就可以得到上帝的拯救
[00:01:39.480 --> 00:01:41.000]  但保羅在這裏說不是
[00:01:41.000 --> 00:01:43.000]  真正相信耶穌的人
[00:01:43.000 --> 00:01:44.640]  真正跟從上帝的人
[00:01:44.640 --> 00:01:47.600]  是活在耶穌裏面
[00:01:47.600 --> 00:01:50.200]  和耶穌有一個聯繫
[00:01:50.200 --> 00:01:51.920]  有一個結連
[00:01:51.920 --> 00:01:57.280]  這樣才是真正得到上帝的拯救
[00:01:57.280 --> 00:01:59.000]  保羅在這裏再提醒
[00:01:59.000 --> 00:02:02.680]  當你覺得自己已經在真理上很清楚的認識
[00:02:02.680 --> 00:02:07.440]  在心智上能夠堅定地跟從耶穌的時候
[00:02:07.440 --> 00:02:08.960]  你都不要自誇
[00:02:08.960 --> 00:02:13.400]  因為你不要認為靠自己有這樣的能力
[00:02:13.400 --> 00:02:15.160]  是因為上帝保守你
[00:02:15.160 --> 00:02:18.880]  你才能夠在真理上站立得穩
[00:02:18.880 --> 00:02:20.720]  在心智上有堅定
[00:02:20.720 --> 00:02:23.720]  所以應當存在一個感恩的心
[00:02:23.720 --> 00:02:25.360]  在第八、九節
[00:02:25.360 --> 00:02:28.080]  保羅開始說一些異端
[00:02:28.080 --> 00:02:31.120]  教導一些異端的錯誤究竟是甚麼呢?
[00:02:31.120 --> 00:02:32.280]  你們要謹慎
[00:02:32.280 --> 00:02:35.240]  恐怕有人用他理學和虛榮的妄言
[00:02:35.240 --> 00:02:36.320]  不照著基督
[00:02:36.320 --> 00:02:39.320]  那照著人間的遺傳和世上的小學
[00:02:39.320 --> 00:02:40.520]  就把你們擄去
[00:02:40.520 --> 00:02:42.320]  因為神本性一切的風聲
[00:02:42.320 --> 00:02:45.840]  都有形有體的居住在基督裏面
[00:02:45.840 --> 00:02:48.800]  保羅在這裏帶出一個很重要的方向
[00:02:48.800 --> 00:02:49.840]  這個方向就是說
[00:02:49.880 --> 00:02:54.680]  究竟那些異端的錯誤在哪裏呢?
[00:02:54.680 --> 00:02:58.360]  他們就是以人的傳統習慣
[00:02:58.360 --> 00:03:01.640]  去定甚麼是信仰
[00:03:01.640 --> 00:03:02.600]  即是說
[00:03:02.600 --> 00:03:05.880]  我覺得靠人的努力
[00:03:05.880 --> 00:03:07.280]  我靠人的行為
[00:03:07.280 --> 00:03:08.680]  我遵守這些規則
[00:03:08.680 --> 00:03:12.040]  我就可以得到上帝給我這個永恆的生命
[00:03:12.040 --> 00:03:13.040]  但保羅說
[00:03:13.040 --> 00:03:15.240]  其實甚麼是好消息呢?
[00:03:15.240 --> 00:03:16.680]  好消息是福音的意思
[00:03:16.680 --> 00:03:19.480]  就是以上帝的啟示為中心
[00:03:19.480 --> 00:03:23.920]  不要以為人想出來的方法是最好的
