
[00:00:00.000 --> 00:00:04.860]  我們今天的題目是「看見主就喜樂」
[00:00:04.860 --> 00:00:09.000]  或者我們未必是親眼見過復活的主
[00:00:09.000 --> 00:00:12.160]  但是相信大家都會或多或少在生活上
[00:00:12.160 --> 00:00:14.260]  有些時候突然間會驚訝
[00:00:14.260 --> 00:00:18.060]  好像神在你身邊給你幫助
[00:00:18.060 --> 00:00:19.960]  我剛剛幾個星期之前
[00:00:19.960 --> 00:00:23.860]  我朝早如常地祈禱將當天的事情交託給神
[00:00:23.860 --> 00:00:25.400]  回到教會的時候
[00:00:25.400 --> 00:00:28.100]  我就預備要準備一個聚會
[00:00:28.100 --> 00:00:30.660]  我看看時間好像都不太足夠
[00:00:30.660 --> 00:00:33.400]  但都相信主會帶領著
[00:00:33.400 --> 00:00:35.500]  很偶然在一堆文件當中
[00:00:35.500 --> 00:00:38.660]  就拿出一個檔案
[00:00:38.660 --> 00:00:40.700]  但是發覺裡面的資料
[00:00:40.700 --> 00:00:44.060]  剛剛是我下午聚會所需要用的
[00:00:44.060 --> 00:00:45.660]  我就很快拿那些資料
[00:00:45.660 --> 00:00:48.660]  來準備下午的聚會
[00:00:48.660 --> 00:00:51.000]  在過程當中我心裡很快樂
[00:00:51.000 --> 00:00:52.860]  好像主告訴我
[00:00:52.860 --> 00:00:55.960]  「你放心,我在這裡」
[00:00:55.960 --> 00:00:58.860]  「你放心,我會幫助你」
[00:00:58.860 --> 00:01:00.060]  雖然是一件很微小的事
[00:01:00.060 --> 00:01:02.160]  但給我心裡一個鼓勵
[00:01:02.160 --> 00:01:06.060]  也知道不是自己在掙扎、在拼搏
[00:01:06.060 --> 00:01:09.560]  而是神自己在當中給我的幫助
[00:01:09.560 --> 00:01:10.860]  各位弟兄姊妹
[00:01:10.860 --> 00:01:14.360]  有些時候我們說我們都見不到主
[00:01:14.360 --> 00:01:17.360]  但聖經裡面說到很多信心的人物
[00:01:17.360 --> 00:01:20.960]  他們憑著信心可以看見主
[00:01:20.960 --> 00:01:23.860]  聖經希伯來書第十一章提及摩西
[00:01:23.860 --> 00:01:26.660]  這位人物聖經說他因著信
[00:01:26.660 --> 00:01:30.460]  他就不怕皇帝的憤怒
[00:01:30.460 --> 00:01:33.460]  因著信他離開埃及不怕黃奴
[00:01:33.460 --> 00:01:35.560]  而且他恆心忍耐
[00:01:35.560 --> 00:01:40.560]  如同看見那位不能看見的主
[00:01:40.560 --> 00:01:43.660]  竟然人可以看見神
[00:01:43.660 --> 00:01:44.460]  是的
[00:01:44.460 --> 00:01:46.360]  因為他在信心當中
[00:01:46.360 --> 00:01:49.660]  好像看見那位不能看見的主
[00:01:49.660 --> 00:01:52.360]  以至他能夠恆心忍耐
[00:01:52.360 --> 00:01:55.360]  行在神自己的路上
[00:01:55.360 --> 00:01:56.460]  在我們生活當中
[00:01:56.460 --> 00:01:58.960]  很多時候出現一些恐懼
[00:01:58.960 --> 00:02:00.460]  一些憂慮
[00:02:00.460 --> 00:02:02.460]  以至我們見不到神
[00:02:02.460 --> 00:02:04.460]  而今天我們見到的瑪利亞
[00:02:04.460 --> 00:02:07.660]  和一群門徒正是這樣經歷
[00:02:07.660 --> 00:02:09.460]  但是神憐憫他們
[00:02:09.460 --> 00:02:13.460]  讓他們都能夠看見復活的主
[00:02:13.460 --> 00:02:16.460]  我們一起看聖經
[00:02:16.460 --> 00:02:18.460]  《猶人福音》第二十章第十一節提及
[00:02:18.460 --> 00:02:20.460]  瑪利亞當時的情況
[00:02:20.460 --> 00:02:23.460]  她站在墳墓外面哭泣
[00:02:23.460 --> 00:02:24.260]  她哭泣的時候
