
[00:00:00.000 --> 00:00:01.840]  新聞記第六章
[00:00:01.840 --> 00:00:05.040]  摩西在約旦河的東岸
[00:00:05.040 --> 00:00:08.400]  帶領以色列人預備去到迦南地
[00:00:08.400 --> 00:00:12.440]  未進去之前首先跟他們講重要的話
[00:00:12.440 --> 00:00:14.800]  要勉勵他們進到迦南地的時候
[00:00:14.800 --> 00:00:16.600]  要帶著什麼樣的態度
[00:00:16.600 --> 00:00:19.800]  承受神給他們的應許之地
[00:00:19.800 --> 00:00:22.600]  因此我們在五十八週年的時候
[00:00:22.600 --> 00:00:24.600]  去到將來新的階段
[00:00:24.600 --> 00:00:28.000]  新的五年發展的一條路
[00:00:28.000 --> 00:00:30.600]  我們帶著一個敬畏的心思想神
[00:00:30.600 --> 00:00:32.600]  要給我們的說話
[00:00:32.600 --> 00:00:35.400]  在《成經》裡面特別在六章第三節
[00:00:35.400 --> 00:00:37.800]  大家先看
[00:00:37.800 --> 00:00:41.200]  六章第三節摩西對他們這樣說
[00:00:41.200 --> 00:00:47.000]  以色列 你們要聽從就謹守遵行
[00:00:47.000 --> 00:00:51.000]  使你在流乃與物的地可以享福
[00:00:51.000 --> 00:00:52.800]  人數大大增多
[00:00:52.800 --> 00:00:57.600]  張耶和說 你列祖的神應許你的
[00:00:57.600 --> 00:00:59.000]  對於教徒來說
[00:00:59.000 --> 00:01:02.800]  我們的應許之地就好像我們所得到的救恩
[00:01:02.800 --> 00:01:06.200]  和永恆神給我們的國度
[00:01:06.200 --> 00:01:07.800]  當我們領受了之後
[00:01:07.800 --> 00:01:10.000]  神不單單給我們救恩
[00:01:10.000 --> 00:01:13.400]  祂更加賜給我們真道
[00:01:13.400 --> 00:01:16.000]  是神自己的說話
[00:01:16.000 --> 00:01:18.400]  因為在神的恩典裡面
[00:01:18.400 --> 00:01:22.400]  如果要能夠長久有一個條件
[00:01:22.400 --> 00:01:25.800]  就是我們要去聽從神的說話
[00:01:25.800 --> 00:01:28.000]  應許之地神賜給我們
[00:01:28.000 --> 00:01:31.600]  同時祂要求我們去聽從祂的說話
[00:01:31.600 --> 00:01:35.800]  才能夠在祂的恩典當中得以長久
[00:01:35.800 --> 00:01:37.800]  大家看回剛才的第二節
[00:01:37.800 --> 00:01:39.800]  最後一句說話
[00:01:39.800 --> 00:01:43.000]  使你的日子可以長久
[00:01:43.000 --> 00:01:44.800]  遵守的人可以享福
[00:01:44.800 --> 00:01:46.000]  第三節
[00:01:46.000 --> 00:01:47.800]  人數大大增加
[00:01:47.800 --> 00:01:52.000]  得到神要給我們完全的應許
[00:01:52.000 --> 00:01:52.600]  各位靈姐妹
[00:01:52.600 --> 00:01:55.200]  神母要我們緊緊得救
[00:01:55.200 --> 00:01:58.000]  神要我們得到豐盛的生命
[00:01:58.000 --> 00:02:03.200]  關鍵就是你能否聽從神的說話
[00:02:03.200 --> 00:02:04.200]  一個簡單的比喻
[00:02:04.200 --> 00:02:05.000]  大家會明白
[00:02:05.000 --> 00:02:07.200]  就是有一個億萬富翁
[00:02:07.200 --> 00:02:12.600]  如果他要將一間華麗的大屋送給你
[00:02:12.600 --> 00:02:14.800]  他告訴你一切設施都有了
[00:02:14.800 --> 00:02:17.400]  最好的家具
[00:02:17.400 --> 00:02:18.800]  電器齊全
[00:02:18.800 --> 00:02:22.600]  而且儲存著很多美食
[00:02:22.600 --> 00:02:23.800]  你很開心
[00:02:23.800 --> 00:02:26.200]  他給你一大抽鎖匙
[00:02:26.200 --> 00:02:28.200]  然後你開了大門
[00:02:28.200 --> 00:02:29.600]  進去之後
[00:02:29.600 --> 00:02:31.400]  很漂亮的大屋
[00:02:31.400 --> 00:02:33.800]  但你即時丟下抽鎖匙
[00:02:33.800 --> 00:02:36.200]  甚至不知道放在哪裡
[00:02:36.200 --> 00:02:38.400]  然後去到房間門口
[00:02:38.400 --> 00:02:40.800]  裡面一定有很舒服的床鋪
[00:02:40.800 --> 00:02:42.200]  怎知沒有鎖匙
[00:02:42.200 --> 00:02:43.800]  開門進去
[00:02:43.800 --> 00:02:46.000]  整晚都睡不著
[00:02:46.000 --> 00:02:47.800]  想去廚房找到食物
[00:02:47.800 --> 00:02:49.200]  但鎖著門
[00:02:49.200 --> 00:02:50.400]  開不了
[00:02:50.400 --> 00:02:53.600]  鎖匙不知道在哪裡
[00:02:53.600 --> 00:02:55.000]  我的意思是
[00:02:55.000 --> 00:02:57.200]  如果你進入了應許之地
[00:02:57.200 --> 00:02:59.400]  但你沒有去聽神的話
[00:02:59.400 --> 00:03:00.800]  沒有去遵行
[00:03:00.800 --> 00:03:04.400]  就好像忘記了鎖匙
[00:03:04.400 --> 00:03:08.200]  你就不會得到當中的好處
[00:03:08.200 --> 00:03:09.400]  聖經清楚說
[00:03:09.400 --> 00:03:10.600]  「以使你進入了應許之地
[00:03:10.600 --> 00:03:12.400]  神同時告訴你
[00:03:12.400 --> 00:03:14.400]  你要聽我的話
