
[00:00:00.000 --> 00:00:06.100]  剛才我們也說了希望用三次的崇拜
[00:00:06.100 --> 00:00:12.220]  跟大家一起去研讀新約的《雅各書》
[00:00:12.220 --> 00:00:17.480]  新約的《雅各書》可以說是最有舊約味道
[00:00:17.480 --> 00:00:25.240]  譬如好像《針研》、甚至《傳道書》那種特色
[00:00:25.240 --> 00:00:32.580]  《雅各書》裡面充滿了智慧和很多很實質的提醒
[00:00:32.580 --> 00:00:38.800]  這也會成為我們這幾次在講道裡面特別強調的地方
[00:00:38.800 --> 00:00:47.140]  我看《雅各書》裡面有三個經常重複出現的主題
[00:00:47.140 --> 00:00:50.400]  就打起精神看看《雅各記錄》怎麼講下去
[00:00:50.400 --> 00:00:53.320]  一開頭就已經這麼共鳴了
[00:00:53.320 --> 00:00:55.880]  我們會想到如果這麼艱難的時刻
[00:00:55.880 --> 00:00:58.440]  怎樣才可以渡過呢?
[00:00:58.440 --> 00:01:01.780]  怎樣可以不用被它打倒呢?
[00:01:01.780 --> 00:01:04.520]  我們正在想這件事
[00:01:04.520 --> 00:01:07.400]  但是接著看下去
[00:01:07.400 --> 00:01:10.320]  下半截你會發覺很令你震撼的
[00:01:10.320 --> 00:01:13.520]  我們在很艱難的時刻的時候
[00:01:13.520 --> 00:01:15.920]  《雅各》有一個很特別的第二句
[00:01:15.920 --> 00:01:19.000]  它說我們要捍衛喜樂
[00:01:19.000 --> 00:01:22.120]  這樣也可以
[00:01:22.120 --> 00:01:24.800]  不難過已經很好了
[00:01:24.800 --> 00:01:28.880]  怎麼還可以捍衛喜樂?
[00:01:28.880 --> 00:01:32.800]  這個喜樂這個字原來還很強的
[00:01:32.800 --> 00:01:36.200]  用希臘文就是Pasakaran
[00:01:36.200 --> 00:01:40.520]  就是說非常之非常之興奮
[00:01:40.520 --> 00:01:44.960]  喂!這麼艱難
[00:01:44.960 --> 00:01:47.680]  怎麼可以興奮呢?
[00:01:47.680 --> 00:01:49.440]  我們也說過了
[00:01:49.440 --> 00:01:52.080]  聖經是真是很賀神的說話
[00:01:52.080 --> 00:01:54.760]  從來沒有在唱高調
[00:01:54.760 --> 00:01:56.160]  你興奮了
[00:01:56.160 --> 00:01:57.400]  你自己想辦法去吧
[00:01:57.400 --> 00:01:58.320]  不是的
[00:01:58.320 --> 00:02:00.560]  它一定會解釋給我們聽的
[00:02:00.560 --> 00:02:02.240]  並且是做得到的
[00:02:02.240 --> 00:02:04.720]  先講接著那幾節
[00:02:04.720 --> 00:02:07.920]  教我們怎樣可以在艱難的時刻裡面
[00:02:07.920 --> 00:02:13.720]  竟然可以得到成為我們的興奮和喜樂
[00:02:13.720 --> 00:02:16.880]  它說有兩個很重要的階段
[00:02:16.880 --> 00:02:19.360]  如果你在這個艱難的時刻
[00:02:19.360 --> 00:02:22.480]  不是單單看見這些艱難是怎樣怎樣
[00:02:22.480 --> 00:02:23.680]  或者哪個人害你
[00:02:23.680 --> 00:02:28.000]  或者哪些世界有哪些不幸的事情的意義
[00:02:28.000 --> 00:02:34.840]  而是看到這些艱難可以成為你的信心的考驗
[00:02:34.840 --> 00:02:36.120]  這是第一個
[00:02:36.120 --> 00:02:39.240]  你將它看成為一個信心的考驗
[00:02:39.240 --> 00:02:40.520]  還不夠
[00:02:40.520 --> 00:02:45.800]  這個考驗令到你要有忍耐接受這個考驗
[00:02:45.800 --> 00:02:47.800]  並且要忍耐到底
[00:02:47.800 --> 00:02:50.320]  還要堅持到底
[00:02:50.320 --> 00:02:51.760]  這樣的時候
[00:02:51.760 --> 00:02:55.320]  你就開始發覺你會越來越成熟了
[00:02:55.320 --> 00:02:56.640]  用聖經的話
[00:02:56.640 --> 00:03:00.120]  聖經說會變得完全毫無缺陷
[00:03:00.120 --> 00:03:01.680]  就是說還有賺
[00:03:01.680 --> 00:03:02.320]  不會虧蝕
[00:03:02.320 --> 00:03:03.280]  還有賺
[00:03:03.280 --> 00:03:05.400]  你的生命人生有賺
[00:03:05.400 --> 00:03:06.920]  有賺的時候
[00:03:06.920 --> 00:03:09.120]  你是不是還多了一些東西
[00:03:09.120 --> 00:03:10.640]  有了這個困難
[00:03:10.640 --> 00:03:13.440]  最後令到你的人生成熟有賺
[00:03:13.440 --> 00:03:16.840]  成為一個很興奮的收穫
[00:03:16.840 --> 00:03:20.160]  這就是聖經裡面所說的
[00:03:20.160 --> 00:03:25.520]  那種路竟然可以讓你有興奮
[00:03:25.520 --> 00:03:27.320]  當然了
[00:03:27.320 --> 00:03:28.640]  你和我心裡面想
[00:03:28.640 --> 00:03:29.920]  也不是每個人都可以
[00:03:29.920 --> 00:03:30.480]  有人可以
[00:03:30.480 --> 00:03:31.040]  有人不行
[00:03:31.040 --> 00:03:34.920]  有人在艱難的時刻
[00:03:34.920 --> 00:03:36.520]  百官試煉的時候
[00:03:36.520 --> 00:03:38.000]  就會打倒
[00:03:38.000 --> 00:03:42.480]  有人竟然可以成為喜樂的
[00:03:42.480 --> 00:03:43.920]  成熟的
[00:03:43.920 --> 00:03:45.280]  那個分別
[00:03:45.280 --> 00:03:46.480]  剛才我說了兩件事
[00:03:46.480 --> 00:03:47.240]  第一
[00:03:47.240 --> 00:03:50.040]  你怎樣將這個艱難
[00:03:50.040 --> 00:03:53.800]  看到它成為信心的考驗
