
[00:00:00.000 --> 00:00:02.840]  我們見回剛才《聖經》詩篇一把十九篇
[00:00:02.840 --> 00:00:05.680]  我們一起來做做《思想.聖經》裏面的說話
[00:00:05.680 --> 00:00:11.920]  在看經文之前我想先提一件事情
[00:00:11.920 --> 00:00:15.280]  我記得之前曾經留意到一位
[00:00:15.280 --> 00:00:19.760]  很著名的《釋經》學者一件小生活的事
[00:00:19.760 --> 00:00:22.920]  這位年長的《釋經》學者
[00:00:22.920 --> 00:00:27.200]  他曾經著作了很多本很重要的《釋經》書
[00:00:28.360 --> 00:00:31.400]  有一次他在自己的房間裏讀《聖經》
[00:00:31.400 --> 00:00:33.600]  在讀《聖經》的時候
[00:00:33.600 --> 00:00:36.560]  剛剛自己的孫女經過房門口
[00:00:36.560 --> 00:00:39.920]  進去見到爺爺的時候
[00:00:39.920 --> 00:00:41.280]  就跟爺爺說
[00:00:41.280 --> 00:00:43.560]  爺爺你在讀什麼?
[00:00:43.560 --> 00:00:48.520]  爺爺很開心地進來拉他到身邊
[00:00:48.520 --> 00:00:49.840]  然後跟他說
[00:00:49.840 --> 00:00:51.920]  我在讀新聞
[00:00:51.920 --> 00:00:54.960]  孫女就說
[00:00:54.960 --> 00:00:57.280]  也不是新聞,你在讀《聖經》
[00:00:57.280 --> 00:01:00.000]  爺爺就告訴他
[00:01:00.000 --> 00:01:01.520]  沒錯,是《聖經》
[00:01:01.520 --> 00:01:04.600]  不過每一次當我有機會再讀的時候
[00:01:04.600 --> 00:01:07.200]  每一次都有重新的領受
[00:01:07.200 --> 00:01:08.840]  好像在讀新聞一樣
[00:01:08.840 --> 00:01:13.800]  我很記得這位學者
[00:01:13.800 --> 00:01:16.240]  他雖然是熟悉《聖經》
[00:01:16.240 --> 00:01:19.840]  但是每一次他重新的領受
[00:01:19.840 --> 00:01:23.400]  每一次上帝將新的學習
[00:01:23.680 --> 00:01:25.280]  新的光照
[00:01:25.280 --> 00:01:27.320]  新的教導賜給他
[00:01:27.320 --> 00:01:29.920]  我就想起我們自己一位
[00:01:29.920 --> 00:01:32.280]  我們很尊敬的牧者
[00:01:32.280 --> 00:01:33.480]  滕勤輝牧師
[00:01:33.480 --> 00:01:35.520]  在他晚年的時候
[00:01:35.520 --> 00:01:37.160]  他比較少外出港島
[00:01:37.160 --> 00:01:40.080]  我記得有一次我有機會去到他家
[00:01:40.080 --> 00:01:41.640]  跟他聊天
[00:01:41.640 --> 00:01:45.360]  留意到在他的沙發旁邊有個茶几
[00:01:45.360 --> 00:01:47.640]  放了一本《聖經》打開了
[00:01:47.640 --> 00:01:49.600]  我就問他
[00:01:49.600 --> 00:01:51.000]  「滕牧師你在讀《聖經》嗎?」
[00:01:51.000 --> 00:01:52.760]  他說「是的」
[00:01:53.760 --> 00:01:57.200]  旁邊的滕師母就回答了一句
[00:01:57.200 --> 00:01:59.760]  「是的,他最近都很少看書」
[00:01:59.760 --> 00:02:01.520]  「不過很喜歡看《聖經》」
[00:02:01.520 --> 00:02:05.840]  我看到一位年長的牧者
[00:02:05.840 --> 00:02:08.520]  也想起剛才那位的《釋經》學者
[00:02:08.520 --> 00:02:10.160]  有很多弟兄姊妹
[00:02:10.160 --> 00:02:12.040]  他們縱使年紀很大
[00:02:12.040 --> 00:02:14.200]  縱使他們很熟悉《聖經》
[00:02:14.200 --> 00:02:16.360]  但是他仍然是一種熱誠
[00:02:16.360 --> 00:02:17.760]  一種喜愛
[00:02:17.760 --> 00:02:19.520]  一直讀《聖經》的說話
[00:02:19.520 --> 00:02:21.760]  因此我們看到這些弟兄姊妹
[00:02:21.760 --> 00:02:22.920]  他們的人生的路
[00:02:22.920 --> 00:02:25.320]  是持續地跟隨上帝
[00:02:25.320 --> 00:02:28.400]  而且他們是不斷領受新鮮的力量
[00:02:28.400 --> 00:02:31.400]  來堅定地行在神的道上
[00:02:31.400 --> 00:02:32.920]  各位弟兄姊妹
[00:02:32.920 --> 00:02:35.000]  沒錯,我們也相信了一段日子
[00:02:35.000 --> 00:02:38.120]  但你不要放鬆
[00:02:38.120 --> 00:02:41.240]  來繼續認識神的道
[00:02:41.240 --> 00:02:43.400]  繼續領受上帝的說話
[00:02:43.400 --> 00:02:46.440]  今天我們讀《聖經》到C篇119篇
[00:02:46.440 --> 00:02:47.920]  其中有33節
[00:02:47.920 --> 00:02:50.640]  我們試試從幾方面去思想
[00:02:50.960 --> 00:02:52.080]  首先你會發現
[00:02:52.080 --> 00:02:53.840]  詩人不斷告訴我們
[00:02:53.840 --> 00:02:57.520]  他要去遵守神的話到底
[00:02:57.520 --> 00:03:02.400]  在119篇第33節這樣說
[00:03:02.400 --> 00:03:06.640]  耶和華求你把你的律例指教我
[00:03:06.640 --> 00:03:09.080]  我必遵守到底
[00:03:09.080 --> 00:03:11.160]  求你賜給我悟性
[00:03:11.160 --> 00:03:13.080]  我好遵守你的律法
[00:03:13.080 --> 00:03:15.720]  我必一心來謹守
[00:03:15.720 --> 00:03:18.440]  不是一時間的感動
[00:03:18.440 --> 00:03:20.000]  讀一下《聖經》
[00:03:20.600 --> 00:03:24.840]  而是一生願意來領受、去遵從
[00:03:24.840 --> 00:03:27.120]  這是詩人的心願
[00:03:27.120 --> 00:03:28.680]  也是他的立志
[00:03:28.680 --> 00:03:32.240]  我想說另一位弟兄
[00:03:32.240 --> 00:03:33.640]  在另一次
[00:03:33.640 --> 00:03:35.280]  早前我有機會在外間
[00:03:35.280 --> 00:03:38.000]  一些公開的佩靈會講道一年多
[00:03:38.000 --> 00:03:42.960]  在講道的時候留意到一位弟兄
[00:03:42.960 --> 00:03:44.480]  每一晚都見到他
[00:03:44.480 --> 00:03:46.680]  有一次聚會完結後
[00:03:46.680 --> 00:03:48.200]  他走出來跟我聊天
[00:03:48.960 --> 00:03:50.000]  他說:施牧師
