
[00:00:00.000 --> 00:00:04.000]  今天和大家思想一個熟悉的聖經故事
[00:00:04.000 --> 00:00:09.000]  是提到撒該的朋友的經歷
[00:00:09.000 --> 00:00:11.000]  但是我想先提一件事情
[00:00:11.000 --> 00:00:13.000]  就是好幾年之前我去到泰國
[00:00:13.000 --> 00:00:15.000]  遇到一位基督徒朋友
[00:00:15.000 --> 00:00:18.000]  他本身自己開一個餐館
[00:00:18.000 --> 00:00:21.000]  我就很有興趣問及他信耶穌的經過
[00:00:21.000 --> 00:00:23.000]  他就告訴我
[00:00:23.000 --> 00:00:25.000]  他就說他在泰國
[00:00:25.000 --> 00:00:27.000]  他在泰國住了一個地方
[00:00:27.000 --> 00:00:30.000]  他就告訴我
[00:00:30.000 --> 00:00:34.000]  他說其實他自己本身是接觸過教會
[00:00:34.000 --> 00:00:39.000]  是因為他太太在他們還沒有結婚之前
[00:00:39.000 --> 00:00:41.000]  很清楚的要求
[00:00:41.000 --> 00:00:45.000]  你都和我一起信耶穌吧
[00:00:45.000 --> 00:00:47.000]  這位朋友就說
[00:00:47.000 --> 00:00:48.000]  行 信耶穌
[00:00:48.000 --> 00:00:53.000]  行 我們結婚之後一定跟你信耶穌
[00:00:53.000 --> 00:00:55.000]  他們之後結婚
[00:00:55.000 --> 00:00:58.000]  但是當然他已經忘記了他的承諾
[00:00:58.000 --> 00:01:00.000]  太太很多時候一直鼓勵他
[00:01:00.000 --> 00:01:04.000]  但是他反而責備太太
[00:01:04.000 --> 00:01:06.000]  因為他開餐館很繁忙
[00:01:06.000 --> 00:01:07.000]  很多時候在餐館裡
[00:01:07.000 --> 00:01:10.000]  也都是和很多客人一起喝酒
[00:01:10.000 --> 00:01:12.000]  他餐館能夠賺錢
[00:01:12.000 --> 00:01:14.000]  因為他賣酒
[00:01:14.000 --> 00:01:17.000]  在過程當中他自己都染了酒癮
[00:01:17.000 --> 00:01:20.000]  而且很嚴重的酒癮
[00:01:20.000 --> 00:01:23.000]  所以很多時候他自己生活很混亂
[00:01:23.000 --> 00:01:25.000]  自己都不知道自己說了什麼話
