
[00:00:00.000 --> 00:00:04.040]  我記得有一次和一位年長的弟兄聊天
[00:00:04.040 --> 00:00:08.000]  這位弟兄承認他自己不太熟悉聖經
[00:00:08.000 --> 00:00:11.540]  但是一提到聖經有的全道書
[00:00:11.540 --> 00:00:13.100]  他馬上就說
[00:00:13.100 --> 00:00:18.800]  我知道 虛空的虛空 一切都是虛空
[00:00:18.800 --> 00:00:20.440]  他說在我自己人生裏面
[00:00:20.440 --> 00:00:25.100]  很真實地體會聖經所說的真實
[00:00:25.100 --> 00:00:28.040]  是他完全認同的
[00:00:28.040 --> 00:00:31.840]  我們這幾個星期都一直在思想全道書的信息
[00:00:31.840 --> 00:00:35.340]  我們記得之前目者和我們分享提到
[00:00:35.340 --> 00:00:40.340]  聖經所說的虛空不是表示沒有東西
[00:00:40.340 --> 00:00:41.840]  是有東西的
[00:00:41.840 --> 00:00:46.040]  不過是有的 是氣泡
[00:00:46.040 --> 00:00:51.040]  是會短暫即逝的東西
[00:00:51.040 --> 00:00:54.540]  是不會給我們有長久的滿足
[00:00:54.540 --> 00:00:58.040]  長久的意義的東西
[00:00:58.040 --> 00:01:02.540]  當我們更多明白這個人世間
[00:01:02.540 --> 00:01:04.240]  我們所身處的世界
[00:01:04.240 --> 00:01:08.040]  我們人生裏面的實況的時候
[00:01:08.040 --> 00:01:09.540]  其實是更加幫助我們
[00:01:09.540 --> 00:01:13.040]  不會拼命地上的事上
[00:01:13.040 --> 00:01:16.240]  去尋找長久的滿足
[00:01:16.240 --> 00:01:20.340]  在氣泡裏面去找意義
[00:01:20.340 --> 00:01:24.440]  這是智慧的人明白了實況之後
[00:01:24.440 --> 00:01:26.040]  有的表現
[00:01:26.040 --> 00:01:29.840]  但同時他不會因此變得自暴自棄
[00:01:29.840 --> 00:01:33.340]  而是更加明白需要去敬畏神
[00:01:33.340 --> 00:01:34.940]  信從神
[00:01:34.940 --> 00:01:37.840]  以致他能夠在神的面前
[00:01:37.840 --> 00:01:43.840]  等候得著神要給我們的長久的滿足
[00:01:43.840 --> 00:01:45.640]  我們今天再讀這段聖經的時候
[00:01:45.640 --> 00:01:47.040]  你發覺聖經再進一步說
[00:01:47.040 --> 00:01:50.440]  沒錯地上的生活是虛空的
[00:01:50.440 --> 00:01:53.440]  但是神仍然在當中賜給我們
[00:01:53.440 --> 00:01:57.640]  有恩賜、有禮物
[00:01:57.640 --> 00:02:00.640]  我們在裏面可以去享受
[00:02:00.640 --> 00:02:02.340]  但是要留心
[00:02:02.340 --> 00:02:06.540]  留心不要去摧毀這些禮物
[00:02:06.540 --> 00:02:11.640]  也要留心帶著感謝的心去領受
[00:02:11.640 --> 00:02:17.040]  你才能夠得著神喜悅要賜給你的
[00:02:17.040 --> 00:02:18.740]  大家會記得我們上次
[00:02:18.740 --> 00:02:20.340]  一直讀傳道書
[00:02:20.340 --> 00:02:22.440]  和公同我們分享的時候
[00:02:22.440 --> 00:02:24.640]  提到在第一、第二章
[00:02:24.640 --> 00:02:27.240]  有四方面的虛空
[00:02:27.240 --> 00:02:28.640]  之前提及到的
[00:02:28.640 --> 00:02:31.040]  是擁有智慧的虛空
[00:02:31.040 --> 00:02:34.440]  又提到追尋享樂的虛空
[00:02:34.440 --> 00:02:35.940]  然後這次我們會看到
[00:02:35.940 --> 00:02:38.140]  第二章第十二節的時候
[00:02:38.140 --> 00:02:41.640]  就說到智慧人和愚昧人
[00:02:41.640 --> 00:02:45.340]  他們的結局都是虛空的
[00:02:45.340 --> 00:02:47.340]  然後一會兒我們再看
[00:02:47.340 --> 00:02:49.740]  聖經再提到勞碌的工作
[00:02:49.740 --> 00:02:51.540]  都是虛空的
[00:02:51.540 --> 00:02:53.440]  說完四樣的虛空之後
[00:02:53.440 --> 00:02:57.040]  然後聖經提出一個結論
[00:02:57.040 --> 00:03:01.040]  在主裏面仍然可以有滿足
[00:03:01.040 --> 00:03:06.440]  我們再看剛才讀過的第十二節
[00:03:06.440 --> 00:03:08.340]  這一段十二到第十七節
[00:03:08.340 --> 00:03:12.040]  說到關於智慧和愚昧的分別
[00:03:12.040 --> 00:03:15.940]  第十三節
[00:03:15.940 --> 00:03:17.440]  在第十三節裏面
[00:03:17.440 --> 00:03:19.340]  這裏聖經就說
[00:03:19.340 --> 00:03:23.440]  他說:我看出智慧勝過愚昧
[00:03:23.440 --> 00:03:25.940]  如同光明勝過黑暗
[00:03:25.940 --> 00:03:28.740]  智慧人的眼目光明
[00:03:28.740 --> 00:03:31.740]  愚昧人在黑暗裏行
[00:03:31.740 --> 00:03:34.740]  但是他說:我卻看明有一件事
[00:03:34.740 --> 00:03:39.040]  這兩等人都必遇見
[00:03:39.040 --> 00:03:43.940]  傳道者沒有去否定智慧的價值
[00:03:43.940 --> 00:03:48.640]  他仍然說智慧是比愚昧更強
[00:03:48.640 --> 00:03:52.140]  聖經提到智慧人的眼目明亮
[00:03:52.140 --> 00:03:53.640]  這裏所說的明亮
[00:03:53.640 --> 00:03:56.140]  是在說元文的一個意念
[00:03:56.140 --> 00:04:00.640]  就是眼睛在頭上的意思
[00:04:00.640 --> 00:04:04.140]  意味著智慧人能夠看得遠
[00:04:04.140 --> 00:04:05.740]  他能夠看得前面的方向
[00:04:05.740 --> 00:04:07.040]  看得前路
[00:04:07.040 --> 00:04:10.440]  他可以避開一些偏差的路
[00:04:10.440 --> 00:04:14.140]  因此智慧人是比愚昧人強的
[00:04:14.140 --> 00:04:15.540]  雖然如此
[00:04:15.540 --> 00:04:19.140]  傳道者說:我卻看明白
[00:04:19.140 --> 00:04:21.740]  我很清楚知道一件事
[00:04:21.740 --> 00:04:23.540]  就是同一個命運
[00:04:23.540 --> 00:04:27.540]  臨到兩種不同的人身上
[00:04:27.540 --> 00:04:30.340]  命運帶來的就是
[00:04:30.340 --> 00:04:34.740]  最終兩種人都要面對死亡
[00:04:34.740 --> 00:04:40.040]  因此他說:為何要更有智慧呢?
[00:04:40.040 --> 00:04:40.940]  當然你聽的時候
[00:04:40.940 --> 00:04:42.840]  你會看到他所說的
[00:04:42.840 --> 00:04:49.040]  不是在說短期間的益處
[00:04:49.040 --> 00:04:51.640]  而是在說長久的益處
[00:04:51.640 --> 00:04:54.840]  他所關注的是長久的益處
[00:04:54.840 --> 00:04:57.240]  你短期間可以這樣
[00:04:57.240 --> 00:05:00.940]  但最終你跟對方沒有分別
[00:05:00.940 --> 00:05:06.040]  這是他所體會到的一種情況
[00:05:06.040 --> 00:05:07.640]  當我們上到聖經裏面
[00:05:07.640 --> 00:05:12.640]  講及到那種智慧帶來的滿足的時候
[00:05:12.640 --> 00:05:16.540]  我們遲些會看到第三章講到
[00:05:16.540 --> 00:05:19.440]  我們體會到上帝將永生
[00:05:19.440 --> 00:05:22.140]  永恆放在我們的心裏面
[00:05:22.140 --> 00:05:24.540]  所以你跟我在世上經歷的時候
[00:05:24.540 --> 00:05:25.240]  都會體會到
[00:05:25.240 --> 00:05:28.240]  有些事情沒錯是滿足
[00:05:28.240 --> 00:05:30.840]  但當一安靜下來的時候就體會到
[00:05:30.840 --> 00:05:35.140]  其實心裏面還是一種不滿足的感受
[00:05:35.140 --> 00:05:39.040]  因為上帝創造我們裏面有永恆
[00:05:39.040 --> 00:05:41.140]  而說有永恆的上帝
[00:05:41.140 --> 00:05:42.440]  永恆的事情
[00:05:42.440 --> 00:05:46.340]  才能夠滿足到我們的生命
[00:05:46.340 --> 00:05:51.440]  所以當我們在世上經歷一些短期的滿足的時候
[00:05:51.440 --> 00:05:55.440]  你會發覺當你一直去領受的時候
[00:05:55.440 --> 00:05:57.540]  一直去經歷的時候
[00:05:57.540 --> 00:06:02.140]  覺得都不是真正能夠滿足你
[00:06:02.140 --> 00:06:04.240]  我留意到呂氏先生C.S. Lewis
[00:06:04.240 --> 00:06:08.140]  大家都認識一位很重要的基督徒作者
[00:06:08.140 --> 00:06:10.240]  他說了一件事情
[00:06:10.240 --> 00:06:12.040]  他說在英國的世界裏面
[00:06:12.040 --> 00:06:14.340]  人類最大的問題
[00:06:14.340 --> 00:06:18.540]  不是因為他有很多很多的慾望
[00:06:18.540 --> 00:06:24.140]  而是因為人類太快滿足
[00:06:24.140 --> 00:06:25.240]  他的意思是說
[00:06:25.240 --> 00:06:27.040]  在英國的世界上
[00:06:27.040 --> 00:06:29.340]  我們很容易被世界上很多的事物
[00:06:29.340 --> 00:06:34.040]  被我們那些短暫的滿足來愚昧了我們
[00:06:34.040 --> 00:06:35.940]  迷惑了我們
[00:06:35.940 --> 00:06:39.140]  好像一個他所說的小孩子
[00:06:39.140 --> 00:06:41.640]  去到一些爛泥地裏面
[00:06:41.640 --> 00:06:43.440]  看到一些泥土在那裏
[00:06:43.440 --> 00:06:45.040]  很開心地在那裏玩
[00:06:45.040 --> 00:06:47.440]  走到一些骯髒的泥堆裏面去玩
[00:06:47.440 --> 00:06:49.740]  去砌一些泥餅
[00:06:49.740 --> 00:06:52.940]  但是他完全不會想像到
[00:06:52.940 --> 00:06:56.640]  去到一個很明麗
[00:06:56.640 --> 00:06:58.640]  很陽光燦爛
[00:06:58.640 --> 00:07:01.440]  風和日麗的沙灘裏面
[00:07:01.440 --> 00:07:04.240]  一回事可以是怎樣的
[00:07:04.240 --> 00:07:05.940]  他想像不到
[00:07:05.940 --> 00:07:09.340]  因此他以為現今眼前那些爛泥堆
[00:07:09.340 --> 00:07:11.440]  就是可以給他滿足的
[00:07:11.440 --> 00:07:15.340]  因此他就停留在那裏
[00:07:15.340 --> 00:07:18.240]  我想當聖經講述到這些事情的時候
