
[00:00:00.000 --> 00:00:03.320]  大家知道我們在七月份開始這一季的講題
[00:00:03.320 --> 00:00:06.800]  特別提到敬虔生活是什麼
[00:00:06.800 --> 00:00:09.360]  我們都會常常提到
[00:00:09.360 --> 00:00:11.280]  敬虔生活不單是在講
[00:00:11.280 --> 00:00:15.080]  你在密室裏面跟神有很多很親密的關係
[00:00:15.080 --> 00:00:18.040]  同樣在講在你的生活上
[00:00:18.040 --> 00:00:19.640]  透過你的行為
[00:00:19.640 --> 00:00:22.600]  如何去表達對神、對人的愛
[00:00:22.600 --> 00:00:26.600]  這個更加是敬虔生活的一個具體的表現
[00:00:26.600 --> 00:00:28.920]  因此在這次的季度
[00:00:29.160 --> 00:00:33.280]  我們會講到敬虔生活包括了愛鄰舍
[00:00:33.280 --> 00:00:35.240]  愛窮人
[00:00:35.240 --> 00:00:38.880]  包括了去輔助那些軟弱的
[00:00:38.880 --> 00:00:41.200]  釋放那些被捆綁的
[00:00:41.200 --> 00:00:43.760]  這個都是我們重要
[00:00:43.760 --> 00:00:45.880]  聖經裏面對我們的勉勵
[00:00:45.880 --> 00:00:50.480]  當我們想到在城市當中一些被遺棄的人
[00:00:50.480 --> 00:00:53.480]  大家都會想起在很多的
[00:00:53.480 --> 00:00:55.240]  全世界的大城市裏面
[00:00:55.240 --> 00:00:58.120]  有很多活躍的、很多的發展
[00:00:58.480 --> 00:00:59.480]  但是你都知道
[00:00:59.480 --> 00:01:02.320]  我都知道就是城市所強調的
[00:01:02.320 --> 00:01:04.480]  最優先的是什麼呢?
[00:01:04.480 --> 00:01:07.120]  經濟發展
[00:01:07.120 --> 00:01:11.640]  大城市都會強調有經濟發展就等於一切
[00:01:11.640 --> 00:01:15.440]  甚至有些時候因此會輕忽了對人的關注
[00:01:15.440 --> 00:01:18.200]  因此在城市裏面有很多很多的
[00:01:18.200 --> 00:01:20.120]  不同的群體
[00:01:20.120 --> 00:01:21.520]  一些被輕忽
[00:01:21.520 --> 00:01:23.920]  甚至被遺棄的群體出現
[00:01:23.920 --> 00:01:26.520]  在香港這個城市大家都會知道
[00:01:26.520 --> 00:01:27.480]  常常聽到
[00:01:27.760 --> 00:01:29.400]  譬如說有些長者
[00:01:29.400 --> 00:01:30.880]  在老人院
[00:01:30.880 --> 00:01:32.280]  在家中
[00:01:32.280 --> 00:01:34.080]  被人忘記了
[00:01:34.080 --> 00:01:35.280]  甚至遺棄了
[00:01:35.280 --> 00:01:37.320]  有些年輕的
[00:01:37.320 --> 00:01:39.360]  我們叫做「相失青年」
[00:01:39.360 --> 00:01:40.320]  失了學
[00:01:40.320 --> 00:01:41.120]  失了業
[00:01:41.120 --> 00:01:43.200]  自己沒有方向
[00:01:43.200 --> 00:01:44.520]  被人忘記了
[00:01:44.520 --> 00:01:46.240]  有些兒童
