
[00:00:00.000 --> 00:00:03.140]  教會52天的生命根生之旅
[00:00:03.140 --> 00:00:05.040]  到了尾聲
[00:00:05.040 --> 00:00:09.340]  最後這兩個星期就是講見證
[00:00:09.340 --> 00:00:12.020]  在我們的教會裏面
[00:00:12.020 --> 00:00:13.460]  我們說我們相信了耶穌
[00:00:13.460 --> 00:00:14.860]  領受了福音
[00:00:14.860 --> 00:00:16.580]  其實我們也同樣領受了
[00:00:16.580 --> 00:00:18.340]  上帝給我們的使命
[00:00:18.340 --> 00:00:20.380]  去將這個福音傳開
[00:00:20.380 --> 00:00:22.380]  今天我們想透過這段經文
[00:00:22.380 --> 00:00:24.840]  保羅他怎樣很清楚地知道
[00:00:24.840 --> 00:00:27.220]  即是他很清楚地領受了
[00:00:27.220 --> 00:00:28.580]  上帝給他的呼召
[00:00:28.580 --> 00:00:29.780]  他怎樣去看
[00:00:29.780 --> 00:00:32.180]  他自己的一生
[00:00:32.180 --> 00:00:34.340]  怎樣將這個福音傳開
[00:00:34.340 --> 00:00:37.500]  他怎樣傳了一個態度
[00:00:37.500 --> 00:00:39.820]  一生的去跟從主
[00:00:39.820 --> 00:00:41.620]  在這段經文裏面一開始
[00:00:41.620 --> 00:00:42.820]  23節
[00:00:42.820 --> 00:00:44.460]  保羅很語重心長地
[00:00:44.460 --> 00:00:47.060]  去跟一班哥羅西的信徒講
[00:00:47.060 --> 00:00:50.860]  你們不要在一個真理上去恆心
[00:00:50.860 --> 00:00:52.300]  持守信心
[00:00:52.300 --> 00:00:53.540]  根基的穩固
[00:00:53.540 --> 00:00:55.220]  去跟從上帝
[00:00:55.220 --> 00:00:57.820]  為甚麼保羅在一開始的時候
[00:00:57.820 --> 00:01:00.780]  要用這麼語重心長的說話去講呢
[00:01:00.780 --> 00:01:02.780]  在當時哥羅西的教會
[00:01:02.780 --> 00:01:05.940]  或者在當時的初期教會
[00:01:05.940 --> 00:01:10.300]  有一些錯誤的思想去流行著
[00:01:10.300 --> 00:01:13.380]  有很多人因為一些錯誤的思想
[00:01:13.380 --> 00:01:16.460]  而漸漸一步一步地離開上帝
[00:01:16.460 --> 00:01:20.100]  所以保羅在這裏很語重心長地
[00:01:20.100 --> 00:01:22.460]  真的去勸勉一班的信徒
[00:01:22.460 --> 00:01:25.620]  你們不要真的要在所信的道上
[00:01:25.620 --> 00:01:27.980]  很認真的去堅守著
[00:01:27.980 --> 00:01:28.700]  在這裏保羅說
[00:01:28.700 --> 00:01:31.780]  我們要持守福音的盼望
[00:01:31.780 --> 00:01:34.020]  這個福音的盼望
[00:01:34.020 --> 00:01:36.780]  是要很清楚知道我們信的是哪一個
[00:01:36.780 --> 00:01:38.220]  我們信甚麼
[00:01:38.220 --> 00:01:42.620]  我們領受了上帝給我們永恆的福分
