
[00:00:00.000 --> 00:00:03.200]  我們感謝天父
[00:00:03.200 --> 00:00:06.800]  祂賜給我們一位救主
[00:00:06.800 --> 00:00:09.120]  祂拯救我們
[00:00:09.120 --> 00:00:12.520]  祂也使我們成聖
[00:00:12.520 --> 00:00:16.040]  十字架代表拯救
[00:00:16.040 --> 00:00:21.400]  洗浴盆代表成聖
[00:00:21.400 --> 00:00:27.440]  我們的主救我們是完全的拯救
[00:00:27.440 --> 00:00:30.480]  不是一半的救恩
[00:00:30.480 --> 00:00:32.560]  而是把我們整個人
[00:00:32.560 --> 00:00:39.880]  整個人生拯救出來
[00:00:39.880 --> 00:00:46.640]  聖這個字在聖經裏面有三個意義
[00:00:46.640 --> 00:00:48.680]  第一個意義
[00:00:48.680 --> 00:00:55.120]  就是形容神的本身
[00:00:55.120 --> 00:00:58.200]  神是聖
[00:00:58.200 --> 00:01:01.320]  詩篇九十九篇
[00:01:01.320 --> 00:01:03.440]  在那裏有三次說
[00:01:03.440 --> 00:01:08.320]  耶和華本為聖
[00:01:08.320 --> 00:01:11.080]  在同一篇詩篇裏頭
[00:01:11.080 --> 00:01:14.640]  三次講這句話
[00:01:14.640 --> 00:01:20.720]  這個聖字是形容神高高在上
[00:01:20.720 --> 00:01:24.800]  超越一切的人類之上
[00:01:24.800 --> 00:01:29.640]  超越整個宇宙之上
[00:01:29.640 --> 00:01:34.400]  聖代表神和我們不同
[00:01:34.400 --> 00:01:39.680]  一種本質上的超越
[00:01:39.680 --> 00:01:42.520]  聖的第二個意思
[00:01:42.520 --> 00:01:48.360]  就是凡是與神結連的事
[00:01:48.360 --> 00:01:50.280]  都成為聖
[00:01:50.280 --> 00:01:55.520]  聖殿、聖所、聖物
[00:01:55.520 --> 00:02:01.680]  與神結連就得到神的特性
[00:02:01.680 --> 00:02:04.160]  被神所用
[00:02:04.160 --> 00:02:07.560]  與神有了關係
[00:02:07.560 --> 00:02:09.640]  第三個意義
[00:02:09.640 --> 00:02:14.440]  就是道德上的聖潔
