
[00:00:00.000 --> 00:00:02.440]  剛才我們讀過聖經裡面提到
[00:00:02.440 --> 00:00:07.240]  福音如何傳到所謂的藩族人身上
[00:00:07.240 --> 00:00:11.960]  我們常常提及到神將傳福音的恩典賜給我們
[00:00:11.960 --> 00:00:14.320]  我們常常提到哥倫德後書所說
[00:00:14.320 --> 00:00:19.320]  神將叫人與祂和好的積分賜給我們
[00:00:19.320 --> 00:00:22.480]  你小心讀的時候就會察覺聖經說
[00:00:22.480 --> 00:00:27.080]  不是說神將福音的責任交給我們
[00:00:27.080 --> 00:00:29.760]  如果我們不去面對、不去承擔
[00:00:29.760 --> 00:00:31.760]  就要面對懲罰
[00:00:31.760 --> 00:00:33.320]  聖經更加說
[00:00:33.320 --> 00:00:37.760]  神將傳福音的恩惠賜給我們
[00:00:37.760 --> 00:00:41.840]  是一種恩賜、是一份禮物
[00:00:41.840 --> 00:00:45.080]  神不想我們單單領受救恩
[00:00:45.080 --> 00:00:49.880]  而是讓我們成為施恩的管道
[00:00:49.880 --> 00:00:53.760]  這正是聖經上述重覆提及的一件事情
[00:00:53.760 --> 00:00:56.840]  但有時候我們會發覺自己的心思
[00:00:56.840 --> 00:01:00.080]  或某些情感上有些障礙
[00:01:00.080 --> 00:01:06.360]  我們不太能夠與一些人見證主、見證福音
[00:01:06.360 --> 00:01:08.560]  但神會用很多不同的方法
[00:01:08.560 --> 00:01:11.960]  去破除這些障礙、移開這些障礙
[00:01:11.960 --> 00:01:15.680]  以直覺聖靈的感動來引領我們
[00:01:15.680 --> 00:01:18.240]  來作福音的出口
[00:01:18.240 --> 00:01:20.080]  成全神的心意
[00:01:20.080 --> 00:01:21.760]  因此我們今天也看看
[00:01:21.760 --> 00:01:24.000]  聖靈如何開啟彼得的心
[00:01:24.000 --> 00:01:27.920]  讓他可以成為福音的重要出口
[00:01:27.920 --> 00:01:31.320]  剛才大家讀到第十章經文時
[00:01:31.320 --> 00:01:35.080]  你會看到第十章第二十八節
[00:01:35.080 --> 00:01:38.640]  彼得去到哥利留的家中
[00:01:38.640 --> 00:01:41.120]  一開口時他這樣說
[00:01:41.120 --> 00:01:43.440]  「就對他們說
[00:01:43.440 --> 00:01:50.520]  你們知道猶太人本來是不准和外國人接近來往的
[00:01:50.920 --> 00:01:58.200]  但神已經指示了我不可把任何人當作藩族或不潔的」
[00:01:58.200 --> 00:02:01.440]  猶太人有一種概念就是
[00:02:01.440 --> 00:02:07.160]  體會到猶太人是神所揀選的神選民
[00:02:07.160 --> 00:02:10.320]  但猶太人以外的其他外族人
[00:02:10.320 --> 00:02:13.000]  是神不接納的
[00:02:13.000 --> 00:02:16.000]  因此被認定是不潔的民族
[00:02:16.000 --> 00:02:19.960]  與他們來往會被他們污染、玷污
[00:02:19.960 --> 00:02:25.440]  所以他們過去一直保持著一個文化的習慣
[00:02:25.440 --> 00:02:29.240]  是不與外來人、外族人有交往的
[00:02:29.240 --> 00:02:33.440]  這是他們一直以來的一種宗教性的了解
[00:02:33.440 --> 00:02:35.520]  但上帝很特別
[00:02:35.520 --> 00:02:37.880]  藉著一個很特別的意象
[00:02:37.880 --> 00:02:41.480]  給彼得明白神的心意是怎樣
[00:02:41.480 --> 00:02:44.320]  剛才我們沒有讀到上一段經文提及
[00:02:44.320 --> 00:02:45.920]  他看到的意象
[00:02:45.920 --> 00:02:50.640]  是從天上有一塊大白布掉下來的意象
