
[00:00:00.000 --> 00:00:02.440]  今日和大家思想一個熟悉的題目
[00:00:02.440 --> 00:00:05.720]  就是「救主降生在馬槽裏」
[00:00:05.720 --> 00:00:08.240]  聖經提及
[00:00:08.240 --> 00:00:10.000]  在教會裏面
[00:00:10.000 --> 00:00:13.040]  我們每次紀念到主耶穌降生的時候
[00:00:13.040 --> 00:00:15.320]  都會提到一個記號
[00:00:15.320 --> 00:00:18.000]  我們回想很多不同的國家
[00:00:18.000 --> 00:00:21.440]  有很多不同的皇室的制度
[00:00:21.440 --> 00:00:23.280]  仍然是進行的
[00:00:23.280 --> 00:00:26.480]  很多的皇室他們有一些特別的徽章
[00:00:26.480 --> 00:00:27.720]  一些的徽號
[00:00:28.000 --> 00:00:30.280]  有不同的雕刻在上面
[00:00:30.280 --> 00:00:31.640]  一般來說
[00:00:31.640 --> 00:00:34.360]  大家會記得多數是甚麼的記號呢?
[00:00:34.360 --> 00:00:36.960]  可能是一些皇冠
[00:00:36.960 --> 00:00:38.960]  相換鑽石的皇冠
[00:00:38.960 --> 00:00:41.840]  又或者是一些很雄壯的獅子
[00:00:41.840 --> 00:00:47.120]  又或者是一些很威猛的飛鷹
[00:00:47.120 --> 00:00:49.920]  很多不同的特別的象徵
[00:00:49.920 --> 00:00:51.760]  但都想表達出
[00:00:51.760 --> 00:00:55.000]  這個皇室是給人威猛的
[00:00:55.000 --> 00:00:57.320]  而且他們是很想表達出
[00:00:57.320 --> 00:00:58.920]  他們是強壯的
[00:00:58.920 --> 00:01:01.320]  是輝煌的
[00:01:01.320 --> 00:01:04.000]  這些一切的表達
[00:01:04.000 --> 00:01:06.080]  都想將皇室的重要性
[00:01:06.080 --> 00:01:07.640]  來到清楚的表達
[00:01:07.640 --> 00:01:09.320]  以及提升出來
[00:01:09.320 --> 00:01:11.440]  但你可以想像
[00:01:11.440 --> 00:01:14.160]  當我們在聖誕節的時候
[00:01:14.160 --> 00:01:15.600]  想到聖誕節
[00:01:15.600 --> 00:01:18.200]  主耶穌的記號是甚麼呢?
[00:01:18.200 --> 00:01:21.040]  有一個鷹鞋
[00:01:21.040 --> 00:01:22.600]  包著布
[00:01:22.600 --> 00:01:24.760]  鵝在馬槽裏
[00:01:25.040 --> 00:01:27.400]  這就是記號
[00:01:27.400 --> 00:01:30.760]  一位全地的大君王
[00:01:30.760 --> 00:01:32.440]  永恆的上帝
[00:01:32.440 --> 00:01:34.480]  竟然他的記號
[00:01:34.480 --> 00:01:37.880]  是一個極其卑微的記號
[00:01:37.880 --> 00:01:41.640]  而你和我都是在其中要小心思想
[00:01:41.640 --> 00:01:45.560]  這是真正的屬靈的道理
[00:01:45.560 --> 00:01:48.480]  一個微小的記號
[00:01:48.480 --> 00:01:51.520]  是代表著一位永恆的上帝
[00:01:51.520 --> 00:01:54.280]  而我們今天試下去思想這個記號
[00:01:54.280 --> 00:01:56.280]  它的含義、它的意思
[00:01:56.280 --> 00:01:57.600]  大家一起翻開聖經
[00:01:57.600 --> 00:01:59.280]  剛才讀的路加福音
[00:01:59.280 --> 00:02:01.560]  我們首先看的是
[00:02:01.560 --> 00:02:02.720]  這位上帝
[00:02:02.720 --> 00:02:05.680]  他是次因給卑微的人
[00:02:05.680 --> 00:02:08.800]  包括瑪利亞和牧羊人
[00:02:08.800 --> 00:02:12.200]  而他也將他自己謙卑的榜樣
[00:02:12.200 --> 00:02:14.200]  表明在我們面前
[00:02:14.200 --> 00:02:15.960]  首先我們思想瑪利亞
[00:02:15.960 --> 00:02:17.760]  我們看回路加福音之前
[00:02:17.760 --> 00:02:20.160]  第一章第26節
[00:02:20.160 --> 00:02:22.160]  「到了第六個月
[00:02:22.160 --> 00:02:24.160]  天使加伯列奉神
[00:02:24.160 --> 00:02:27.680]  差遣王加利利的拿撒勒城去
[00:02:27.680 --> 00:02:29.680]  到這一個同貞女那裡
[00:02:29.680 --> 00:02:33.680]  他已經和大衛加一個名叫約瑟的人
[00:02:33.680 --> 00:02:34.880]  訂了婚
[00:02:34.880 --> 00:02:38.480]  同貞女的名字是瑪利亞」
[00:02:38.480 --> 00:02:41.680]  聖經提到一位尊貴的天使
[00:02:41.680 --> 00:02:43.680]  被差遣去到一個地方
[00:02:43.680 --> 00:02:44.880]  在那裡
[00:02:44.880 --> 00:02:47.680]  他與貞女的名字是瑪利亞
[00:02:47.680 --> 00:02:50.680]  當時被差遣去到一個地方
[00:02:50.680 --> 00:02:52.680]  一般想像這麼重要的事情
[00:02:52.680 --> 00:02:54.680]  一定是去到一些很重要的
[00:02:54.680 --> 00:02:56.680]  偉大的城邑裡
[00:02:56.680 --> 00:02:58.680]  向君王宣告信息
[00:02:58.680 --> 00:03:00.680]  但聖經沒有提到
[00:03:00.680 --> 00:03:02.680]  去到羅馬的大城
[00:03:02.680 --> 00:03:04.680]  只是去到當時的猶太地
[00:03:04.680 --> 00:03:06.680]  一個小鄉鎮
[00:03:06.680 --> 00:03:08.680]  叫做什麼呢?
[00:03:08.680 --> 00:03:10.680]  拿撒勒城
[00:03:10.680 --> 00:03:12.680]  聖經雖然用城的字眼
[00:03:12.680 --> 00:03:15.680]  但其實它絕對不是一個大城市
