
[00:00:00.000 --> 00:00:04.160]  這個季度我們看希伯來書第十一章
[00:00:04.160 --> 00:00:06.160]  講了很多人物
[00:00:06.160 --> 00:00:08.160]  到了第三十節
[00:00:08.160 --> 00:00:10.160]  就很奇怪
[00:00:10.160 --> 00:00:13.840]  因為我們通常對以色列人的印象
[00:00:13.840 --> 00:00:16.640]  多數是在曠野當中
[00:00:16.640 --> 00:00:18.640]  都是不信
[00:00:18.640 --> 00:00:21.920]  印象不太好的以色列子民
[00:00:21.920 --> 00:00:25.440]  不過居然在第十一章三十節
[00:00:25.440 --> 00:00:28.160]  講到以色列人恩爵信
[00:00:28.160 --> 00:00:30.160]  圍繞耶利哥七天
[00:00:30.160 --> 00:00:32.160]  城牆倒塌
[00:00:32.160 --> 00:00:37.680]  我們可以從以色列人比較稀有的信心當中
[00:00:37.680 --> 00:00:39.680]  學到什麼功課
[00:00:39.680 --> 00:00:41.680]  對我們今天有什麼應用
[00:00:41.680 --> 00:00:45.920]  希伯來書的十一章三十節
[00:00:45.920 --> 00:00:49.920]  講到以色列人要追溯約書亞的一尊一節
[00:00:49.920 --> 00:00:51.920]  那裡講到
[00:00:51.920 --> 00:00:53.920]  摩西五經完結了
[00:00:53.920 --> 00:00:56.560]  一尊一節就講到摩西的僕人
[00:00:56.560 --> 00:01:00.160]  耶和華的僕人摩西死了
[00:01:00.160 --> 00:01:02.160]  新一代的領袖興起了
[00:01:02.160 --> 00:01:04.160]  就是約書亞他自己
[00:01:04.160 --> 00:01:07.440]  面對一個新的處境
[00:01:07.440 --> 00:01:11.200]  約書亞就從神那裡領受了他的使命
[00:01:11.200 --> 00:01:14.640]  他的使命就是要對應
[00:01:14.640 --> 00:01:16.640]  昔日耶和華神
[00:01:16.640 --> 00:01:20.880]  如何向阿伯拉罕以撒瓦國所承諾的應許
[00:01:20.880 --> 00:01:26.240]  就是要以色列子民進入應許之地
[00:01:26.240 --> 00:01:29.360]  耶和華的話永遠不會落空
[00:01:29.360 --> 00:01:31.360]  必定會成就
[00:01:31.360 --> 00:01:33.360]  在這個時候
[00:01:33.360 --> 00:01:36.640]  我們有一個很出名的金句
[00:01:36.640 --> 00:01:39.120]  不要害怕也不要驚慌
[00:01:39.120 --> 00:01:41.120]  因為無論你往哪裡去
[00:01:41.120 --> 00:01:43.120]  耶和華神必與你同在
[00:01:43.120 --> 00:01:45.120]  所以在約書亞的第一章
[00:01:45.120 --> 00:01:47.120]  我們看到耶和華神
[00:01:47.120 --> 00:01:50.080]  向約書亞自己有一個應許
[00:01:50.080 --> 00:01:52.080]  接著在第二到第五章
[00:01:52.080 --> 00:01:54.080]  就講述了一些事項
[00:01:54.080 --> 00:01:56.080]  我們都有印象的
[00:01:56.080 --> 00:02:00.560]  約書亞就派了兩個探子去探望耶利哥城
[00:02:00.560 --> 00:02:03.200]  遇上了妓女拉罕
[00:02:03.200 --> 00:02:05.680]  這個就是下星期我會講的經文
[00:02:05.680 --> 00:02:09.520]  接著他們會過約旦河
[00:02:09.520 --> 00:02:11.520]  過了約旦河之後
[00:02:11.520 --> 00:02:18.480]  在河的那裡就有十二塊石頭
[00:02:18.480 --> 00:02:20.480]  建成了十二塊石頭
[00:02:20.480 --> 00:02:23.440]  見證了耶和華神很奇妙的作為
[00:02:23.440 --> 00:02:25.440]  彷如昔日過紅海
[00:02:25.440 --> 00:02:27.440]  這次就過了約旦河
[00:02:27.440 --> 00:02:33.440]  然後就要攻打第一個城
[00:02:33.440 --> 00:02:36.800]  第一個城就是耶利哥城
[00:02:36.800 --> 00:02:39.920]  耶利哥城是一個怎樣的城呢
[00:02:39.920 --> 00:02:42.960]  我們知道在文數記第十三章
[00:02:42.960 --> 00:02:44.960]  已經在曠野當中
[00:02:44.960 --> 00:02:46.960]  摩西就派了十二個探子
[00:02:46.960 --> 00:02:50.160]  去看看迦南地是一個什麼地
[00:02:50.160 --> 00:02:52.160]  回來的時候十二個探子
[00:02:52.160 --> 00:02:54.160]  都有這樣的匯報
[00:02:54.160 --> 00:02:56.160]  他們說這些話
[00:02:56.160 --> 00:02:58.160]  是一個很好的地方
[00:02:58.160 --> 00:03:00.160]  流奶與物之地
[00:03:00.160 --> 00:03:02.160]  然而
[00:03:02.160 --> 00:03:05.600]  那裡的民是強壯的
[00:03:05.600 --> 00:03:07.600]  城是堅固的
[00:03:07.600 --> 00:03:11.120]  而我們從心靈記一章二十八節
[00:03:11.120 --> 00:03:13.120]  同樣有報告
[00:03:13.120 --> 00:03:15.120]  那裡的民是比我們強盛的
[00:03:15.120 --> 00:03:17.120]  城又廣大
[00:03:17.120 --> 00:03:19.120]  高得頂天
[00:03:19.120 --> 00:03:21.120]  很大的城
[00:03:21.120 --> 00:03:23.120]  到了約旦河第二章
[00:03:23.120 --> 00:03:25.120]  下個禮拜就說拉合
[00:03:25.120 --> 00:03:27.120]  那兩個探子在城牆那裡
[00:03:27.120 --> 00:03:29.120]  要抓住繩子下來
[00:03:29.120 --> 00:03:31.120]  走的時候
[00:03:31.120 --> 00:03:35.120]  就是說耶利哥是有一個城牆的
[00:03:35.120 --> 00:03:37.120]  這個城牆是一個怎樣的城呢
[00:03:37.120 --> 00:03:39.120]  在五十年代考古學
[00:03:39.120 --> 00:03:41.120]  在以色列就找到耶利哥城
[00:03:41.120 --> 00:03:43.120]  特別在一九九七年
[00:03:43.120 --> 00:03:45.120]  有一個很重大的突破
[00:03:45.120 --> 00:03:47.120]  他看到耶利哥城
[00:03:47.120 --> 00:03:49.120]  這個就是圍置
[00:03:49.120 --> 00:03:51.120]  耶利哥城有兩層城牆
[00:03:51.120 --> 00:03:53.120]  互土牆
[00:03:53.120 --> 00:03:55.120]  第一層在外面
[00:03:55.120 --> 00:03:57.120]  高四至五米高
[00:03:57.120 --> 00:03:59.120]  然後就算打
[00:03:59.120 --> 00:04:01.120]  攻破了第一重
[00:04:01.120 --> 00:04:03.120]  第二層的城牆
[00:04:03.120 --> 00:04:05.120]  有六至八米高
[00:04:05.120 --> 00:04:07.120]  並且有兩米厚
[00:04:07.120 --> 00:04:09.120]  也就是說
[00:04:09.120 --> 00:04:11.120]  耶利哥城是一個
[00:04:11.120 --> 00:04:13.120]  很堅固的城
[00:04:13.120 --> 00:04:15.120]  同時
[00:04:15.120 --> 00:04:17.120]  在《約書記·二章》二節
[00:04:17.120 --> 00:04:19.120]  講到
[00:04:19.120 --> 00:04:21.120]  耶利哥城有一個皇帝
[00:04:21.120 --> 00:04:23.120]  皇帝有一個軍隊
[00:04:23.120 --> 00:04:25.120]  有軍隊
[00:04:25.120 --> 00:04:27.120]  四章十三節
[00:04:27.120 --> 00:04:29.120]  五章十節
[00:04:29.120 --> 00:04:31.120]  講到耶利哥是一個平原
[00:04:31.120 --> 00:04:33.120]  肥沃之地
[00:04:33.120 --> 00:04:35.120]  平原出產很多農作物
[00:04:35.120 --> 00:04:37.120]  可想而知
[00:04:37.120 --> 00:04:39.120]  無論是城牆
[00:04:39.120 --> 00:04:41.120]  還是皇帝
[00:04:41.120 --> 00:04:43.120]  還是軍隊
[00:04:43.120 --> 00:04:45.120]  在城牆上
[00:04:45.120 --> 00:04:47.120]  可以看到很遠的地方
[00:04:47.120 --> 00:04:49.120]  如果敵人攻打
[00:04:49.120 --> 00:04:51.120]  耶利哥城
[00:04:51.120 --> 00:04:53.120]  站在城牆上一看就知道
[00:04:53.120 --> 00:04:55.120]  敵人會來
[00:04:55.120 --> 00:04:57.120]  幾種因素
[00:04:57.120 --> 00:04:59.120]  告訴我
[00:04:59.120 --> 00:05:01.120]  一個東西
[00:05:01.120 --> 00:05:03.120]  要攻打
[00:05:03.120 --> 00:05:05.120]  攻破耶利哥城
[00:05:05.120 --> 00:05:07.120]  是非常非常困難
[00:05:07.120 --> 00:05:09.120]  以色列子民
[00:05:09.120 --> 00:05:11.120]  過了約旦河
[00:05:11.120 --> 00:05:13.120]  就知道
[00:05:13.120 --> 00:05:15.120]  耶利哥城
[00:05:15.120 --> 00:05:17.120]  是一個很難打的城
[00:05:17.120 --> 00:05:19.120]  根本是不可能的
[00:05:19.120 --> 00:05:21.120]  為什麼知道是不可能的呢?
[00:05:21.120 --> 00:05:23.120]  因為四十年曠野
[00:05:23.120 --> 00:05:25.120]  在以色列子民當中
[00:05:25.120 --> 00:05:27.120]  他們很少打仗
[00:05:27.120 --> 00:05:29.120]  而且他們
[00:05:29.120 --> 00:05:31.120]  沒有兵器
[00:05:31.120 --> 00:05:33.120]  沒有兵器
[00:05:33.120 --> 00:05:35.120]  如何攻打
