
[00:00:00.000 --> 00:00:02.560]  「獨靈人」的閱讀觀
[00:00:02.560 --> 00:00:05.000]  閱讀的闊度
[00:00:05.000 --> 00:00:07.080]  大家都會看到我的大綱
[00:00:07.080 --> 00:00:09.000]  我會跟著大綱講下去
[00:00:09.000 --> 00:00:11.240]  這個大綱開始的時候很特別的
[00:00:11.240 --> 00:00:14.520]  就是「自願閱讀與被迫閱讀」
[00:00:14.520 --> 00:00:18.160]  這個我想用一個這樣的反面來開始
[00:00:18.160 --> 00:00:20.480]  通常我們想到閱讀的時候
[00:00:20.480 --> 00:00:22.800]  我們都會想到是
[00:00:22.800 --> 00:00:25.760]  我們看書、看《素靈書籍》
[00:00:25.760 --> 00:00:28.080]  但是
[00:00:28.080 --> 00:00:31.720]  我今天想較為擴闊一點閱讀的觀念
[00:00:31.720 --> 00:00:37.640]  其實閱讀就不是單單只用眼睛看一些文字
[00:00:37.640 --> 00:00:40.960]  就是白紙黑字一本一本的書籍
[00:00:40.960 --> 00:00:42.320]  其實閱讀
[00:00:42.320 --> 00:00:45.240]  我今天將它從一個闊一點的角度去看
[00:00:45.240 --> 00:00:47.080]  就是一切你所接觸到
[00:00:47.080 --> 00:00:50.360]  給你有訊息的東西都是一種閱讀
[00:00:50.360 --> 00:00:52.120]  如果這樣看的時候
[00:00:52.120 --> 00:00:53.200]  你還可以想像
[00:00:53.200 --> 00:00:54.920]  其實你每天
[00:00:54.920 --> 00:00:56.080]  你自覺的
[00:00:56.080 --> 00:00:57.960]  不自覺的都是在閱讀的
[00:00:57.960 --> 00:00:59.400]  當然我們有很多自覺的閱讀
[00:00:59.400 --> 00:01:01.600]  我們看報紙都是一種閱讀
[00:01:01.600 --> 00:01:03.360]  我們看《素靈書籍》當然是閱讀
[00:01:03.360 --> 00:01:05.400]  我們看《聖經》是閱讀
[00:01:05.400 --> 00:01:07.600]  但是我們還有很多東西都是在閱讀的
[00:01:07.600 --> 00:01:09.320]  你想一下我們早上起床的時候
[00:01:09.320 --> 00:01:13.280]  起床扭開電視機或者扭開衣服
[00:01:13.280 --> 00:01:15.720]  看香港早晨已經是一種閱讀了
[00:01:15.720 --> 00:01:17.760]  不斷有一個訊息在給你
[00:01:17.760 --> 00:01:18.920]  然後出街的時候
[00:01:18.920 --> 00:01:20.240]  走過一條街
[00:01:20.240 --> 00:01:21.240]  去到地鐵站
[00:01:21.240 --> 00:01:22.120]  在等待地鐵的時候
[00:01:22.120 --> 00:01:23.840]  對著那塊牆
[00:01:23.840 --> 00:01:24.800]  有很多閱讀的
[00:01:24.800 --> 00:01:25.840]  你不能夠不看的
[00:01:25.840 --> 00:01:26.680]  你一直這樣看
[00:01:26.680 --> 00:01:28.440]  逐個告白去看
[00:01:28.440 --> 00:01:29.560]  進到地鐵的時候
[00:01:29.560 --> 00:01:31.000]  拿著那個
[00:01:31.000 --> 00:01:32.160]  搖搖搖搖的東西
[00:01:32.160 --> 00:01:34.360]  又是這樣看的
[00:01:34.360 --> 00:01:35.400]  下到街的時候
[00:01:35.400 --> 00:01:36.480]  走過戲院
[00:01:36.480 --> 00:01:38.440]  走過布攤
[00:01:38.440 --> 00:01:40.840]  回到公司別人跟你聊天
[00:01:40.840 --> 00:01:41.600]  回到學校
[00:01:41.600 --> 00:01:43.040]  你跟學生聊天
[00:01:43.040 --> 00:01:43.920]  都是一種閱讀
[00:01:43.920 --> 00:01:45.560]  如果我們闊一點來說
[00:01:45.560 --> 00:01:46.480]  以前我們回到家
[00:01:46.480 --> 00:01:47.520]  當然我們看電視
[00:01:47.520 --> 00:01:49.320]  我們聽收音機
[00:01:49.320 --> 00:01:50.920]  加上我們看報紙
[00:01:50.920 --> 00:01:52.400]  加上我們父母聊天
[00:01:52.400 --> 00:01:53.920]  朋友聊天
[00:01:53.920 --> 00:01:55.800]  這些都是一個閱讀
[00:01:55.800 --> 00:01:57.040]  所以我想想
[00:01:57.040 --> 00:01:58.040]  其實我們每天
[00:01:58.040 --> 00:02:00.440]  是不斷地在閱讀的
[00:02:00.440 --> 00:02:02.040]  而我們如果這樣看的時候
[00:02:02.040 --> 00:02:04.120]  我們大部分的時間
[00:02:04.120 --> 00:02:06.160]  很恐怕我們是
[00:02:06.160 --> 00:02:07.640]  不自覺地
[00:02:07.640 --> 00:02:09.120]  是沒有選擇地
[00:02:09.120 --> 00:02:12.320]  在閱讀這些東西
[00:02:12.320 --> 00:02:13.560]  所以我們這樣看的時候
[00:02:13.560 --> 00:02:14.880]  我們就會看到兩幅圖畫
[00:02:14.880 --> 00:02:16.720]  一幅是我們有計劃
[00:02:16.720 --> 00:02:19.200]  有選擇地去閱讀一些書籍
[00:02:19.200 --> 00:02:21.480]  而是大部分的時間
[00:02:21.480 --> 00:02:23.000]  是你沒有在意的
[00:02:23.000 --> 00:02:24.600]  甚至你無法控制地
[00:02:24.600 --> 00:02:28.600]  被迫地在閱讀一些東西
[00:02:28.600 --> 00:02:29.600]  如果這樣的時候
[00:02:29.600 --> 00:02:30.600]  我想指出一件事情
[00:02:30.600 --> 00:02:32.880]  其實我們無論你喜歡
